ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
7499,5136,PAI-SPR-PMT-015,CAN,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2994 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-SPR-PMT-015|CAN), parent position 2994 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7500,2293,"ACE-HAM-ANC-1/4' X 1 1/2""",PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1974 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (ACE-HAM-ANC-1/4' X 1 1/2""|PCK), parent position 1974 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7501,1914,BOS-2608-595-059,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1302 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BOS-2608-595-059|PCS), parent position 1302 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7502,6616,ADH-ELE-3G,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2294 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (ADH-ELE-3G|PCS), parent position 2294 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7503,3442,WEL-ELE-J38.12-3.2MM,PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2538 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (WEL-ELE-J38.12-3.2MM|PCK), parent position 2538 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7504,1042,BOS-2608-585-889,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 813 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BOS-2608-585-889|PCS), parent position 813 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7505,1177,BOS-2608-595-066,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1077 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BOS-2608-595-066|PCS), parent position 1077 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7506,2741,TOW-CON-MIN66A52,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2276 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (TOW-CON-MIN66A52|PCS), parent position 2276 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7507,5435,"PIP-PVC-E-3/4""",MTR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5105 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PIP-PVC-E-3/4""|MTR), parent position 5105 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7508,6533,NAI-COM-25MM-20KG,PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6259 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (NAI-COM-25MM-20KG|PCK), parent position 6259 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7509,7297,CLI-ELE-CAB-SPR-U18-20MMTC,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5421 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (CLI-ELE-CAB-SPR-U18-20MMTC|PCS), parent position 5421 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7510,7588,CAB-PVC-FLE-CON-25MM,MTR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7408 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (CAB-PVC-FLE-CON-25MM|MTR), parent position 7408 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7511,5735,ALUM-ROU-25MM,MTR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5282 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (ALUM-ROU-25MM|MTR), parent position 5282 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7512,7613,FAS-HOO-EYE-16#,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7214 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (FAS-HOO-EYE-16#|PCS), parent position 7214 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7513,6709,"PIP-UPVC-4""",MTR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 4828 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PIP-UPVC-4""|MTR), parent position 4828 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7514,7594,"PIP-PVC-1/2""",MTR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5172 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PIP-PVC-1/2""|MTR), parent position 5172 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7515,7546,"DOR-BOL-RAI-4""",PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7161 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (DOR-BOL-RAI-4""|PCS), parent position 7161 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7516,6365,PAI-BRU-633-075MM,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6262 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-BRU-633-075MM|PCS), parent position 6262 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7517,4087,HOS-CLE-00830,MTR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 3765 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (HOS-CLE-00830|MTR), parent position 3765 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7518,5968,GRA-CUT-LIN-YEL,PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5516 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (GRA-CUT-LIN-YEL|PCK), parent position 5516 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7519,5162,DOR-HIN-BLK-100MM,PAIR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 4520 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (DOR-HIN-BLK-100MM|PAIR), parent position 4520 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7520,5740,DOR-HIN-BLA-75MM,PAIR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5190 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (DOR-HIN-BLA-75MM|PAIR), parent position 5190 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7521,7030,"BRA-SHE-8""x10""",PAIR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7029 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BRA-SHE-8""x10""|PAIR), parent position 7029 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7522,6936,FAS-ANC-PJA-12100,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 4256 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (FAS-ANC-PJA-12100|PCS), parent position 4256 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7523,7186,PAI-SPR-ANC-030,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7153 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-SPR-ANC-030|PCS), parent position 7153 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7524,7331,PAI-SPR-ANC-001,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7147 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-SPR-ANC-001|PCS), parent position 7147 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7525,7479,"TOO-FIL-ORE-3/16""",PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6461 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (TOO-FIL-ORE-3/16""|PCS), parent position 6461 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7526,6145,IND-SCO-WOO-501,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5266 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (IND-SCO-WOO-501|PCS), parent position 5266 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7527,7513,FAS-ANC-PJA-0980,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 4523 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (FAS-ANC-PJA-0980|PCS), parent position 4523 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7528,7719,IND-SCP-WOO25,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7599 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (IND-SCP-WOO25|PCS), parent position 7599 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7529,7297,CLI-ELE-CAB-SPR-U18-20MMTC,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5421 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (CLI-ELE-CAB-SPR-U18-20MMTC|PCS), parent position 5421 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7530,7576,PAI-SPR-ANC-002,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7148 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-SPR-ANC-002|PCS), parent position 7148 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7531,6554,PAI-TIG-250ML-ALUM,TIN,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5524 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-TIG-250ML-ALUM|TIN), parent position 5524 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7532,7566,"HOI-PUL-SIN-1.1/2""",PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7088 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (HOI-PUL-SIN-1.1/2""|PCS), parent position 7088 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7533,6609,NAI-COM-100MM-20KG,PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5864 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (NAI-COM-100MM-20KG|PCK), parent position 5864 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
