source_position,item_code,uom,display_name,prior_status,official_product_page,official_image_url,local_asset_path,source_tier,source_type,rights_status,reason,queue
2865,LAD-H/D-STRO-DS08,UNIT,Strongman D/s H/d Ladder DSHD08 8STEP,candidate,https://b2b-uat.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd08-8step,https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000584_strongman-double-sided-heavy-duty-dshd08-8-step_510.png?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787229446&Signature=Z3lDNPZdwZ3%2FjeKeLJmqRYoSvlc%3D,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\2865.png,1B,Authorised Malaysian distributor/manufacturer-owner page,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict.",2501_plus_unreviewed_candidate
3243,GRA-CAB-CB6644,,Cabana S/steel Floor Grating 4,candidate,https://www.cabana.com.my/index.php/products/bathroom/floor-grating/cb6644-detail,https://www.cabana.com.my/images/virtuemart/product/CB6644.jpg,,1A,Official manufacturer product page,needs_permission,"Exact manufacturer model, size, finish and exact official image preserved; no material conflict.",2501_plus_unreviewed_candidate
3344,EXH-FAN-FN25A,,Dekka Apb 25A 10 Wall Exhaust Fan,candidate,https://dekka-asia.com/?product=apb25a-10-exhaust-wall-fan,https://dekka-asia.com/wp-content/uploads/2019/11/d184e50360d3479b0af1f9f962baed1.jpg,,1A,Official manufacturer product page,needs_permission,"Exact manufacturer model, size, specifications and exact official image preserved; no material conflict.",2501_plus_unreviewed_candidate
3427,HOO-CAB-CB8003-5,,Cabana 5 Robe Hook (polish),candidate,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8003-5-detail,https://www.cabana.com.my/images/virtuemart/product/CB8003-5.jpg,,1A,Official manufacturer product page,needs_permission,"Exact manufacturer model, hook count, material, finish and exact official image preserved; no material conflict.",2501_plus_unreviewed_candidate
3512,X-HOO-CAB-CB8001-3,,Cabana 3 Robe Hook (satin) CB8001-3,candidate,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8001-3-detail,https://cabana.com.my/images/virtuemart/product/CB8001-3.jpg,,1A,Official manufacturer product page,needs_permission,"Exact manufacturer model, hook count, finish and exact official image preserved; no material conflict.",2501_plus_unreviewed_candidate
3630,GROUT-SEAL-703,CAN,Sikagard 703 Groutseal - 1LTR,candidate,https://mys.sika.com/en/home-improvement/waterproofing/sikagard-703-groutseal.html,https://sika.scene7.com/is/image/sikacs/my-02-en-MY-Sikagard-703-GroutSeal-1x1-00557701:1-1?wid=480&hei=480&fit=crop%2C1,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\3630.jpg,1A,Official Malaysian manufacturer product page,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict.",2501_plus_unreviewed_candidate
3729,ELE-MUL-TES-UNI,,Uni-t UT33B+ Multi Meter Tester,candidate,https://meters.uni-trend.com/product/ut33plus-series/,https://meters.uni-trend.com/wp-content/uploads/2022/04/UT33B_1.jpg,,1A,Official manufacturer product page,needs_permission,"Exact manufacturer model, model-specific official image and variant-specific features preserved; no material conflict.",2501_plus_unreviewed_candidate
3772,TAP-CAB-CB6331,UNIT,Cabana S/steel Drinking Tap,candidate,https://www.cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb6331-detail,https://www.cabana.com.my/images/virtuemart/product/CB6331.jpg,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\3772.jpg,1A,Official Malaysian manufacturer product page,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict.",2501_plus_unreviewed_candidate
4096,TAP-CAB-CB1540SS-BL,PCS,Cabana S/s Pillar Mounted Kitchen Tap,candidate,https://www.cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb1540ss-bl-detail,https://www.cabana.com.my/images/virtuemart/product/CB1540SS-BL.jpg,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\4096.jpg,1A,Official Malaysian manufacturer product page,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict.",2501_plus_unreviewed_candidate
4880,TAP-CAB-CB2805A,PCS,Cabana Hose Bib Tap CB2805A,candidate,https://www.cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb2805a-ss-cr-diy-detail,https://www.cabana.com.my/images/virtuemart/product/CB2805A3.jpg,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\4880.jpg,1A,Official Malaysian manufacturer product page,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict.",2501_plus_unreviewed_candidate
4881,TAP-CAB-CB2806A,PCS,Cabana Bib Tap CB2806A,candidate,https://www.cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb2806a-ss-cr-diy-detail,https://www.cabana.com.my/images/virtuemart/product/CB2806A8.jpg,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\4881.jpg,1A,Official Malaysian manufacturer product page,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict.",2501_plus_unreviewed_candidate
2557,BOS-2608-521-043,PCS,Screwdriver Bit - 2608-521-043,candidate,https://www.bosch-pt.com.my/my/en/extra-hard-double-ended-screwdriver-bit-packs-phillips-2868181-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/307515-82/product-image/full/10-piece-double-ended-bit-set-ph2-ph2-2608521043.png,catalogue/ai-inbox/manus-images/retry-pass2/2501-2558/assets/2557.png,Tier 1A,official manufacturer product page,needs_permission,"VERIFIED_CANDIDATE: exact model, length, pack quantity, package type, official page, and exact official image all agree.",pass2_candidate_2557
