source_position,item_code,uom,display_name,category,detected_brand,detected_model,official_product_page,official_image_url,model_string_in_page,match_confidence,model_exact,finish_exact,queries_run,pages_opened,researcher_decision,reason
7257,"SHH-PE.BAG-24""",PCS,P. E. Bags 24,Fishing & Tackle,,,,,,none,no,unknown,"q1: ""P.E."" bags 24 inch fishing bait Malaysia",,no_official_source,"Generic polyethylene bags sold loose by packaging shops and marketplaces; fishing-store hits are tackle bags, not PE bags. No brand/model identity exists, hence no official source can be cited."
7589,DOR-PAD-KTAC100,SET,4 King Top A/c Surface Bolt,Fasteners & Fixings,King Top,KTAC100,,,,none,no,unknown,"q1: ""King Top"" surface bolt Malaysia | q5: ""kingtop"" OR ""king top"" surface bolt hardware Malaysia | q3: ""KTAC100""",,no_official_source,No King Top door-hardware maker found; KINGTOP on Amazon is an excluded marketplace brand and KTAC100 resolves to unrelated Niedax cable supports/Kubota insurance. No official source for this 4in surface bolt.
7608,DOR-PAD-KTSS125,SET,5 King Top S/steel Surface Bolt,Fasteners & Fixings,,,,,,none,no,unknown,"q1: ""King Top"" ""surface bolt"" stainless steel site:.com.my [provider_429]",https://kingtop.com.my (transport error),no_official_source,No brand/model detected; searches blocked by provider_429 after retry; guessed kingtop.com.my unreachable. No official source verified.
6051,RIG-CLI-GAL-25MM,PCS,Galvanised Wire Rope Clip 25MM,Lifting & Rigging,,,,,,none,no,unknown,,,no_official_source,"Unbranded generic rigging commodity; tier-1 queries not run, provider_429 persisted after page-fetch retry. No official source exists to verify."
6817,TOO-DRV-KT125-,PCS,5 King Top (-) Screw Driver,Fasteners & Fixings,,,,,,none,no,unknown,"q1: ""King Top"" screwdriver site:.com.my [provider_429, retried once]",,no_official_source,'King Top' likely local import label; both search attempts returned provider_429 after retry; no official brand-owner page found.
7263,IND-CEM-TILE-400G,PCK,400G Scinmix Tile Fix Addtive (tfa),Flooring,Scinmix,Tile Fix Additive TFA 400G,,,,low,no,unknown,,http://scinmix.com (transport error) | https://www.scinmix.com (transport error) | https://www.scinmix.com.my (transport error),no_official_source,Scinmix brand plausible but all direct domain attempts transport-failed; searches provider_429 after retry; no official page or model string obtained.
7311,"CUT-PVC-FIL-9002R-4""",PCS,4 Prc PVC File Handle-rectangle,Hand Tools,,,,,,none,no,unknown,,,no_official_source,"'Prc' indicates PRC-origin unbranded file handle, no model; tier-1 queries not run due to provider_429 persisting after retry; no official source expected."
7531,IND-WHE-BAR-SHA-5IN1,PCS,Wheel Barrow Shaft (5 IN 1),Building Materials,,,,,,none,no,unknown,,,no_official_source,"Generic replacement wheelbarrow shaft, no detectable brand/model; queries not run, provider_429 remained after single retry; no official source."
6760,CIS-HAN-PVCH/L,PCS,PVC H/l Cistern Handle,Doors & Hardware,,,,,,none,no,unknown,,,no_official_source,Unbranded cistern spare-part handle; no model tokens to verify; tier-1 queries not run because provider_429 persisted after retry.
7444,TOO-CHI-THF250,PCS,Cold Chisel High Tensile 250MM Flat,Hand Tools,,,,,,none,no,unknown,,,no_official_source,"Unbranded generic cold chisel (size-only descriptor); searches not run, provider_429 after retry; no exact-model official source exists."
6741,COC-PVC-3325,PCS,Profesional Water Filter System 3325,Pumps & Water,,3325,,,,none,no,unknown,,,no_official_source,Bare number '3325' insufficient without brand; searches blocked by provider_429 after retry; no official product page located.
4466,ADH-ALT-110,PCS,Alteco Super Glue 110 (twin Pack),Chemicals & Adhesives,Alteco,Super Glue 110 twin pack,https://alteco.com.sg/products/adhesive/super-glue/,https://alteco.com.sg/wp-content/uploads/2020/09/110-3g-twin-pack.png,#110 3g Twin Pack,high,yes,yes,"q2: ""Alteco"" ""Super Glue 110"" official",https://www.alteco.com.sg | https://alteco.com.sg/products/adhesive/super-glue/,candidate,"Official brand-owner OEM site lists '#110 3g Twin Pack' SKU with matching product photo; websearch itself provider_429, candidate verified via direct fetch of official pages."
4979,HOO-SNA-SS-4MM,PCS,S/s Snap Hook 4MM X 40MM,Doors & Hardware,,,,,,none,no,unknown,"q1: ""snap hook"" ""4mm x 40mm"" stainless steel site:.com.my [provider_429]",,no_official_source,Unbranded generic snap hook; sole tier-1 attempt hit provider_429; no official brand-owner source verifiable.
6174,RIG-NIP-38MM,PCS,K. C. Nipple 38 MM,Lifting & Rigging,K.C.,Nipple 38MM,,,,none,no,unknown,"q1: ""K.C. nipple"" 38mm site:.com.my [provider_429] | q5: ""K.C. nipple"" site:.com.my [provider_429]",,no_official_source,'KC nipple' is generic rigging terminology; both attempts returned provider_429 including post-fetch retry; no authorised distributor PDP verified.
7451,CLI-HOS-56X59,PCS,Rb Super Hose Clamp 56 X 59,Hand Tools,RB Super,Hose Clamp 56x59,,,,none,no,unknown,"q1: ""RB Super"" ""hose clamp"" 56-59 site:.com.my [provider_429]",,no_official_source,RB Super clamp search blocked by provider_429; no manufacturer site or spec sheet confirmed; candidate bar unmet.
3139,PAI-BRU-633-100MM,PCS,Paint Brush 633 X 100MM,Paint & Sundries,,633,,,,none,no,unknown,,,no_official_source,"Unbranded brush, token '633' non-distinctive alone; queries not run, provider_429 persisted after retry; nothing official found."
4938,PAI-BRU-086-75MM,PCS,086 Cs Nylon Paint Brush 3,Paint & Sundries,,086 CS Nylon,,,,none,no,unknown,,,no_official_source,No detected brand; '086 CS Nylon' insufficient to identify maker; searches not run due to provider_429; no official source identified.
5980,"TOO-FIL-ORE-7/32""",PCS,7/32 Oregan Chainsaw File (b),Hand Tools,Oregon,chainsaw file 7/32,,,,low,no,unknown,"q1: ""Oregon"" chainsaw file 7/32 site:.com.my [provider_429]",https://www.oregonproducts.com/en/pro/field-processing/sharpening/files-and-guides (404),no_official_source,Likely misspelled Oregon brand; plausible official domain fetch gave 404 and websearch stayed provider_429; exact-model spec sheet unverified.
3710,HOS-GAS-ORA50,MTR,Glogas Gas Hose Orange Red,Outdoor & Garden,Glogas,ORA50 gas hose,,,,none,no,unknown,,,no_official_source,Glogas plausible Malaysian LPG supplier but official-site verification impossible: websearch provider_429 throughout; no PDP confirmed.
6105,NAI-COM-75MM-20KG,PCK,3 Wire Nail,Fasteners & Fixings,,,,,,none,no,unknown,,,no_official_source,"Fully generic commodity wire nail, no brand/model tokens; queries not run due to provider_429; no official brand-owner source exists to verify."
6912,RIG-NIP-19MM,PCS,K. C. Nipple 19 MM,Lifting & Rigging,K.C.,Nipple 19MM,,,,none,no,unknown,"q1: ""K.C. nipple"" 19mm site:.com.my [provider_429]",,no_official_source,"Same generic KC-nipple category as position 6174; remaining queries recorded not run, reason provider_429 after single retry."
7645,FAS-HOO-EYE-2#,PCK,2 Hook & Eyes (24 Pcs/pck),Fishing & Tackle,,,,,,none,no,unknown,,,no_official_source,"Generic fishing-tackle hook & eyes pack, unbranded; queries not run due to provider_429; no official manufacturer page identifiable."
7747,TOO-DRI-BIT-65++,PCS,Sr Rockey Screw Bit 2 X 65++,Fasteners & Fixings,,,,,,none,no,unknown,direct probes only,,no_official_source,"Generic unbranded drill/screw bit ('Sr Rockey' house label); no brand/model detected, no official domain to probe."
7546,"DOR-BOL-RAI-4""",PCS,4 Rainbows Tower Bolt (PCS),Fasteners & Fixings,Rainbows,4 inch tower bolt,,,,none,no,unknown,direct:https://rainbows.com.my [transport error] | q1 [provider_429 x2],,no_official_source,rainbows.com.my unreachable (transport error); websearch provider returned HTTP 429 on both attempts; no official MY brand-owner page found for this ironmongery label.
7377,"FIT-HDPE-BEN-MAL-20MMX3/4""",PCS,HDPE Bend Male 20MM X 3/4,Plumbing,,,,,,none,no,unknown,,,no_official_source,"Generic HDPE bend male adaptor (item code suffix MAL = local trade stock); no detectable brand/model, no official source exists."
7732,FIT-GAL-BUSH-12MMX18MM,PCS,Galv Bushing 3/4 X 1/2,Plumbing,,,,,,none,no,unknown,,,no_official_source,"Commodity galvanised bushing 3/4x1/2; unbranded plumbing fitting with no model string, no official manufacturer page identifiable."
7528,FIT-HDPE-ORI-32MM,PCS,HDPE O-ring 32MM,Plumbing,,,,,,none,no,unknown,,,no_official_source,"Generic HDPE O-ring 32mm, unbranded consumable seal; item code indicates local trade stock, no official brand site applicable."
7729,"ELE-PVC-NUT-3""X6""",PCS,3 X 6 White Box W/nut,Fasteners & Fixings,,,,,,none,no,unknown,,,no_official_source,"3x6 white PVC junction box with nut, commodity electrical fitting; no brand/model detected, no official source to cite."
5392,FIR-LIG-CRI,PCS,Cricket Lighter 50'S,Safety & Workwear,Cricket,Lighter 50s display pack,https://www.cricketlighters.com/our-products,,Flint / Electronic / Utility / Deluxe model families; no 50'S trade-box SKU,low,no,unknown,direct:https://www.cricketlighters.com | direct:https://www.cricketlighters.com/our-products,https://www.cricketlighters.com | https://www.cricketlighters.com/our-products,no_official_source,"Official Swedish Match Cricket site fetched live, but catalogue lists only Flint/Electronic/Utility/Deluxe models; no '50'S' Malaysian trade-box PDP or matching image exists online officially."
5399,IND-NET-FIB-G4FTS,FTS,4 Nylon Netting,"Rope, Chain & Netting",,,,,,none,no,unknown,,,no_official_source,Commodity 4-inch nylon netting sold by foot; unbranded rope/netting stock with no model designation or official manufacturer page.
6452,PEN-ALU,PCS,Slate Pencil,Housewares,,,,,,none,no,unknown,,,no_official_source,"Slate pencil, unbranded houseware/marking consumable; no model string and no plausible official brand-owner site to verify against."
7721,OIL-FUN-7003,PCS,3 Funnel,Housewares,,,,,,none,no,unknown,,,no_official_source,"Generic 3-inch plastic funnel, unbranded housewares stock; item code OIL-FUN-7003 is internal, no official product page exists."
7666,MOT-FAN-SMALL,PCS,Motor Fan,Other,,,,,,none,no,unknown,"""motor fan"" hardware site:.com.my",,no_official_source,"Generic unbranded part 'Motor Fan'; no brand/model to anchor; searches surfaced only motorcycle marketplaces and fan categories, nothing official."
2723,TOO-DRI-SET-WK-PWT-5515,SET,Worker 26MM 21V Lithium Brushless Impact Drill,Power Tools,,,,,,low,no,unknown,"""Worker"" ""21V"" brushless impact drill site:.com.my | ""WK-PWT-5515"" | ""WK-PWT-5515"" worker | ""WORKER"" power tools Malaysia ""authorised"" OR ""distributor""",,no_official_source,WK-PWT-5515 appears only on Lazada/Shopee and dealer stores (Lion Machinery Supply; BuatAnMalaysia unreachable); no WORKER brand-owner site or provable authorised distributor; listings call it rotary hammer not impact drill.
4199,IND-TRU-FD300-ER,SET,Sumo Boy PVC Hand Truck (green Box),Building Materials,,,,,,none,no,unknown,"""Sumo Boy"" hand truck trolley site:.com.my | ""Sumo Boy"" hand truck trolley | ""Sumo Boy"" hand truck",,no_official_source,'Sumo Boy' PVC hand truck found solely in Shopee/Lazada tag pages; SUMO-brand platform trolleys exist but no official Sumo site or distributor PDP covers this item.
3418,X-TOO-WOR-5503-12V,SET,Worker 30PCS Of 12V Luxury Suit Electric Drill With Tools Kit Set,Power Tools,Worker,WK-PWT-5503-12V,https://www.suiumachinery.com.my/showproducts/productid/4489026/cid/467231/worker-wkpwt550312v30pcs-cordless-drill-with-tools-kit-set-tool-box,https://cdn1.npcdn.net/images/162738158020eae05548ea46a69fbc0b18a5394f03.jpg?md5id=29ebacd5f103d32a0f2fda45fccd4a5c&new_width=1200&new_height=1200&w=1526956020,WORKER WK-PWT-5503-12V/30PCS Cordless Drill with Tools Kit Set,medium,yes,unknown,"""Worker"" ""12V"" electric drill kit set Malaysia | ""Sui U Machinery"" WORKER distributor",https://www.suiumachinery.com.my/showproducts/productid/4489026/cid/467231/worker-wkpwt550312v30pcs-cordless-drill-with-tools-kit-set-tool-box | https://m.machinerytools.com.my/index.php?ws=showproducts&products_id=3632791,candidate,"Exact-model PDP fetched and verified at Sui U Machinery dealer site (12V, 30PCS kit specs match); npcdn CDN image is that PDP's product photo. Researcher notes dealer-authorisation unproven; verifier to judge."
4262,"IND-FEN-2.1/2""X6'",ROLL,6 X 2.1/2 X 10G X 50 PVC Fencing,Building Materials,,,,,,none,no,unknown,"pvc fencing ""10G"" malaysia supplier",,no_official_source,"Commodity PVC fencing roll (6'x2.5'x10G x50), no brand/model; searches return only generic PVC chemistry pages and pipe suppliers; no official product page exists."
4583,IND-UMB-SQU-8'-KH801,PCS,8 X 8 Sun Umbrella With Stand-square,Housewares,,,,,,none,no,unknown,"""KH801"" umbrella site:.com.my",,no_official_source,"KH801 collides only with unrelated items (cancer drug trial, Seifert cabinet heater); Malaysian umbrella makers (My Umbrella, W Guan Meng) list no such model code."
2646,ELE-CEI-LIG-8910/500-36PCS,PCS,8910/500 Sq 36PCS Daylight L/ceiling Lamp,Lighting,,,,,,none,no,unknown,"""8910/500"" ceiling lamp daylight site:.com.my | ""8910/500"" ceiling light | ""8910/500"" ceiling lamp",,no_official_source,"Model 8910/500 returns zero relevant results anywhere; only generic lighting retailers (Homepro YETPLUS/IWACHI etc.); brand unidentified, so no official source verifiable."
4664,"IND-UMB-SQU-11""",PCS,Hawker Umbrella - Square (11'),Housewares,,,,,,low,no,unknown,"""hawker umbrella"" square Malaysia supplier",https://wguanmeng.com.my/canopy/ | https://wguanmeng.com.my/hawker-products/,no_official_source,Unbranded commodity; manufacturer W Guan Meng shows square-hawker-umbrella photo galleries without models/sizes in page text; 11ft size unverified; Cheng Huat/Sonic are mere hardware retailers.
4742,IND-UMB-ROU-6,PCS,Hawker Umbrella - Round,Housewares,,,,,,low,no,unknown,"""hawker umbrella"" round Malaysia supplier",https://wguanmeng.com.my/canopy/,no_official_source,"Manufacturer W Guan Meng lists 'Round Umbrellas (8 Ribs)' photos only, no model codes or sizes in text; unbranded item cannot be anchored to an official model page."
4794,IND-COO-MID-C20-RT2002,PCS,Midea Induction Cooker 2000W,Building Materials,Midea,C20-RT2002,https://www.midea.com/my/kitchen-appliances/cooking-appliances/induction-cooker/midea-induction-cooker-c20-rt2002.c20-rt2002,https://www.midea.com/content/dam/midea-aem/my/my-new/pdp/kitchen-appliances/cooking-appliances/induction-cooker/c20-rt2000/PD-kitchen-appliances-Cooking%20Appliances-C20-RT2000-HK2002E-new-1040x1040.jpg,"<h1>Midea Induction Cooker - C20-RT2002</h1>; ld+json ""model"": ""C20-RT2002""; specs Power 2000 W",high,yes,yes,"q1: ""Midea"" ""RT2002"" induction cooker site:.com.my",https://www.midea.com/my/kitchen-appliances/cooking-appliances/induction-cooker/midea-induction-cooker-c20-rt2002.c20-rt2002,candidate,Official Midea Malaysia PDP fetched live; C20-RT2002 in H1 and schema.org model field; og:image is the PDP's own product photo; 2000W spec matches display name exactly.
6163,BAT-BOSSMAN-20V,PCS,Bossman Economic Series 4.0AH 20V Battery,Electrical,Bossman,Economic Series 4.0AH 20V,,,,none,no,unknown,"direct:bossman.com.my [fail] | direct:bossmantools.com [fail] | q2: ""Bossman"" ""Economic Series"" 20V battery | q1: site:thewarehouse.com bossman battery 20V | q5: whongguan.com/bossman-malaysia | q5: thewwarehouse.com/product-brand/bossman-malaysia",https://www.whongguan.com/bossman-malaysia | https://www.thewwarehouse.com/product-brand/bossman-malaysia,no_official_source,No brand-owner site; Bossman official channels are excluded Shopee/Lazada flagship stores. Whongguan/TheWwarehouse claim authorised-retailer status but have no fetchable PDP containing 'Economic Series 4.0AH'.
5141,SAF-SHO-SAL-41#,PAIR,Tron Safety Shoe 41/7,Safety & Workwear,Tron,Safety Shoe 41/7,,,,none,no,unknown,"direct:tron.com.my [fail] | direct:tronsafety.com.my [fail] | q2: ""TRON"" safety shoe Malaysia",,no_official_source,'TRON' safety shoe has no resolvable Malaysian brand-owner or distributor site; searches return only unrelated TRON blockchain/movie results. Size 41 SKU unverifiable.
5142,SAF-SHO-SAL-42#,PAIR,Tron Safety Shoe 42/8,Safety & Workwear,Tron,Safety Shoe 42/8,,,,none,no,unknown,"direct:tron.com.my [fail] | direct:tronsafety.com.my [fail] | q2: ""TRON"" safety shoe Malaysia",,no_official_source,Same as size 41: no TRON footwear brand site exists online; searches return only unrelated blockchain/film entities. Size 42 SKU unverifiable against any official page.
5143,SAF-SHO-SAL-43#,PAIR,Tron Safety Shoe 43/9,Safety & Workwear,Tron,Safety Shoe 43/9,,,,none,no,unknown,"direct:tron.com.my [fail] | direct:tronsafety.com.my [fail] | q2: ""TRON"" safety shoe Malaysia",,no_official_source,"No official TRON shoe manufacturer/distributor page found; domain probes failed, search results irrelevant. Size 43 SKU cannot be validated against an official source."
5144,SAF-SHO-SAL-44#,PAIR,Tron Safety Shoe 44/10,Safety & Workwear,Tron,Safety Shoe 44/10,,,,none,no,unknown,"direct:tron.com.my [fail] | direct:tronsafety.com.my [fail] | q2: ""TRON"" safety shoe Malaysia",,no_official_source,"Identical dead end as sibling sizes: brand domain absent, search yields no safety-footwear entity named TRON. Size 44 SKU unverifiable."
3916,GAR-SPR-YEW-16L,PCS,16 LTR Yellow Sprayer (plantmate),Outdoor & Garden,Plantmate,16 LTR Yellow Sprayer,,,,none,no,unknown,direct:plantmate.com.my [unreachable] | direct:plantmate.com.ph [unreachable] | q1: Plantmate 16 liter sprayer | q5: plantmate sprayer malaysia,,no_official_source,Plantmate domains unreachable; queries returned only Pinterest/junk or SafeSearch-blocked emptiness. No official Plantmate sprayer PDP fetchable for the 16L yellow unit.
2921,GAS-STO-HM-HGB-1690,UNIT,Homa Plus Cast Iron Automatic Stove (31A)-1690,Home Appliances,Homa Plus,31A-1690,,,,none,no,unknown,"direct:homa.com.my [DNS fail] | direct:homastove.com [DNS fail] | q2: ""Homa Plus"" stove ""31A""",,no_official_source,Homa Plus cast-iron stove appears to be an unlisted local/imported label: both plausible brand domains fail DNS and quoted-model search returns zero relevant hits. No official source.
6201,MAN-COV-BNH,PCS,18 X 24 Bnh Rectangular Polythene Manhole Cover,Plumbing,BNH,18x24 Rectangular Polythene Manhole Cover,,,,none,no,unknown,"direct:bnh.com.my [wrong company] | direct:bnh.com.my product search manhole [0 hits] | q1: ""manhole cover"" polythene rectangular Malaysia",https://www.bnh.com.my/index.php?route=product/search&search=manhole,no_official_source,"bnh.com.my is B&H Intec Solution (electrical distributor), unrelated; its own search finds zero manhole products. 'BNH' is likely a mould emboss on generic polythene covers."
4336,TOPLUS-GOLD-5L-C,CAN,5L Toplus Gold C Base,Paint & Sundries,Toplus,Gold C Base 5L,,,,none,no,unknown,"direct:topluspaint.com [fail] | direct:topluspaint.com.my [fail] | q2: ""Toplus"" ""C Base"" paint Malaysia | q1: ""toplus gold"" paint",,no_official_source,Toplus Gold emulsion base shows zero web presence beyond smart-paints.com TDS family pages; plausible paint-brand domains fail DNS and quoted queries return only irrelevant filler. No model-specific PDP at tier 1.
3010,ELE-CEI-LIG-4001/400-CL,PCS,Ceiling Light 4001-400,Lighting,,4001-400,,,,none,no,unknown,,,no_official_source,"Generic ceiling light with no detected brand and only a house item code/model '4001-400'; no manufacturer to attribute. Tier-1 targets undefined, so no official source can exist."
3247,PYE-FLE-SEAL-4.5KG-GREY,TIN,PYE Flexible Seal 4.5KG (grey),Building Materials,PYE,Flexible Seal 4.5KG grey,,,,none,no,unknown,q1: PYE flexible seal Malaysia [429 fail] | direct:pye.com.my [transport error] | direct:pyepaints.com [transport error],https://www.pye.com.my (transport error) | https://pye.com.my (transport error) | https://www.pyepaints.com (transport error),no_official_source,PYE brand-owner site not locatable; pye.com.my/pyepaints.com unresolvable; search engines rate-limited or serving degraded results; no official PDF or distributor PDP found.
2967,EXH-FAN-FN30A,PCS,Dekka Apb 30A 12 Wall Exhaust Fan,Fans & Ventilation,Dekka,APB 30A 12 wall exhaust fan,,,,none,no,unknown,direct:dekka.com.my [unresolvable],https://dekka.com.my (transport error),no_official_source,Dekka APB30A wall exhaust fan: dekka.com.my unresolvable; brand appears dealer-imported with no verifiable official MY site or OEM spec page.
