item_code,uom,tiers_tried,prior_decision,prior_page,prior_image,prior_reason
PLUG-TOP-SIR-13AMP,PCS,1,pending,,,seed: action=search; prior_decision=; prior_source= | r1:pending log[q:'iSafe' OR Isafe plug top 13A SIRIM Malaysia; ISAFE confirmed as MY accessory brand retailed at MR.DIY (ISafe 3-Way T-Adaptor listing) but no official brand product page for the 13A plug top found]
NAIL-RETAINING- CLIP-PVC-S110,PCK,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[S110 PVC retaining nail clip is a generic masonry-fixing code (2PCS/PCK); no brand/OEM discoverable | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
SWI-LAM-HOL-B218E27,PCS,1,pending,,,seed: action=search; prior_decision=; prior_source= | r1:pending log[B218E27 hanging holder (blk): model-style code suggests a specific local maker (B-218 series) but no OEM page discovered this session; adjacent E27 holder searches returned only unrelated retailers]
SWI-LAM-HOL-W218E27,PCS,1,pending,,,"seed: action=search; prior_decision=; prior_source= | r1:pending log[W218E27 hanging holder (white): sibling of B218E27; same unresolved-code situation, no OEM page found]"
ELE-CAB-TWI-B/W-MAXWELL,MTR,1,pending,,,seed: action=search; prior_decision=; prior_source= | r1:pending log[q:Maxwell 'Scinet' twin cable 23/0.14 Malaysia; zhongtrading.com.my (newpages platform) lists 'IWACHI / SCINET B/W Cable 23/0.14 -Copper' exactly matching blue/white twin 23/0.14MM spec; Maxwell Cables MY shows no Scinet OEM page discoverable; newpages-hosted dealer pages typically bot-walled to automated fetch]
BNW-NUT-SS304-M10,PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[SS304 nut M10 commodity by size | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
SHH-BELL-SINGL-PSC115,PCS,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:PSC115 OR fishing bell single alarm Malaysia; bells sold under other generic brands (SUG DOUBLE/SINGLE COLOR/SILVER; TCE FRB001/002; Ikan Toman FRD/FRB); PSC115 code undiscoverable | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""pemberat pancing no 1 loceng Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplace/agro listings only ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ELE-HOL-SE3831,PCS,1,pending,,,seed: action=search; prior_decision=; prior_source= | r1:pending log[q:Kingsway 'SE3831' OR E27 wedge holder Kingsway electric -> zero relevant hits; Kingsway Electric is a MY wiring-accessory brand with no findable SE3831 product page]
ABR-PAP-621-527,SHT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G60 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
WAL-PLU-S/S-CC225-M6X60MM,PCS,1,pending,,,seed: action=search; prior_decision=; prior_source= | r1:pending log[K103-304 s/steel wall plug M6X60MM: K103 looks like a moulded-plug series code from a local maker; CC225 pack code; no OEM page found this session]
"CLI-HOS-GP-1/2""",PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[GP s/steel hose clip 1/2in (6-12mm) is a generic worm-drive clip by size range; no brand/model | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
FIT-PVC-SOC-REC-20MMX15MM,PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[PVC socket reducer 20mm x 15mm (3/4x1/2) generic pressure fitting by dimension; no brand/model | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
"CLI-HOS-GP-5/8""",PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[hose clip 5/8in (9-16mm) generic by size range | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
FIT-PVC-ELB-20MMX15MM,PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[PVC elbow reducing 20mm x 15mm generic fitting by dimension | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
ABR-PAP-621-533,SHT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G220 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ABR-PAP-621-532,SHT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G180 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ABR-PAP-621-536,PCS,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G400 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
WAL-PLU-S/S-60MM,PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[304 stainless wall plug M6x60mm; CC225/CC220 are box/pack batch codes not models; commodity by size/material | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
ELE-CAB-WIR-1.5-YELLOW*,MTR,1,pending,,,seed: action=search; prior_decision=; prior_source= | r1:pending log['Win' PVC cable yellow 1.5MM2 100M: WIN cable token unresolvable this session (possibly Southern Cable house brand); no OEM product page found]
ELE-PVC-SOC-TC1820MM,PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[TC PVC socket 18-20mm generic conduit fitting by size; TC token unresolvable to any OEM page | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
FAS-BOL-EXP-12100,PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[SH expansion bolt M12x100 - SH denotes sleeve-anchor type prefix; commodity fastener by size | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
ROP-WIR-GAL-6.0MM,MTR,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[galvanised wire rope 6.0mm 6x19 construction is a commodity spec; no sellable unique model | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
ABR-PAP-621-537,SHT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G500 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ABR-PAP-621-538,SHT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G600 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ELE-HOL-293-B22,PCS,1,pending,,,seed: action=search; prior_decision=; prior_source= | r1:pending log['BM' B22 wedge holder black oval: BM brand unresolvable to any OEM page this session; lamp-holder category crowded with generics]
ABR-PAP-621-528,SHT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G80 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
"CLI-HOS-GP-1""",PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[hose clip 1in (16-25mm) generic by size range | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
BNW-NUT-SS304-M08,PCS,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[SS304 nut M08 commodity by size | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
BNW-WAS-M6,PCK,1,reject,,,seed: action=search; prior_decision=; prior_source= | r1:reject log[M6 washers 10PCS/PCK commodity by size | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]
WEL-GLA-BLA-NO.10,PCS,1,reject,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[black welding glass No.10 108x50mm is standard shade-10 filter lens commodity (AU equivalents CIGWELD 453854 108x51, BST FL10, Weldclass); our item unbranded local stock | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]"
ABR-PAP-621-540,SHT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G1000 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ABR-PAP-621-530,SHT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[q:'EWD hand sanding sheet abrasive ewd grit' searches returned nothing usable; EWD German abrasive brand domain/distributor unconfirmed this session; G120 hand sanding sheets are identical except grit print so no distinct official asset per SKU exists to fetch | reject: commodity/generic item with no unique model - no official product page can exist (generic_unbranded noted)]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; TIER2 intent q:'EWD G120 hand sanding sheet Malaysia' + suffix variants UNRUN; sibling family ABR-PAP-621-52x/53x same unknown OEM]| r5:exhausted log[q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ELE-CAB-WIR-ASIA-2.5Y*,MTR,1,pending,,,"seed: action=search; prior_decision=; prior_source= | r1:pending log[yellow sibling of 2859 'Asia' PVC cable 2.5MM2; same q:'Asia' PVC cable Malaysia single core search found no matching OEM page]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; q:'Asia Cable PVC insulated cable 2.5mm yellow Malaysia' attempted 3x - all 429; TIER2 q:'Asia cable 2.5mm2 authorised distributor MY' UNRUN; sibling of ord18 black Asia cable; colour variant needs own proof -> colour_unproven]"
CLI-HOS-13-23,PCS,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[PVC Wing Hose Clip 13-23, detected_model WH300. q:""WH300"" hose clip PVC wing -> only generic hose clip results (McMaster, Jubilee-style wing clips, Alibaba); no brand carrying WH300. q:stainless steel hose clip 13-19mm GP Malaysia -> generic MY dealer listings only. WH300 appears to be a supplier internal code; no official product page exists anywhere (brand unknown). generic_unbranded + model_untraceable -> reject.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; TIER2 intent q:'PVC wing hose clip 13-23 WH300' + suffix split UNRUN; WH300 likely repack code not OEM partno]| r5:exhausted log[q:""hose clip stainless steel 13-23mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; distributor pages list Brand ""-"" confirming unbranded commodity ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ELE-CAB-PVC-4.00MM-BLK-MTR,MTR,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[KTK PVC Cable Black 100M, 4.0MM2. q:Ktk PVC insulated cable black 100M 4.0mm Malaysia -> no KTK OEM site; q:""Ktk"" cable brand Malaysia PVC insulated wire -> KTK is an importer brand sold via MY distributors: p:samajaya.com.my/showproducts/productid/6421203 'KTK 2.5mm PVC Cable (Black)' and smjelectrical.com.my same family but ONLY 2.5mm variant listed; Lazada/Shopee 'MILLION KTK' marketplace-only. No official KTK manufacturer site exists and no 4.0MM2 black listing on any non-marketplace page. wrong-size family only -> reject.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; TIER2 intents q:'KTK PVC cable 4.0mm2 black 100M Malaysia' q:'KTK cable official' UNRUN; KTK OEM domain unknown offline]| r5:exhausted log[q:""KTK PVC cable 4mm black 100m Malaysia"" ; tier1:no-oem-found ; t3:KTK sold via distributors (SMJ Electrical, Modernvest/Lekima) only; no KTK manufacturer official site found ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
"ELE-PVC-CAS-1""",LGTH,1,pending,,,"seed: action=search; prior_decision=; prior_source= | r1:pending log[Kancil 1 x 6FT PVC Casing. q:""Kancil"" PVC casing 6FT electrical Malaysia -> chenta.com.my portfolio pages; Chenta Electrical Pipe Industries Sdn Bhd is the Malaysian manufacturer whose conduit brands include KANCIL (p:chenta.com.my/portfolio/pvc-conduit-kancil/ title 'PVC Conduit Kancil'). p:https://chenta.com.my/portfolio/upvc-casing/ says 'Size (inch) ... 1 ... Length 1.83M & UPON REQUEST, Color WHITE' -> size 1in x 1.83M(=6FT) white literally matches catalogue. og:image IMG_2334-1.jpg (800x533) is mfr product shot of uPVC casing. Caveat: string 'KANCIL' not printed on the casing page itself (only on their conduit pages); casing could be house-brand-neutral -> pending, brand_string_not_on_page.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; q:'Kancil PVC casing conduit 6FT Malaysia' tried via Bing - junk unrelated; TIER2 q:'Kancil uPVC conduit official MY' UNRUN]"
"BNW-WAS-1/4""",PKT,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[1/4 Iron Washer 20PCS/PCK. q:""SW-260""-style brand hunt n/a; q:1/4 iron washer pack Malaysia; q:BSW flat washer 1/4 Malaysia; q:iron washer DIN125 1/4 inch supplier; q:washer fastener Malaysia hardware; q:""1/4"" washer mild steel pack -> all hits are generic unbranded fastener dealers (unicircle, standardbolts, flybear). No brand/OEM page exists for commodity washers. generic_unbranded -> reject.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; generic unbranded iron washer; mandated full queries UNRUN so reject unprovable this session -> generic_unbranded+search_down]| r5:exhausted log[q:""SS304 nut bolt washer threaded rod expansion eye bolt Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY fastener traders (Fuji/Pertama/Yew Siong) sell generic stock; TRAC/OAC codes unresolved ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
BNW-NUT-SS304-M12,PCS,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[SS 304 Nut M12. q:SS304 hex nut M12 DIN934 Malaysia supplier stainless -> p:standardbolts.net/product/hexagon-nut-din934/ (generic mfr/dealer, no SKU-level photo), p:unicircle.com.my/product/hex-nut-din-934/ (distributor page, generic), Shopee/Lazada marketplace listings. Commodity nut, no brand/OEM page anywhere. generic_unbranded -> reject.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; q:'SS304 M12 hex nut manufacturer official' attempted - 429; generic unbranded fastener, mandated queries UNRUN -> generic_unbranded+search_down]| r5:exhausted log[q:""SS304 nut bolt washer threaded rod expansion eye bolt Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY fastener traders (Fuji/Pertama/Yew Siong) sell generic stock; TRAC/OAC codes unresolved ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
FAS-PLU-PVC-GREY-SW260,PCK,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[Grey PVC Wall Plug SW-260. q:""SW-260"" PVC wall plug grey Malaysia -> zero SW-260 code hits; q:PVC wall plug grey Malaysia -> culmi.com.my 'PVC WALL PLUG (50 PCS/SHEET) GREY', geolaser, unicircle etc all generic unbranded sheets/packs. SW-260 is a supplier size-code, untraceable. generic_unbranded -> reject.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; TIER2 intent q:'SW-260 grey PVC wall plug' + zero-pad/prefix variants UNRUN; SW-260 may be local SKU code]| r5:exhausted log[q:""K103 stainless steel wall plug M10 Malaysia"" ; tier1:no-oem-found ; t3:K103-304 code unresolved to OEM; sleeve-anchor resellers only; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
"CLI-HOS-GP-3/4""",PCS,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[GP S/steel Hose Clip 3/4in (13-19MM). q:stainless steel hose clip ""13-19mm"" GP Malaysia -> p:kowhock.com.my B.I.Care K2514 (different brand, w/handle), velocitydiy generic 2pcs, ProHome88 Lazada, temotuf eezee - all other brands/generic. 'GP' here reads as general-purpose, not a brand. No OEM page. generic_unbranded -> reject.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; q:'stainless steel hose clip 3/4 13-19mm brand official' attempted - 429; GP=trade descriptor not brand -> generic_unbranded+search_down]| r5:exhausted log[q:""hose clip stainless steel 13-23mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; distributor pages list Brand ""-"" confirming unbranded commodity ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ABR-PAP-621-539,SHT,1,pending,,,"seed: action=search; prior_decision=; prior_source= | r1:pending log[G800 EWD Hand Sanding Sheet. q:""EWD"" hand sanding sheet G800 abrasive -> no EWD brand results (Burns/Axminster/3M only); q:""EWD"" wet dry sandpaper sheet Malaysia -> 3M.com.my wetordry category, citraoasis sandpaper sheets P60-P2000, toptoa.my TOA/Nitto sandpapers - none branded EWD. EWD likely local importer initials; G800 grit spec matches commodity wet/dry 230x280mm sheets sold by MY abrasive suppliers but no EWD-branded official page found. generic_unbranded/untraceable_brand -> pending (grit+type plausible at citraoasis/toptoa but source would be non-authorised random dealer).]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; TIER2 intent q:'EWD G800 hand sanding sheet' UNRUN; sibling of 621-series sheets]"
X-SWI-LWD-1WAY-2GANG,PCS,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[Niko S - 1G1W Switch White. q:""Niko"" 1G1W switch white Malaysia electrical -> p:niko.eu Belgian switch maker (Niko Original/Hydro ranges, EU naming, no '1G1W' SKU naming, no MY distribution shown); Shopee 'NIKO 13A SWITCH SOCKET authorized distributor' is marketplace-only and does not show this SKU; schneider vivace 1g1w hits are different brand. Malaysian 'Niko S' switch has no official product page anywhere. no_official_page -> reject.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; final retry q:'Niko switch 1G1W Malaysia' still 429; Belgian Niko(niko.eu) unlikely source for MY trade switch; TIER2 UNRUN]| r5:exhausted log[q:""Niko S switch 1 gang 1 way white Malaysia"" ; tier1:no-oem-found ; t3:only Belgian niko.com and MK/Schneider equivalents found; local ""Niko S"" OEM unresolved; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
ACE-HAM-ANC-1/4X2,PCK,1,pending,,,"seed: action=search; prior_decision=; prior_source= | r1:pending log[Ace Hammer Drive Anchor 650 1/4x2 (=6x50mm=HDA650). q:""Ace"" ""hammer drive anchor"" 650 Malaysia -> p:litaventure.com.my ACE BRAND HDA HDA630-HDA675 CA638 (JS-blocked stub, no image retrievable), soongwung.com/product/hammer-drive-anchor-ace/ sizes incl 1/4x2, chenhuphardware HDA-ZINC 'Authorized Distributor' page. q:""ACE BRAND"" fasteners Malaysia hammer drive anchor HDA650 official -> no OEM site for Malaysian 'ACE BRAND'; acefastener.com is unrelated US dealer. Opened p:m.djhardware.com.my products_id=3314613 'ACE HDA ZINC ALLOY HAMMER DRIVE ANCHOR (WS)' og:image npcdn png 1000x1000 - family photo covering HDA630-675 range, size 650 not isolated in image/title. Distributor-not-proven-authorised + family_shot + size_unproven -> pending.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; TIER2 intent q:'Ace hammer drive anchor 650 nylon 1/4x2' UNRUN; Ace=AceHardware housebrand vs MY trade brand unresolved]"
FIT-PVC-TEE-20MMX15MM,PCS,1,exhausted,,,"seed: action=search; prior_decision=; prior_source= | r1:reject log[PVC Fitting Tee Reducing 3/4 x 1/2. q:PVC tee reducing 20mm x 15mm Malaysia plumbing; q:""PVC fitting"" tee reducing Malaysia supplier -> only generic plumbing dealers/marketplaces selling unbranded PVC fittings (same families as PVC-LINK etc). Commodity fitting, no OEM page exists. generic_unbranded -> reject.]| r4:pending log[BLOCKER session: websearch provider HTTP429(parallel.ai) on 11 attempts over ~60min incl backoffs; alt engines bot-walled: Bing SERP query-unrelated junk, DDG html+lite captcha, Mojeek 403, Marginalia bot-gate loop, SearX.be/Startpage JS-verify, Ecosia 403; p:https://www.leeden.com.my/ fetched200 corporate welding/safety site, no catalogue for this class; generic unbranded PVC tee reducing; mandated queries UNRUN -> generic_unbranded+search_down]| r5:exhausted log[q:""PVC tee reducer elbow 32mm fitting Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MS628-standard fittings sold as No-Brand; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)]"
