slice_id,home_chat,source_file,ord_lo,ord_hi,rows,actions,prior_tiers
S0129,08,chat-08.csv,6324,6373,50,duplicate_listing|reopen,0
S0130,08,chat-08.csv,6374,6423,50,reopen,0
S0131,08,chat-08.csv,6424,6473,50,reopen,0
S0132,08,chat-08.csv,6474,6523,50,reopen,0
S0133,08,chat-08.csv,6524,6573,50,reopen,0
S0134,08,chat-08.csv,6574,6623,50,duplicate_listing|reopen,0
S0135,08,chat-08.csv,6624,6673,50,reopen,0
S0136,08,chat-08.csv,6674,6712,39,reopen,0
S0137,09,chat-09.csv,6713,6762,50,reopen,0
S0138,09,chat-09.csv,6763,6812,50,reopen,0
S0139,09,chat-09.csv,6813,6862,50,reopen,0
S0140,09,chat-09.csv,6863,6912,50,reopen,0
S0141,09,chat-09.csv,6913,6962,50,reopen,0
S0142,09,chat-09.csv,6963,7012,50,reopen,0
S0143,09,chat-09.csv,7013,7062,50,reopen,0
S0144,09,chat-09.csv,7063,7112,50,reopen,0
S0145,09,chat-09.csv,7113,7162,50,reopen,0
S0146,09,chat-09.csv,7163,7212,50,duplicate_listing|reopen,0
S0147,09,chat-09.csv,7213,7262,50,reopen,0
S0148,09,chat-09.csv,7263,7312,50,reopen,0
S0149,09,chat-09.csv,7313,7362,50,reopen,0
S0150,09,chat-09.csv,7363,7412,50,reopen,0
S0151,09,chat-09.csv,7413,7462,50,duplicate_listing|reopen,0
S0152,09,chat-09.csv,7463,7512,50,duplicate_listing|reopen,0
S0153,09,chat-09.csv,7513,7544,32,duplicate_listing,0
