source_position,item_code,uom,official_product_page,official_image_url,verifier_verdict,finish_exact,model_exact,justification
456,TOW-SAN-SWP-BF-7903-G,PCS,https://saniware.com/product/swp-bf-7903-g/,https://saniware.com/wp-content/uploads/2025/04/SWP-BF-7903-G.png,pass,yes,yes,SWP-BF-7903-G H1 Finishing Satin Gold SUS304 double towel bar; image gold double towel bar ~1000px PNG
463,SHO-SOR-SRTSS5724-RG,PCS,https://www.sorento.com.my/sorento-bathroom/shower-bidet/hand-shower/srtss5724-rg-detail,https://sorento.com.my/images/stories/virtuemart/product/SRTSS5724-RG.jpg,pass,yes,yes,SRTSS5724-RG H1 3 Functions ABS Hand shower c/w hose & holder colour Black & Rose Gold consistent RG; jpg 83476B 1668x1668
471,TAP-SAN-SWP-B-3213-GM,PCS,https://saniware.com/product/tall-basin-cold-tap-swp-ss-304-3213-gm/,https://saniware.com/wp-content/uploads/2025/05/3213-GM.png,pass,yes,yes,SWP-SS-304-3213-GM H1 Tall Basin Cold Tap Gun Metal RM210; image tall gun-metal dark grey cold tap ~1000px
502,TOI-HOL-SAN-SWP-BF-7909-G,PCS,https://saniware.com/product/swp-bf-7909-g/,https://saniware.com/wp-content/uploads/2025/04/SWP-BF-7909-G.png,pass,yes,yes,SWP-BF-7909-G H1 Toilet Paper Holder Finishing Satin Gold; image satin gold holder w cover ~1000px PNG
557,VAC-PSN-MC-CG371AV47,PCS,https://www.panasonic.com/my/consumer/home-appliance/vacuum-cleaner/bagged-canister-vacuum-cleaner/mc-cg371.html,https://store.apac.panasonic.com/media/catalog/product/m/c/mc-cg371_00.png,pass,yes,yes,Panasonic MY page live quotes MC-CG371AV47 Light & Powerful Bagged Vacuum Cleaner; png ~1024x1024 >20KB BLUE bagged canister vacuum matches blue display
585,STA-ROT-BCRT8K35,UNIT,https://asia.blackanddecker.global/product/bcrt8k35-b1/8v-max-cordless-rotary-tool-35-piece-accessory-set,https://asia.blackanddecker.global/ASIA/PRODUCT/IMAGES/HIRES/BCRT8K35_1.jpg,pass,yes,yes,BCRT8K35-B1 8V MAX Cordless Rotary Tool 35-Piece Accessory Set title/H1; jpg ~2000x2000 >20KB orange black B+D rotary tool
634,STA-HEA-STEL670,UNIT,https://asia.stanleytools.global/product/stel670-xd/2000w-heat-gun,https://asia.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/STEL670_1.jpg,pass,yes,yes,STEL670 breadcrumb STEL670-XD main image STEL670_1.jpg 2000W HEAT GUN H1 Available Brunei Malaysia Singapore; jpg 68829B 2000x2000 yellow black heat gun
638,BOS-2608-643-009,PCS,https://www.bosch-pt.com.ph/ph/en/pro-wood-corded-circular-saw-blade-for-mitre-saws-3089783-ocs-ac,https://www.bosch-pt.com.ph/binary/ocsmedia/optimized/full/o464312v82_2608643009_bo_pro_u_f_1.png,pass,yes,yes,Bosch PRO Wood blade page part number 2 608 643 009 options table Part number 2608643009 detail diameter 254mm/10in teeth 80 ATB wood fine cut; png 571002B 900x900 shows blade
646,SAF-BOX-YSS250,UNIT,,,fail,yes,yes,Yale VN page live quotes YSS/250/DB2 BUT gw-assets URL HTTP403 text/plain 20B no px AND asset filename is yss200db2 sibling
679,STA-SHE-SAN-SS24,UNIT,https://asia.stanleytools.global/product/ss24/240w-14-sheet-sander,https://asia.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SS24_1.jpg,pass,yes,yes,SS24 breadcrumb SS24-IN overview The SS24 1/4 sheet sander has a 240W motor; jpg 226983B 2000x2000 yellow black sheet sander
727,NIP-QGL-15L-A,DRUM,https://www.nipponpaint.com.my/product/q-glo/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/q-glo-new.webp,pass,yes,yes,Q-Glo Satin Finish Interior Wall Paint H1 Q-Glo; webp ~1000x1200 >20KB pink Q-GLO pail matches family (no conflicting finish named)
750,TOW-SAN-SWP-BF-7902-G,PCS,https://saniware.com/product/swp-bf-7902-g/,https://saniware.com/wp-content/uploads/2025/04/SWP-BF-7902-G.png,fail,no,no,cited swp-bf-7902 page is CHROME variant Finishing Polish Chrome while image SWP-BF-7902-G.png pictures satin-gold rack of separate -G listing; exact SKU SWP-BF-7902-G absent from cited page
796,STA-TIL-CUT-STSP125,UNIT,https://asia.stanleytools.global/product/stsp125/1320w-high-power-tile-cutter,https://asia.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/STSP125_1.jpg,pass,yes,yes,STSP125-IN 1320W High Power Tile Cutter STSP125 family string title/H1 1320W motor; jpg ~2000x2000 >20KB Stanley yellow tile cutter diamond blade
830,ALP-WAT-HEA-IM-9E-SIL,UNIT,,,pass,yes,yes,IM-9E Rainshower tab quoted Metal Silver; jpg 1000x1000 119403B silver heater rainshower pictured
850,NIP-SAT-GLO-15L-D,DRUM,,,pass,yes,no,Nippon Satin Glo page live pail pictured satin finish BUT no 15L or Deep Base string anywhere so model_exact=no
871,NIP-SEA-5200-20L,DRUM,https://www.nipponpaint.com.my/product/5200-wall-sealer/,https://www.nipponpaint.com.my/wp-content/uploads/2024/10/5200-interior-sealer.webp,pass,yes,yes,Page quotes 5200 Interior Sealer Nippon Paint 5200 Wall Sealer body; image via webfetch Nippon pail labelled 5200 INTERIOR SEALER square >=1000px
949,BLE-PSN-MX-EX1531WSK,PCS,http://web.archive.org/web/20260419144953/https://www.panasonic.com/my/support/product-archives/consumer/kitchen-appliances/blenders-hand-blenders/blender/mx-ex1531wsk.html,https://www.panasonic.com/content/dam/pim/my/en/MX/MX-EX1/MX-EX1531WSK/ast-1602087.jpg,pass,yes,yes,Archived PDP live MX-EX1531WSK title H1 Twin Jugs Lightweight Blender Max Motor Locked 450W Dry Mill confirmed; image verified via webfetch white twin-jug blender dry mill ~2000px
