source_position,item_code,uom,display_name,category,detected_brand,detected_model,existing_source_url,existing_image_url,campaign_classification,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes,research_state
2512,GUM-HAR-3000W,PCS,Silicone Hardex G/p White,Chemicals & Adhesives,,HA-3000W,,,PENDING,,,,Silicone Hardex G/p White,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2513,GUM-RAT-BOSNY-NO.214,CAN,Bosny 400ML Rat Glue (NO:214) (plastic Can),Chemicals & Adhesives,,NO:214,,,PENDING,Bosny,,400 ml / No.214 row code unresolved,"BOSNY RAT-GLUE, 400 ml size; official page does not state B-214/No.214 packaging code",https://www.bosny.com/product/rat-glue/,official manufacturer product page,Tier 1A,,packaging_code_unresolved,78,0,Queries ran: exact Bosny No.214/B-214 400 ml rat-glue searches and official Bosny product page. The official page confirms RAT-GLUE and an available 400 ml size but does not state No.214/B-214 or show the exact plastic-can packaging.,Generic official RAT-GLUE image not promoted because the source row includes No.214/plastic-can specificity. Marketplace images were excluded.,PENDING: exact product code and package image are not established by the official page.,exact_code_and_packaging_not_preserved,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2514,LAD-ALU-WEL-D10,UNIT,Alum Welded Ladder - D10,Ladders & Access,,D10,,,PENDING,,,,Alum Welded Ladder - D10,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2516,SWI-T/SOC-MS3233-1.5M3G,PCS,Morries Extension Socket 3G 1.5M W Neon (pink),Electrical,,MS3233-1.5,,,PENDING,Morries,MS3233-1.5,3G / 1.5 m / pink / neon,Morries extension socket row; exact first-party source not preserved,,,,,not_preserved,35,0,Queries ran: exact Morries MS3233-1.5 3G pink neon extension-socket searches and Malaysia-first manufacturer/distributor searches. No exact authoritative page plus exact image was preserved.,No sibling Morries socket image was substituted.,PENDING: no authoritative exact source/image preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2517,TOO-NIE-ALL-KEY-04MM,PCS,Nietz E/long Ball Point Satin Wrch 53252040 4MM,Power Tools,Nietz,,,,PENDING,Nietz,53252040,4 mm extra-long ball-point satin wrench,"NIETZ extra-long ball-point satin wrench, code 53252040",https://nietz.com.my/product-catalogue/,official manufacturer catalogue landing page,Tier 1A,,not_preserved,72,0,Queries ran: exact NIETZ 53252040 searches and official NIETZ catalogue page. The manufacturer catalogue landing page confirms the first-party catalogue but no model-specific page or preserved image was exposed for 53252040.,No adjacent NIETZ wrench image was substituted.,PENDING: exact model identity is plausible but exact official image is not preserved.,exact_image_not_preserved,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2518,TOO-SET-W018,SET,W018 18PCS Tool Set,Power Tools,,W018,,,PENDING,,,,W018 18PCS Tool Set,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2520,TRA-SOC-METAL-125502,PCS,Taicon 2G 70/0076 Metal Trailing Socket 5M (125502),Electrical,Taicon,,,,PENDING,Taicon,,70/0076 cable / 5 m / metal trailing socket / 2G,Taicon trailing socket row; exact first-party model code not preserved,,,,,not_preserved,35,0,Queries ran: exact Taicon 70/0076 2G metal trailing-socket searches and Malaysia-first manufacturer/distributor searches. Search results were marketplace or generic trailing-socket listings; no exact authoritative page/image was preserved.,Marketplace and unrelated trailing-socket images were excluded.,PENDING: exact Taicon source and image unavailable.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2521,CLI-HOS-ORB-M00,PCS,Orbit Hose Clip No : M00,Outdoor & Garden,,M00,,,PENDING,,,,Orbit Hose Clip No : M00,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2523,"FAS-SCR-CSK-1 1/2"" X 8G-BOX",BOX,Sr Csk Tapping Screw 1 1/2 X 8G (1000PCS/BOX),Fasteners & Fixings,,1000PCS/BOX,,,PENDING,,,,Sr Csk Tapping Screw 1 1/2 X 8G (1000PCS/BOX),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2524,FLO-PVC-25208,ROLL,PVC Flooring No. K35808,Flooring,,K35808,,,PENDING,,,,PVC Flooring No. K35808,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2525,FLO-PVC-501-16,ROLL,PVC Flooring No. K35602,Flooring,,K35602,,,PENDING,,,,PVC Flooring No. K35602,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2526,FLO-PVC-D15903,ROLL,PVC Flooring No. K28505,Flooring,,K28505,,,PENDING,,,,PVC Flooring No. K28505,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2527,FLO-PVC-K27711,ROLL,PVC Flooring No. K33605,Flooring,,K33605,,,PENDING,,,,PVC Flooring No. K33605,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2528,FLO-PVC-NO-7512,ROLL,PVC Flooring No. K20101,Flooring,,K20101,,,PENDING,,,,PVC Flooring No. K20101,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2529,FLO-PVC-NO-K10305,ROLL,PVC Flooring No. K35301,Flooring,,K35301,,,PENDING,,,,PVC Flooring No. K35301,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2530,FLO-PVC-NO-K11114,ROLL,PVC Flooring No. K11114,Flooring,,K11114,,,PENDING,,,,PVC Flooring No. K11114,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2532,MARK-X-STA-MKX-2020,UNIT,Mark-x Angle Grinder Stand,Power Tools,,MKX-2020,,,PENDING,Mark-X,MKX-2020,angle grinder stand,"Mark-X angle grinder stand, MKX-2020 row; exact manufacturer source not preserved",,,,,not_preserved,40,0,Queries ran: exact Mark-X MKX-2020 searches and Malaysia-first manufacturer/distributor searches. No authoritative exact product page or image was preserved.,No generic angle-grinder stand image was substituted.,PENDING: no authoritative exact source/image preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2533,NUM-PUNC-50730080,SET,Nietz 0-9 Number Punches 8MM 50730080,Signage & Numbering,Nietz,,,,PENDING,Nietz,50730080,0–9 number punches / 8 mm,"NIETZ 0–9 number punch set, code 50730080",https://nietz.com.my/product-catalogue/,official manufacturer catalogue landing page,Tier 1A,,not_preserved,72,0,"Queries ran: exact NIETZ 50730080 searches and official NIETZ catalogue page. The first-party catalogue landing page was reached, but no model-specific page or image was preserved for code 50730080.",No adjacent NIETZ punch-set image was substituted.,PENDING: exact official image not preserved.,exact_image_not_preserved,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2534,PEN-T200-GREY,PAIL,Pentens T200 Fleseal GREY-5KG,Housewares,,T200,,,PENDING,Pentens,T-200,Grey / 5 kg,PENTENS T-200 Fleseal grey; source row specifies 5 kg,https://www.pentens.com/en/product-detail/T-200/,official manufacturer product page,Tier 1A,,packaging_unresolved,82,0,"Queries ran: exact Pentens T200 Fleseal Grey 5 kg searches and official Pentens T-200 page. Official page confirms T-200 and grey colour, but lists 20 kg and 200 kg/pail packaging and exposes no exact 5 kg image.",White/green/yellow T-200 colour options and non-exact package sizes were not substituted.,PENDING: material 5 kg packaging variant lacks exact official image evidence.,packaging_variant_unresolved,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2535,PEN-T200-WHI,PAIL,Pentens T200 Fleseal WHITE-5KG,Housewares,,T200,,,PENDING,Pentens,T-200,White / 5 kg,PENTENS T-200 Fleseal white; source row specifies 5 kg,https://www.pentens.com/en/product-detail/T-200/,official manufacturer product page,Tier 1A,,packaging_unresolved,82,0,"Queries ran: exact Pentens T200 Fleseal White 5 kg searches and official Pentens T-200 page. Official page confirms T-200 and white colour, but lists 20 kg and 200 kg/pail packaging and exposes no exact 5 kg image.",Grey/green/yellow T-200 colour options and non-exact package sizes were not substituted.,PENDING: material 5 kg packaging variant lacks exact official image evidence.,packaging_variant_unresolved,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2536,TOO-COM-W0287N-21MM,PCS,Com Ratchet Wrench 21MM,Hand Tools,,W0287N,,,PENDING,,,,Com Ratchet Wrench 21MM,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2538,WEL-ELE-J38.12-3.2MM,BOX,Welding Electrode X 3.2MM (BOX),Welding,,J38.12,,,PENDING,,,,Welding Electrode X 3.2MM (BOX),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2539,X-FLO-MOC-KH19T01,PCS,"8""X8 Homogeneous Tiles",Power Tools,,KH19T01,,,PENDING,,,,"8""X8 Homogeneous Tiles",,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2540,ADH-GLU-PE175GM,SET,175GM E P Glue,Chemicals & Adhesives,,175GM,,,PENDING,,,,175GM E P Glue,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2542,BOS-0600-8A7-508,PCS,(508) 3 IN 1 Nozzle,Power Tool Accessories,Bosch,,,,PENDING,Bosch,,3-in-1 nozzle / source code 508,Bosch 3-in-1 nozzle row; exact source code unresolved,https://www.bosch-diy.com/my/en/p/universalaquatak-125-06008a7al0,official manufacturer product page,Tier 1A,,part_code_unresolved,62,0,"Queries ran: exact Bosch 0600-8A7-508 and 3-in-1/Trio Nozzle searches on Bosch DIY and Bosch Professional Malaysia. Official pages identify related Trio Nozzle families and UniversalAquatak accessories, but no exact official Malaysia image mapping for source code 508 was preserved.",Related F016800583/F016800508-style nozzle pages were not used as exact substitutes.,PENDING: exact Bosch nozzle part-code mapping is unresolved.,exact_part_code_unresolved,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2543,CHA-CAP-SQU-EXT-25MM,PCK,Square External Cap 25MM (4PCS/PCK),Outdoor & Garden,,4PCS/PCK,,,PENDING,,,,Square External Cap 25MM (4PCS/PCK),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2544,CUT-DIS-MARK-00900,PCS,Mr. Mark 108MM Segmented Diamond Wheel (1.8X8X20MM),Abrasives & Cutting,,1.8X8X20MM,,,PENDING,,,,Mr. Mark 108MM Segmented Diamond Wheel (1.8X8X20MM),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2545,FAS-SCR-TECH-WOOD-50MM-BOX,BOX,Techscrew-wood Screw X 50MM (250PCS/BOX),Fasteners & Fixings,,250PCS/BOX,,,PENDING,,,,Techscrew-wood Screw X 50MM (250PCS/BOX),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2546,GAR-SPR-16LTR-BB3G,SET,Knapsack Sprayer (BB-3G),Outdoor & Garden,,BB-3G,,,PENDING,,,,Knapsack Sprayer (BB-3G),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2547,HOS-CON-STO-ECO4112,PCS,"Ecogreen- Quick Connector W. Wtr Stop 5/8""-3/4",Outdoor & Garden,,EG4112,,,PENDING,Ecogreen,EG4112,quick connector / water stop / 5/8–3/4 inch,Ecogreen EG4112 quick connector row; exact first-party source not preserved,,,,,not_preserved,40,0,Queries ran: exact Ecogreen EG4112 searches and Malaysia-first manufacturer/distributor searches. No authoritative exact product page and exact image were preserved.,No generic quick-connector image was substituted.,PENDING: no authoritative exact source/image preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2548,KGR-KIM-1L-9215,TIN,1 Litre KIMTONE-9215,Paint & Sundries,,KIMTONE-9215,,,PENDING,,,,1 Litre KIMTONE-9215,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2549,PAI-ROL-REF-CRI-7,PCS,"7""XD6 Cristin Rainbow Refill",Paint & Sundries,,XD6,,,PENDING,,,,"7""XD6 Cristin Rainbow Refill",,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2550,PAP-WALL-HAVANA-11866-12,ROLL,Wallpaper Havana 11866-12(10MX53CM),Paint & Sundries,,10MX53CM,,,PENDING,,,,Wallpaper Havana 11866-12(10MX53CM),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2551,SHH-YEL-HOSE-10MMX2MM,MTR,Yellow Hose (10MMX2MM),Outdoor & Garden,,10MMX2MM,,,PENDING,,,,Yellow Hose (10MMX2MM),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2552,TOO-WRE-PIP-W450C,PCS,Heavy Pipe Wrench (450MM),Hand Tools,,W450C,,,PENDING,,,,Heavy Pipe Wrench (450MM),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
