item_code,uom,display_name,category,stock_qty,price_myr,priority_score,priority_tier,detected_brand,detected_model,suggested_family_key,family_listing_count,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,image_url,local_asset_path,checksum,notes,source_position,coverage_source,coverage_file,existing_classification,existing_rights_status,existing_model,existing_source_url,existing_image_url,existing_image_status,existing_notes,campaign_classification,rights_status_final,evidence_ready,campaign_notes
JOV-WAT-HEA-SL30E-WHI-RS,PCS,Joven (white) Instant Water Heater SL30E-RS,Home Appliances,9,509.00,90.1,1,Joven,SL30E-RS,joven:joven-instant-water-heater-sl30e-rs,1,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official page confirms SL30e-RS but stocked white finish and package contents still need visual verification.,11,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
SHO-SAN-SWP-BSP-9003G,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Bathroom,1,729.00,90.1,1,Saniware,3WAY,saniware:saniware-premier-3way-bath-expose-shower-set-mixer,2,,,,pending,,pending,,,,,12,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
SHO-SAN-SWP-BSP-9003RG,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Bathroom,1,729.00,90.1,1,Saniware,3WAY,saniware:saniware-premier-3way-bath-expose-shower-set-mixer,2,,,,pending,,pending,,,,,13,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-RG-304-3905,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,Kitchen & Sinks,3,224.00,89.8,1,Saniware,SWP-RG-304-3905,saniware:saniware-premier-kitchen-pillar-sink-tap-rg-swp,2,,,,pending,,pending,,,,,14,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
FAN-CEI-DEKA-CF5DCL46MB12,UNIT,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,Fans & Ventilation,3,219.00,89.7,1,Deka,DC~46L,deka:deka-ceiling-fan-f5-dc-pro-matt-blk,2,https://deka.my/wp-content/uploads/2026/01/F5-DC-PRO-DX-PRO-IM.pdf,,Deka,pending,C,candidate,,,,Official F5 DC Pro manual confirms product family; 46-inch matt-black package must be verified.,15,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
ELE-BUL-E27-3W-RED,PCS,Taicon E27 3W LED Color Bulb-red,Lighting,166,3.80,89.5,1,Taicon,E27,taicon:taicon-e27-led-color-bulb,3,,,,pending,,pending,,,,,16,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-B-2521,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Bathroom,3,209.00,89.5,1,Saniware,SWP-B-2521,saniware:saniware-premier-basin-pillar-tap-mixer-swp-b,4,https://saniware.com/product-category/faucet/mixer-series/,,Saniware,pending,A,candidate,,,,Official Saniware category lists exact SWP-B-2521 basin pillar mixer.,17,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
JOV-WAT-HEA-SB11IP-BLK-RS,PCS,Joven (blk) Instant Water Heater,Home Appliances,5,759.00,89.4,1,Joven,SB11IP-RS,joven:joven-blk-instant-water-heater,1,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official SB11 page confirms SB11iP-RS; stocked black finish and electrical loading still need label verification.,18,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
RUB-TAE11-M330,UNIT,Rubine C/hood,Home Appliances,1,3699.00,89.3,1,Rubine,RCH-NOVARA-90SS,rubine:rubine-c-hood,1,,,,pending,,pending,,,,,19,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
STA-ROT-HAM-SHR263KA,UNIT,Stanley Rotary Hammer 26MM,Power Tools,4,509.00,89.0,1,Stanley,SHR263KA,stanley:stanley-rotary-hammer,2,,,,pending,,pending,,,,,20,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-B-3023,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,Bathroom,2,274.00,89.0,1,Saniware,SWP-B-3023,saniware:saniware-premier-basin-pillar-cold-tap-rose-swp,2,,,,pending,,pending,,,,,21,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Home Appliances,2,1699.00,88.9,1,Rubine,RBO-IA8X-70SS,rubine:rubine-built-in-oven-rbo-ia8x-70ss,1,https://www.rubine.com.my/manual-download.php?parent_id=all,,Rubine Malaysia,pending,A,candidate,,,,Official Rubine manual page lists exact RBO-IA8X-70SS model.,22,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
KHI-COO-RC3636,SET,3.6L Rice Cooker (cool Grey),Home Appliances,2,254.00,88.7,1,Khind,KHIND-RC365,khind:rice-cooker-cool,2,https://khind.com.my/products/khind-rice-cooker-rc360,,Khind Malaysia,pending,C,rejected,,,,AutoCount description and original model data conflict with the official RC360/RC365 family; owner photo or exact label check required.,23,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,needs_permission,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Bathroom,6,84.90,88.7,1,Sorento,SRTSA830,sorento:sorento-shower-arm,2,https://sorento.com.my/bathroom/shower-bidet/shower-arm/srtsa830-detail,,Sorento,pending,A,candidate,,,,Official product page matches SRTSA830 and 450mm SS304 shower arm.,24,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Bathroom,4,124.00,88.6,1,Sorento,SRTSA860-GM,sorento:sorento-shower-arm,2,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf,,Sorento,pending,A,candidate,,,,Official catalogue matches SRTSA860-GM 400mm gunmetal SS304 shower arm.,25,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
JOV-WAT-HEA-SB11IP-WHI,PCS,Joven (white) Instant Water Heater SB11IP,Home Appliances,5,599.00,88.5,1,Joven,SB11IP,joven:joven-instant-water-heater-sb11ip,1,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official SB11 page confirms SB11iP; stocked white finish and electrical loading still need label verification.,26,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-SS-304-3940-RG,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Kitchen & Sinks,2,234.00,88.4,1,Saniware,SWP-SS-304-3940-RG,saniware:saniware-premier-kitchen-pillar-sink-tap-rg-swp,2,,,,pending,,pending,,,,,27,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Bathroom,5,579.00,88.3,1,Saniware,WC2300-S250MM,saniware:saniware-one-piece-washdown-closet,1,,,,pending,,pending,,,,,28,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
FAN-STA-KHI-SF1682,SET,Khind 16 Stand Fan,Fans & Ventilation,3,149.00,88.2,1,Khind,SF1682SE,khind:khind-16-stand-fan,2,https://khind.com.my/products/khind-12-and-16-real-guard-lock,,Khind Malaysia,pending,C,candidate,,,,Official spare-part page confirms SF1682 as a valid model but is not a product-image source.,29,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
ELE-BUL-E27-15W-RED,PCS,Taicon E27 Stick Bulb Red 15W,Lighting,28,15.00,88.0,1,Taicon,E27,taicon:taicon-e27-stick-bulb,2,,,,pending,,pending,,,,,30,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-B-3213,PCS,Saniware Premier Tall Basin Cold Tap,Bathroom,3,139.00,88.0,1,Saniware,SWP-SS-304-3213,saniware:saniware-premier-tall-basin-cold-tap,2,,,,pending,,pending,,,,,31,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,Joven (white) Instant Water Heater SL30IP-AWB,Home Appliances,5,519.00,87.9,1,Joven,SL30IP-AWB,joven:joven-instant-water-heater-sl30ip-awb,1,,,,pending,,pending,,,,,32,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TOI-TRP-WC2098RL-S,SET,Saniware Washdown One Piece Closet-rimless,Bathroom,5,519.00,87.9,1,Saniware,WC2098RL-S250MM,saniware:saniware-washdown-one-piece-closet-rimless,1,,,,pending,,pending,,,,,33,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,4,629.00,87.8,1,Sorento,SRTKS2429-BL,sorento:sorento-s-steel-304-kitchen-sink,1,https://sorento.com.my/result/floor-standing-water-closet__or__nanomagma__or__others__or__seat-cover__or__semi-recessed-basin__or__squatting-pan__or__toilet-safety-handrail__or__under-mount__or__water-closet-accessories,,Sorento,pending,A,candidate,,,,Official Sorento result page lists exact SRTKS2429-BL SS304 undermount sink.,34,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-B-2934,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,Bathroom,1,399.00,87.8,1,Saniware,SWP-B-2934,saniware:saniware-premier-basin-pillar-tap-mixer-swp-b,4,,,,pending,,pending,,,,,35,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,needs_permission,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-B-2931,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,Bathroom,1,389.00,87.7,1,Saniware,SWP-B-2931,saniware:saniware-premier-basin-pillar-tap-mixer-matt-swp,2,https://saniware.com/product-category/faucet/mixer-series/,,Saniware,pending,A,candidate,,,,Official Saniware category lists exact SWP-B-2931 basin pillar mixer.,36,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-B-2930,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,Bathroom,1,354.00,87.3,1,Saniware,SWP-B-2930,saniware:saniware-premier-basin-pillar-tap-mixer-swp-b,4,https://saniware.com/product-category/faucet/mixer-series/,,Saniware,pending,A,candidate,,,,Official Saniware category lists exact SWP-B-2930 basin pillar mixer.,37,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
IND-RIC-COO-RC7878,SET,5.6L Rice Cooker (cool Grey),Home Appliances,1,339.00,87.2,1,Khind,KHIND-RC565,khind:rice-cooker-cool,2,,,,pending,,pending,,,,,38,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
FAN-STA-KHI-SF1663H,SET,Khind 16 Stand Fan (black),Fans & Ventilation,2,164.00,87.1,1,Khind,SF1663H,khind:khind-16-stand-fan,2,https://khind.com.my/products/16-stand-fan,,Khind Malaysia,pending,A,candidate,,,,Official Khind product page matches SF1663H black 16-inch stand fan.,39,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-B-2924,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,Bathroom,1,334.00,87.1,1,Saniware,SWP-B-2924,saniware:saniware-premier-basin-pillar-tap-mixer-swp-b,4,,,,pending,,pending,,,,,40,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-B-2921,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,Bathroom,1,319.00,86.9,1,Saniware,SWP-B-2921,saniware:saniware-premier-basin-pillar-tap-mixer-matt-swp,2,https://saniware.com/product-tag/mixer-series/,,Saniware,pending,A,candidate,,,,Official Saniware category lists exact SWP-B-2921 basin pillar mixer.,41,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
CAB-SAN-SWBC-SS6615,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Bathroom,3,649.00,86.8,1,Saniware,SWBC-SS6615,saniware:saniware-bathroom-cabinet-set-water-tap-swbc-ss6615,1,,,,pending,,pending,,,,,42,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
GAS-STO-RUB-TAE10-M523,UNIT,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Kitchen & Sinks,1,1949.00,86.8,1,Rubine,RGH-LOTOFLEXI2B-BLFX,rubine:rubine-glass-hob-rgh-lotoflexi2b-blfx,1,https://www.rubine.com.my/manual-download.php?parent_id=all,,Rubine Malaysia,pending,A,candidate,,,,Official Rubine manual page lists exact RGH-LOTOFLEXI2B-BLFX model.,43,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TAP-SAN-SWP-SS-304-3970-MB,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),Kitchen & Sinks,1,289.00,86.6,1,Saniware,SWP-SS-304-3970-MB,saniware:saniware-premier-flexible-hose-pillar-sink-tap-waterfall,2,,,,pending,,pending,,,,,44,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
TOI-TRP-WC-8826-S,SET,Sorento Washdown Flushing Tech,Bathroom,3,609.00,86.6,1,Sorento,TECH.SRTWC8826-S-RL,sorento:sorento-washdown-flushing-tech,1,,,,pending,,pending,,,,,45,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,needs_permission,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Bathroom,4,439.00,86.4,1,Saniware,SWBC-SS6411,saniware:saniware-bathroom-cabinet-set-water-tap-swbc-ss6411,1,,,,pending,,pending,,,,,46,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,VERIFIED_CANDIDATE,needs_permission,,,,candidate,,VERIFIED_CANDIDATE,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
SHO-HAN-SWP-HS-502,SET,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,Bathroom,4,69.90,86.4,1,Saniware,SWP-HS-502,saniware:saniware-premier-hand-shower-with-flexible-hose-swp,2,,,,pending,,pending,,,,,47,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
FAN-CEI-KHI-WHI-CF618,SET,Khind - 60 Ceiling Fan,Fans & Ventilation,9,189.00,86.3,1,Khind,CF618,khind:khind-60-ceiling-fan,1,https://khind.com.my/collections/user-manuals?page=28,,Khind Malaysia,pending,C,candidate,,,,Official manual collection confirms CF618; stocked white finish and package quantity need verification.,48,priority50_forensic,/home/ubuntu/work/ekoway_priority50_forensic_reviewed.csv,PENDING,unknown,,,,pending,,PENDING,needs_permission,NO,Campaign-level rights gate is needs_permission; original source rights metadata is retained in existing_rights_status.
