item_code,catalogue_uom,excel_uom,display_name,catalogue_price_myr,excel_price_1,excel_qty,excel_description,reason
BOS-2608-595-059,SET,PCS,Hss-g Metal Bit 4.0MM (SET),47.90,4.90,10,HSS-G METAL BIT 4.0MM,uom_mismatch_not_applied
BOS-2608-595-052,SET,PCS,Hss-g Metal Bit 2.2MM,36.90,3.20,7,HSS-G METAL BIT 2.2MM,uom_mismatch_not_applied
BOS-2608-595-053,SET,PCS,Hss-g Metal Bit 2.5MM (SET),36.90,3.30,13,HSS-G METAL BIT 2.5MM,uom_mismatch_not_applied
PAI-SPR-PMT-004,DOZ,CAN,Paint Master Spray Paint - No. 4 Matt Black,66.90,6.50,124,PAINT MASTER SPRAY PAINT - NO.4 MATT BLACK     [EX],uom_mismatch_not_applied
HOS-GAR-TF125,ROLL,MTR,"Cavallo Twist Free Garden Hose 1/2""X 50M",209.00,5.60,138.5,"CAVALLO TF125 TWIST FREE GARDEN HOSE 1/2""x 50M",uom_mismatch_not_applied
PAI-SPR-PMT-040,DOZ,CAN,Paint Master Spray Paint - No. 40 White,66.90,6.50,125,PAINT MASTER SPRAY PAINT - NO.40 WHITE     [EX],uom_mismatch_not_applied
ACE-HAM-ANC-1/4X1 1/4,BOX,PCK,Ace Hammer Drive Anchor 630 1/4 X1 1/4 (10PCS/PCK) (BOX),89.90,5.40,138,ACE HAMMER DRIVE ANCHOR 630 1/4' X1 1/4' (10PCS/PCK),uom_mismatch_not_applied
"HOS-GAR-CAV-5/8""X50M",ROLL,MTR,"Cavallo Garden Hose 5/8""X50M - Yellow",169.00,4.20,121.5,"CAVALLO GARDEN HOSE 5/8""X50M - YELLOW",uom_mismatch_not_applied
PAI-SPR-PMT-039,DOZ,CAN,Paint Master Spray Paint - No. 39 Black,66.90,6.50,89,PAINT MASTER SPRAY PAINT - NO.39 BLACK     [EX],uom_mismatch_not_applied
GLO-LAT-300SP,DOZ,PAIR,Latex Work Glove - 300 Sp,47.90,3.80,2,LATEX WORK GLOVE - 300 SP,uom_mismatch_not_applied
LOC-SAN-PB26438MM,DOZ,PCS,Sanlock Pb Pad 38MM,88.90,7.50,2,SANLOCK PB PAD LOCK-264 38MM,uom_mismatch_not_applied
FAS-ANC-PJA-0975,BOX,PCS,Glotool P. J. Anchor 3/8 X 3,87.90,1.30,252,GLOTOOL P.J. ANCHOR 3/8 X 3,uom_mismatch_not_applied
IND-TRO-BRI-225,DOZ,PCS,Glotool Bricklaying Trowel (2-2) 5,46.90,3.90,7,"GLOTOOL  BRICKLAYING TROWEL (2-2) 5""",uom_mismatch_not_applied
PAI-SPR-PMT-006,DOZ,CAN,Paint Master Spray Paint - No. 6 Orange Red,66.90,6.50,67,PAINT MASTER SPRAY PAINT - NO.6 ORANGE RED     [EX],uom_mismatch_not_applied
WEL-ELE-KOB-RB26-2.6MM,BOX,PCK,Kobelco Welding Electrode RB26 X 2.6MM,274.00,61.50,1,KOBELCO WELDING ELECTRODE RB26 X 2.6MM     [EX],uom_mismatch_not_applied
TAR-SHT-TP800-GRE/BLK,COIL,MTR,Canvas Olive Gre/blk 6'X60YARDS,419.00,11.90,74.2,TP800 CANVAS OLIVE GRE/BLK 6'X60YARDS,uom_mismatch_not_applied
TOW-CAR-MIN-AR-4030,DOZ,PCS,Absorbent Rag,79.90,5.90,20,40X30CM ABSORBENT RAG,uom_mismatch_not_applied
WEL-ELE-J38.12-2.5MM,BOX,PCK,Welding Electrode X 2.5MM (BOX),134.00,15.90,19,WELDING ELECTRODE J38.12 X 2.5MM    [EX],uom_mismatch_not_applied
FLO-PVC-31612,ROLL,MTR,PVC Flooring No. K35004,164.00,9.50,39,PVC FLOORING NO. K35004,uom_mismatch_not_applied
WEL-ELE-KOB-RB26-3.2MM,BOX,PCK,Kobelco Welding Electrode RB26 X 3.2MM,264.00,57.90,0,KOBELCO WELDING ELECTRODE RB26 X 3.2MM     [EX],uom_mismatch_not_applied
WEL-ELE-KOB-RB26-4.0MM,BOX,PCK,Kobelco Welding Electrode RB26 X 4.0MM,264.00,58.50,2,KOBELCO WELDING ELECTRODE RB26 X 4.0MM     [EX],uom_mismatch_not_applied
LOC-SAN-PB26550MM,DOZ,PCS,Sanlock Pb Pad 50MM,124.00,10.50,12,SANLOCK PB PAD LOCK-265 50MM,uom_mismatch_not_applied
HOS-NET-MIK-25MM,COIL,MTR,Mikasa Net Hose - 25MM X 50M,149.00,4.20,99.5,MIKASA NET HOSE - 25MM X 50M    [EX],uom_mismatch_not_applied
IND-TRO-BRI-236,DOZ,PCS,Glotool Bricklaying Trowel (2-3) 6,47.90,3.90,21,"GLOTOOL BRICKLAYING TROWEL (2-3) 6""",uom_mismatch_not_applied
FAS-ANC-PJA-0866,BOX,PCS,Glotool P. J. Anchor 5/16 X 2-5/8,64.90,0.80,62,GLOTOOL P.J. ANCHOR 5/16 X 2-5/8,uom_mismatch_not_applied
LOC-SAN-PB26332MM,DOZ,PCS,Sanlock Pb Pad 32MM,72.90,6.20,14,SANLOCK PB PAD LOCK-263 32MM,uom_mismatch_not_applied
"TOO-DRV-BLI-IMP-4""(+)",DOZ,PCS,"Blimax Impact Screw DRIVER-4""X6MM (+)",74.90,7.10,0,"BLIMAX IMPACT SCREW DRIVER-4""X6MM(+)",uom_mismatch_not_applied
FLO-PVC-NO-11118,ROLL,MTR,PVC Flooring No. K11118,164.00,9.50,41,PVC FLOORING NO.K11118,uom_mismatch_not_applied
TOO-FIL-BCC-4.8200MM,CARD,PCS,Bahco Chain Saw File 168-8-4.8-3P 3/161IN (CARD),20.90,6.40,31,BAHCO CHAIN SAW FILE 168-8-4.8-3P 3/161IN,uom_mismatch_not_applied
"ACE-HAM-ANC-1/4' X 1 1/2""",BOX,PCK,Ace Hammer Drive Anchor 640 1/4 X 1 1/2 (10PCS/PCK) (BOX),99.90,5.90,95,"ACE HAMMER DRIVE ANCHOR 640 1/4' X 1 1/2"" (10PCS/PCK)",uom_mismatch_not_applied
ADH-ELE-3G,DOZ,PCS,X'traseal Super Glue (economy PACK)3GX12 (DOZ),18.50,1.70,286,X'TRASEAL SUPER GLUE (ECONOMY PACK)3GX12,uom_mismatch_not_applied
SHH-BLK-HOSE-9MMX2MM-S-9MTR/PCKT,MTR,FTS,Black Hose (9MMX2MM),49.90,13.90,24,BLACK HOSE (9MMX2MM)(S),uom_mismatch_not_applied
GLO-RUB-ELE-BLA,DOZ,PAIR,Elephant Rubber Hand Gloves,56.90,4.50,14,ELEPHANT RUBBER HAND GLOVES,uom_mismatch_not_applied
LOC-SAN-PB26225MM,DOZ,PCS,Sanlock Pb Pad 25MM,63.90,4.50,20,SANLOCK PB PAD LOCK-262 25MM,uom_mismatch_not_applied
IND-TRO-BRI-235,DOZ,PCS,Glotool Bricklaying Trowel (2-3) 5,49.90,3.80,20,"GLOTOOL BRICKLAYING TROWEL (2-3) 5""",uom_mismatch_not_applied
GLO-HAN-PVC-DOTS,DOZ,PAIR,Cotton Glove W/side PVC Dots (DOZ),23.90,1.90,53,COTTON GLOVE W/SIDE PVC DOTS,uom_mismatch_not_applied
IND-SCO-METAL-S501MH,DOZ,PCS,Scoop Metal Handle S501MH,179.00,16.20,7,SCOOP METAL HANDLE S501MH,uom_mismatch_not_applied
MAT-GRASS-CN-PGM-2MX25M-FTS,ROLL,FTS,2M X 25M Plastic Grass Mat Cn,1039.00,15.90,127,2M X 25M PLASTIC GRASS MAT CN PGM-2MX25M,uom_mismatch_not_applied
PAI-SPR-PMT-022,DOZ,CAN,Paint Master Spray Paint - No. 22 Medium Grey,66.90,6.50,31,PAINT MASTER SPRAY PAINT - NO.22 MEDIUM GREY     [EX],uom_mismatch_not_applied
PAI-SPR-PMT-036,DOZ,CAN,Paint Master Spray Paint - No. 36 Silver,66.90,6.50,7,PAINT MASTER SPRAY PAINT - NO.36 SILVER     [EX],uom_mismatch_not_applied
IND-WIR-PVC-MEGA-15X15,ROLL,MTR,1 X 24M (15MM) Mega Net Square Mesh (green),149.00,8.00,190.7,1 X 24M (15MM) MEGA NET SQUARE MESH (GREEN),uom_mismatch_not_applied
IND-WIR-PVC-MEGA-6X6,ROLL,MTR,1 X 24M (6MM) Mega Net Square Mesh (green),149.00,8.00,231.3,1 X 24M (6MM) MEGA NET SQUARE MESH (GREEN),uom_mismatch_not_applied
IND-WIR-PVC-MEGA-BLA-15X15,ROLL,MTR,1 X 24M (15MM) Mega Net Square Mesh (silver),149.00,8.00,83.9,1 X 24M (15MM) MEGA NET SQUARE MESH (SILVER),uom_mismatch_not_applied
ROP-PE-06MM,KG,MTR,6MM P. E Rope,19.40,0.50,1672.74,6MM P.E ROPE,uom_mismatch_not_applied
FLO-PVC-NO.100-10,ROLL,MTR,PVC Flooring No. 100-10,169.00,9.50,9,PVC FLOORING NO.100-10,uom_mismatch_not_applied
FLO-PVC-NO.483-13,ROLL,MTR,PVC Flooring No. 524-08,169.00,9.50,20.5,PVC FLOORING NO.524-08,uom_mismatch_not_applied
FLO-PVC-25208,ROLL,MTR,PVC Flooring No. K35808,164.00,9.50,0,PVC FLOORING NO.K35808,uom_mismatch_not_applied
FLO-PVC-501-16,ROLL,MTR,PVC Flooring No. K35602,164.00,9.50,60.5,PVC FLOORING NO. K35602,uom_mismatch_not_applied
FLO-PVC-D15903,ROLL,MTR,PVC Flooring No. K28505,164.00,9.50,70.5,PVC FLOORING NO. K28505,uom_mismatch_not_applied
FLO-PVC-K27711,ROLL,MTR,PVC Flooring No. K33605,164.00,9.50,50,PVC FLOORING NO. K33605,uom_mismatch_not_applied
FLO-PVC-NO-7512,ROLL,MTR,PVC Flooring No. K20101,164.00,9.50,100,PVC FLOORING NO. K20101,uom_mismatch_not_applied
FLO-PVC-NO-K10305,ROLL,MTR,PVC Flooring No. K35301,164.00,9.50,103,PVC FLOORING NO. K35301,uom_mismatch_not_applied
FLO-PVC-NO-K11114,ROLL,MTR,PVC Flooring No. K11114,164.00,9.50,116,PVC FLOORING NO. K11114,uom_mismatch_not_applied
WEL-ELE-J38.12-3.2MM,BOX,PCK,Welding Electrode X 3.2MM (BOX),129.00,29.80,5,WELDING ELECTRODE J38.12 X 3.2MM    [EX],uom_mismatch_not_applied
SHH-YEL-HOSE-10MMX2MM,MTR,FTS,Yellow Hose (10MMX2MM),18.50,4.90,18.3,YELLOW HOSE (10MMX2MM),uom_mismatch_not_applied
HEA-SPA-FAUCET-SH332,CARD,PCS,Faucet Spare Handle,134.00,6.50,9,SH332 FAUCET SPARE HANDLE,uom_mismatch_not_applied
PAI-SPR-PMT-021,DOZ,CAN,Paint Master Spray Paint - No. 21 Medium Blue,66.90,6.50,24,PAINT MASTER SPRAY PAINT - NO.21 MEDIUM BLUE     [EX],uom_mismatch_not_applied
HOS-SPA-SAT-ST300,CARD,PCS,Saturn Heavy Duty Spare Cartridge,259.00,8.90,21,SATURN ST300 HEAVY DUTY SPARE CARTRIDGE,uom_mismatch_not_applied
IND-FOIL-SML-BUBLE-ELISE,ROLL,MTR,Elise Small Bubblem Foil,184.00,11.90,61.25,ELISE# SMALL BUBBLEM FOIL 1.2MX30M   [EX],uom_mismatch_not_applied
FAS-ANC-PJA-0650,BOX,PCS,Glotool P. J. Anchor 1/4 X 2,87.90,0.60,138,GLOTOOL P.J. ANCHOR 1/4 X 2,uom_mismatch_not_applied
FLO-PVC-NO-K24708,ROLL,MTR,PVC Flooring No. K35810,164.00,9.50,0,PVC FLOORING NO. K35810,uom_mismatch_not_applied
TOO-FIL-BCC-4.5200MM,CARD,PCS,Bahco Chain Saw File 168-8-4.5-3P 11/641IN (CARD),20.90,6.40,24,BAHCO CHAIN SAW FILE 168-8-4.5-3P 11/641IN,uom_mismatch_not_applied
HOS-CLE-00630,COIL,MTR,6MM X 30M Clear Hose,21.90,1.30,562.8,6MM X 30M CLEAR HOSE,uom_mismatch_not_applied
PAI-SPR-PMT-023,DOZ,CAN,Paint Master Spray Paint - No. 23 Scarlet,66.90,6.50,10,PAINT MASTER SPRAY PAINT - NO.23 SCARLET     [EX],uom_mismatch_not_applied
PAI-SPR-PMT-031,DOZ,CAN,Paint Master Spray Paint - No. 31 Deep Yellow,66.90,6.50,24,PAINT MASTER SPRAY PAINT - NO.31 DEEP YELLOW     [EX],uom_mismatch_not_applied
PAI-SPR-PMT-327,DOZ,CAN,Paint Master Spray Paint - No. 327 Deep Voilet,66.90,6.50,21,PAINT MASTER SPRAY PAINT - NO.327 DEEP VOILET     [EX],uom_mismatch_not_applied
TOW-CON-MIN66A52,PACK,PCS,13 X30 Cotton Face Towel (37G) -min (PACK),52.90,4.30,36,"13"" X30"" COTTON FACE TOWEL (37G) -MIN 66A52",uom_mismatch_not_applied
ROP-PE-08MM,KG,MTR,8MM P. E Rope,19.40,1.00,1219.005,8MM P.E ROPE,uom_mismatch_not_applied
HOS-SPA-TAP-C333,CARD,PCS,C333 Spare Cartridge (for Cross Handle),179.00,6.50,24,C333 SPARE CARTRIDGE (FOR CROSS HANDLE),uom_mismatch_not_applied
IND-SCO-METAL-S503MH,DOZ,PCS,Scoop Metal Handle S503MH,179.00,16.20,8,SCOOP METAL HANDLE S503MH,uom_mismatch_not_applied
ROP-PP-08MM,KG,MTR,8MM P. P Rope,19.40,1.20,1114.395,8MM P.P ROPE,uom_mismatch_not_applied
FLO-PVC-NO.490-12,ROLL,MTR,PVC Flooring No. 359-03,169.00,9.50,8,PVC FLOORING NO.359-03,uom_mismatch_not_applied
PAI-BRU-680-075MM,DOZ,PCS,Paint Brush 680 X 75MM,49.90,5.20,66,PAINT BRUSH 680 X 75MM,uom_mismatch_not_applied
ROP-PP-06MM,KG,MTR,6MM P. P Rope,19.40,0.70,967.88,6MM P.P ROPE,uom_mismatch_not_applied
FLO-PVC-477-12,ROLL,MTR,PVC Flooring No. 105-03,164.00,9.50,0,PVC FLOORING NO.105-03,uom_mismatch_not_applied
FLO-PVC-NO-K21314,ROLL,MTR,PVC Flooring No. K15201,164.00,9.50,0,PVC FLOORING NO. K15201,uom_mismatch_not_applied
FLO-PVC-NO-YP 25709,ROLL,MTR,PVC Flooring No. K31210,164.00,9.50,0,PVC FLOORING NO. K31210,uom_mismatch_not_applied
FLO-PVC-NO.K28605,ROLL,MTR,PVC Flooring No. K28605,164.00,9.50,0,PVC FLOORING NO. K28605,uom_mismatch_not_applied
PAI-BRU-680-050MM,DOZ,PCS,Paint Brush 680 X 50MM,27.90,2.90,50,PAINT BRUSH 680 X 50MM,uom_mismatch_not_applied
IND-WIR-MES-2512-18GX100,ROLL,FTS,Wire Mesh 1 X 1/2 X3 X18G,219.00,3.40,372,WIRE MESH 1 X 1/2 X3' X18G    [EX],uom_mismatch_not_applied
HOS-NET-MIK-19MM,COIL,MTR,Mikasa Net Hose - 19MM X 50M,124.00,3.10,98,MIKASA NET HOSE - 19MM X 50M    [EX],uom_mismatch_not_applied
IND-WIR-MES-1212-18GX100,ROLL,FTS,Wire Mesh 1/2/ X 1/2 X 3 X 18G,284.00,4.80,175.5,WIRE MESH 1/2/ X 1/2 X 3' X 18G    [EX],uom_mismatch_not_applied
PAI-SPR-PMT-015,DOZ,CAN,Paint Master Spray Paint - No. 15 Sky Blue (DOZ),66.90,6.50,26,PAINT MASTER SPRAY PAINT - NO.15 SKY BLUE     [EX],uom_mismatch_not_applied
PAI-SPR-PMT-190,DOZ,CAN,Paint Master Spray Paint - No. 190 Lacquer,66.90,6.50,14,PAINT MASTER SPRAY PAINT - NO.190 LACQUER     [EX],uom_mismatch_not_applied
FLO-PVC-KJ-TH121-2,ROLL,MTR,Zirafah PVC Flooring H117-12,119.00,9.50,0,ZIRAFAH PVC FLOORING H117-12,uom_mismatch_not_applied
FLO-PVC-NO-H198-1,ROLL,MTR,Zirafah PVC Flooring H065-6,119.00,9.50,0,ZIRAFAH PVC FLOORING H065-6,uom_mismatch_not_applied
FLO-PVC-NO-279-02,ROLL,MTR,PVC Flooring No. 521-05,169.00,9.50,20.5,PVC FLOORING NO.521-05,uom_mismatch_not_applied
FLO-PVC-NO.9607,ROLL,MTR,PVC Flooring No. 522-02,169.00,9.50,21.5,PVC FLOORING NO.522-02,uom_mismatch_not_applied
PAI-BRU-680-038MM,DOZ,PCS,Paint Brush 680 X 38MM,20.00,1.80,50,PAINT BRUSH 680 X 38MM,uom_mismatch_not_applied
PAI-TIG-250ML-RED,DOZ,TIN,250ML Ocean Gloss (red),119.00,10.90,6,250ML 'OCEAN' GLOSS PAINT-725 (RED),uom_mismatch_not_applied
FLO-PVC- NO.483-01,ROLL,MTR,PVC Flooring No. K35707,164.00,9.50,0,PVC FLOORING NO. K35707,uom_mismatch_not_applied
FLO-PVC-300-11,ROLL,MTR,PVC Flooring No. K36004,164.00,9.50,0,PVC FLOORING NO.K36004,uom_mismatch_not_applied
FLO-PVC-469-02,ROLL,MTR,PVC Flooring No. 470-21,164.00,9.50,0,PVC FLOORING NO.470-21,uom_mismatch_not_applied
FLO-PVC-482-14,ROLL,MTR,PVC Flooring No. 090-30,164.00,9.50,0,PVC FLOORING NO.090-30,uom_mismatch_not_applied
FLO-PVC-NO-K21114,ROLL,MTR,PVC Flooring No. K20901,164.00,9.50,0,PVC FLOORING NO. K20901,uom_mismatch_not_applied
FLO-PVC-NO-K23706,ROLL,MTR,PVC Flooring No. K11116,164.00,9.50,1,PVC FLOORING NO. K11116,uom_mismatch_not_applied
HOS-NET-MIK-32MM,COIL,MTR,Mikasa Net Hose - 32MM X 40M,194.00,6.20,39,MIKASA NET HOSE - 32MM x 40M    [EX],uom_mismatch_not_applied
PAI-BRU-633-100MM,DOZ,PCS,Paint Brush 633 X 100MM,38.90,3.90,29,PAINT BRUSH 633 X 100MM,uom_mismatch_not_applied
PAI-BRU-680-025MM,DOZ,PCS,Paint Brush 680 X 25MM,18.60,1.60,56,PAINT BRUSH 680 X 25MM,uom_mismatch_not_applied
FLO-PVC-27y082-06-25MTR,ROLL,MTR,Wangsaga Floor Mat Linoleum 27Y465-16,259.00,14.90,25,WANGSAGA FLOOR MAT LINOLEUM 27y465-16,uom_mismatch_not_applied
FLO-PVC-27y279-14-25MTR,ROLL,MTR,Wangsaga Floor Mat Linoleum 27Y496-10,259.00,14.90,25,WANGSAGA FLOOR MAT LINOLEUM 27y496-10,uom_mismatch_not_applied
FLO-PVC-27y384-02-25MTR,ROLL,MTR,Wangsaga Floor Mat Linoleum 27Y 396-17,259.00,14.90,7,"""WANGSAGA"" FLOOR MAT LINOLEUM 27y 396-17",uom_mismatch_not_applied
FLO-PVC-27y399-03-25MTR,ROLL,MTR,Wangsaga Floor Mat Linoleum 27Y 042-10,259.00,14.90,1,'WANGSAGA'' FLOOR MAT LINOLEUM 27y 042-10,uom_mismatch_not_applied
FLO-PVC-27y410-11-25MTR,ROLL,MTR,Wangsaga Floor Mat Linoleum 27Y 404-04,259.00,14.90,25,WANGSAGA FLOOR MAT LINOLEUM 27Y 404-04,uom_mismatch_not_applied
FLO-PVC-27y465-01-25MTR,ROLL,MTR,Wangsaga Floor Mat Linoleum 27Y 311-04,259.00,14.90,1,''WANGSAGA'' FLOOR MAT LINOLEUM 27y 311-04,uom_mismatch_not_applied
ROO-FEL-1MX10M,ROLLS,MTR,1M X 10M Roofling Felt,64.90,9.90,45,30LBS 1M X 10M ROOFLING FELT,uom_mismatch_not_applied
HOS-CLE-01230,COIL,MTR,13MM X 30M Clear Hose,49.90,2.50,86.8,13MM X 30M CLEAR HOSE,uom_mismatch_not_applied
PAI-BRU-633-050MM,DOZ,PCS,Paint Brush 633 X 50MM,19.00,1.90,25,PAINT BRUSH 633 X 50MM,uom_mismatch_not_applied
FLO-PVC-H030-4,ROLL,MTR,Zirafah PVC Flooring H020-7,119.00,9.50,0,ZIRAFAH PVC FLOORING H020-7,uom_mismatch_not_applied
FLO-PVC-NO-H015-4,ROLL,MTR,Zirafah PVC Flooring H162-7,119.00,9.50,0,ZIRAFAH PVC FLOORING H162-7,uom_mismatch_not_applied
CAB-BAT-120AMPX100FTS,COIL,FTS,Battery Cable X,619.00,7.50,92,BATTERY CABLE 120AMP X 100FTS,uom_mismatch_not_applied
IND-WIR-MES-2525-18GX100,ROLL,FTS,Wire Mesh 1 X 1 X3 X18G X100,204.00,2.80,281,WIRE MESH 1 X 1 X3' X18G X100'    [EX],uom_mismatch_not_applied
TOO-FIL-BCC-4.0200MM,CARD,PCS,Bahco Chain Saw File 168-8-4.0-3P 5/321IN,20.90,6.40,8,BAHCO CHAIN SAW FILE 168-8-4.0-3P 5/321IN,uom_mismatch_not_applied
DOR-H&S-BS115MM,DOZ,PCS,Rb Hasp & STAPLE-115MM,45.90,3.40,20,RB HASP & STAPLE-115MM,uom_mismatch_not_applied
"FAS-SCR-TAP-PAN-8#3/4""",BOX,PCK,8 X3/4 Ph Self Tapping Screw-pan Head (20PCS/PCK) (BOX),89.90,2.20,85,"8#X3/4"" PH SELF TAPPING SCREW-PAN HEAD(20PCS/PCK)",uom_mismatch_not_applied
PAI-SPR-PMT-013,DOZ,CAN,Paint Master Spray Paint - No. 13 Fresh Green (DOZ),66.90,6.50,17,PAINT MASTER SPRAY PAINT - NO.13 FRESH GREEN     [EX],uom_mismatch_not_applied
PAI-SPR-PMT-025,DOZ,CAN,Paint Master Spray Paint - No. 25 Medium Yellow,66.90,6.50,12,PAINT MASTER SPRAY PAINT - NO.25 MEDIUM YELLOW     [EX],uom_mismatch_not_applied
PAI-SPR-PMT-027,DOZ,CAN,Paint Master Spray Paint - No. 27 Leaf Green,66.90,6.50,5,PAINT MASTER SPRAY PAINT - NO.27 LEAF GREEN     [EX],uom_mismatch_not_applied
PAI-SPR-PMT-041,DOZ,CAN,Paint Master Spray Paint - No. 41 Art Yellow,66.90,6.50,10,PAINT MASTER SPRAY PAINT - NO.41 ART YELLOW     [EX],uom_mismatch_not_applied
PAI-SPR-PMT-C671,DOZ,CAN,Paint Master Spray Paint - No. C671 Eng. Orange Yel,66.90,6.50,2,PAINT MASTER SPRAY PAINT - NO.C671 ENG.ORANGE YEL   [EX],uom_mismatch_not_applied
PAI-SPR-PMT-C672,DOZ,CAN,Paint Master Spray Paint - No. C672 Eng. Orange Red,66.90,6.50,5,PAINT MASTER SPRAY PAINT - NO.C672 ENG.ORANGE RED [EX],uom_mismatch_not_applied
PAI-BRU-633-025MM,DOZ,PCS,Paint Brush 633 X 25MM,12.40,1.30,47,PAINT BRUSH 633 X 25MM,uom_mismatch_not_applied
PAI-BRU-680-065MM,DOZ,PCS,Paint Brush 680 X 65MM,36.90,3.90,0,PAINT BRUSH 680 X 65MM,uom_mismatch_not_applied
