item_code,display_name,category,uom,stock_qty,price_myr
FAN-CEI-LED-RCF-MOZIA56-5BL-BT,Rubine Blk Timber LED Ceiling Fan,Fans & Ventilation,PCS,3,549.00
TOI-TRP-WC-SRTWC8366-S(250MM),Sorento One Piece Washdown W Rimless Flush Tech,Bathroom,PCS,1,1799.00
TOI-TRP-WC-SRTWC8518-SH-S,Sorento One Piece Twister Flushing Tech,Bathroom,PCS,2,949.00
GAS-STO-RUB-TAE10-E102,Rubine Ceramic Hob,Kitchen & Sinks,UNIT,1,1590.00
ELE-BUL-B22-3W-RED,Taicon B22 3W LED Color Bulb - Red,Lighting,PCS,56,2.50
ELE-BUL-E27-10W-RED,Taicon E27 Stick Bulb Red 10W,Lighting,PCS,17,7.90
MIR-SWBC-SS6414,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6414,Bathroom,SET,2,688.00
OVEN-RUB-TAE13-M507,Rubine M/wave Oven RMO-934SS-GD34X,Home Appliances,UNIT,1,2030.00
SHO-SOR-SRTSH2623-BL,Sorento 225MM ABS Rain Shower Head Matt Blk,Bathroom,PCS,2,99.00
SIN-SOR-SRTKS2426-BL,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,PCS,2,799.00
SHO-SAN-SWP-BSP-5505B,Saniware Premier 3WAY Bath Shower Set For Water Heater (black),Bathroom,PCS,2,848.00
TAP-SAN-SWP-SS-304-3950-MB,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap (matt Blk),Kitchen & Sinks,PCS,1,219.00
FAN-CEI-RCF-MOZIA56-5B-BT,Rubine Blk Timber Ceiling Fan,Fans & Ventilation,PCS,3,499.00
TOI-TRP-WC-SRTWC8840-S,Sorento Close Coupled Wash,Bathroom,PCS,2,769.00
BATH-SRTBF31416,Sorento 304 S/s 5 IN 1 Bathroom Furn,Bathroom,PCS,1,1488.00
ELE-D/L-MEG-YTT100ZI-30W,Megaman E27 LED Bulb,Lighting,PCS,32,28.80
RUB-TAE10-M371,Rubine Glass Hob RGH-FIGATA2B-BL,Kitchen & Sinks,UNIT,1,860.00
SHO-SAN-SWP-BSP-5504B,Saniware Premier 2WAY Bath Shower Set For Water Heater (black),Bathroom,PCS,2,768.00
SIN-SOR-SRTKS2431,Sorento Nanograin Texture Kitchen Sink,Kitchen & Sinks,PCS,1,1499.00
ELE-CAB-WIR-MKK-2.5MM-RED,MKK Cable 2.5MM (7/0.49MM) Red,Electrical,ROLL,53,79.50
FAN-CEI-DEKA-CGNL54MB12,Deka Ceiling Fan Geno Matt Black,Fans & Ventilation,UNIT,4,318.00
KHI-HDR-HD515,Hair Dryer 1800W (matt Black),Home Appliances,SET,2,75.00
OVEN-RUB-TAE13-M503,Rubine M/wave Oven RMO-OREO-28BL,Home Appliances,UNIT,1,1390.00
ELE-CAB-WIR-MKK-2.5MM-BLACK,MKK Cable 2.5MM (7/0.49MM) Black,Electrical,ROLL,51,79.50
MIR-SWBC-SS6811,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6811,Bathroom,SET,1,1199.00
SPR-BID-SWP-SS-304-6875-BA,Saniware Premier Two Way Tap With Bidet SET&1.2M Flex. Hose,Bathroom,PCS,1,199.00
TAP-SAN-SWP-SS-304-3950,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap,Kitchen & Sinks,PCS,1,195.00
TAP-SAN-SWP-B-3213-G,Saniware Premier Tall Basin Cold Tap (gold),Bathroom,PCS,1,189.00
BATH-SRTBF31514,Sorento 5IN1 Bath Furn,Bathroom,PCS,1,1299.00
FAN-CEI-DEKA-CF66DC66MB12,Deka Ceiling Fan F66 DC Matt Black,Fans & Ventilation,UNIT,4,288.00
JOV-WAT-FIL-JP200,Joven (red) Water Purifier,Home Appliances,PCS,5,179.00
KHI-HDR-HD511-GRE,Hair Dryer 1400W (matt Grey),Home Appliances,SET,2,65.00
SHO-SOR-SRTWT9605RG,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,Bathroom,PCS,2,588.00
SHO-SOR-SRTWT9614,Sorento Shower Set,Bathroom,PCS,2,598.00
TAP-SAN-SWP-SS-304-3939,Saniware Premier Double Spout Kitchen Pillar Sink Tap,Kitchen & Sinks,PCS,4,249.00
X-GAS-STO-RUB-TAE10-M372,Rubine Glass Hob RGH-ALLORA2B-BL,Kitchen & Sinks,UNIT,1,1299.00
FAN-FLO-KHI-FF2005,20 Ind Floor Fan Black,Fans & Ventilation,PCS,3,299.00
SIN-SOR-SRTKS2427-BL,Sorento S/s 304 Kitchen Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,PCS,1,1299.00
BAS-SOR-SRTWB7132,Sorento Counter Top Basin,Bathroom,PCS,3,309.00
ELE-D/L-MEG-YTPDGLE5-70W,Megaman E27 Led-t Bulb,Lighting,PCS,7,99.50
X-ELE-LED-FFL-CHA-10W,Taicon Stick LED Mini 5W E27 - Red,Lighting,PCS,94,6.40
ELE-BUL-E27-3W-BLUE,Taicon E27 3W LED Color Bulb-blue,Lighting,PCS,37,2.50
ELE-HOL-TC818-E27,Taicon Tc 818 E27 Lamp Holder,Lighting,PCS,196,2.80
FAN-WAL-KHI-FW1660TH,16 Wall Fan,Fans & Ventilation,SET,4,199.00
KHI-POT-AP550,Khind Thermos Pot 5.5L,Home Appliances,SET,4,198.00
RAINBOW-G888-250GM,Nippon Gold Paint 999 Gold,Paint & Sundries,BTL,11,42.90
TAP-SAN-SWP-B-3203-RG,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-SS-304-3203-RG,Bathroom,PCS,1,159.00
TAP-SAN-SWP-SS-3391,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-3391,Kitchen & Sinks,PCS,1,138.00
SPR-BID-SWP-SS-304-6875A,Saniware Premier Two Way Tap With Bidet Set 1.2M Flex. Hose,Bathroom,PCS,1,159.00
SPR-BID-SWSB-ABS-362,Saniware ABS Spray Bidet Set Holder & 1.2MM Flexible Hose,Bathroom,PCS,2,69.00
BATH-SRTBF31417,Sorento 6 IN 1 Bathroom Furniture,Bathroom,PCS,1,1088.00
ELE-D/L-MEG-FE2155D-18W-3000K,Megaman Plce T3 3U E27 Bulb,Lighting,PCS,49,11.80
FAN-CEI-DEKA-CF5DC46MB12,Deka Ceiling Fan F5 DC~46 Pro Matt Blk,Fans & Ventilation,UNIT,4,188.00
X-RUB-TRB08-006,Rubine Rjs 622 S/s Sink (1BB+1SB),Kitchen & Sinks,UNIT,1,1338.00
ELE-BUL-B22-3W-BLU,Taicon B22 3W LED Color Bulb - Blue,Lighting,PCS,34,2.50
STA-HAM-SBD715D2K,Stanley Fatmax 20V Brushless Hammer Drill,Power Tools,UNIT,4,769.00
BOS-0601-227-1L2,Gsb 13RE Impact Drill (blow Mode Set),Power Tools,UNIT,6,485.00
GAS-STO-KHI-GC7125,Khind Gas Cooker (stainless Steel),Home Appliances,SET,3,225.00
SHO-SOR-SRTWT9600HP,Sorento Exposed Shower Set - 2WAYS SRTWT9600HP,Bathroom,PCS,2,469.00
LOC-YALE-Y120B-50-KA5,Yale (key Alike) Boron Shackle Padlock Y120B-50-KA5,Lifting & Rigging,SET,3,419.00
SHO-SOR-SRTSS8730,Sorento Sliding BAR Shower Set - SRTSS8730,Bathroom,PCS,4,199.00
ELE-BUL-E27-3W-GREEN,Taicon E27 3W LED Color Bulb-green,Lighting,PCS,26,2.50
KHI-INF-COO-IRC2000,Khind - Infrared Cooker (black),Home Appliances,SET,3,239.00
STA-DRI-BRU-SBD710D2K,Stanley Fatmax 20V Max Brushless Drill Driver,Power Tools,UNIT,4,698.00
ELE-BUL-B22-3W-GRE,Taicon B22 3W LED Color Bulb - Green,Lighting,PCS,30,2.50
ELE-D/L-MEG-FE2155D-18W,Megaman E27 3U Bulb,Lighting,PCS,41,11.90
NIP-MAT-W9102-18L,18L Super Matex Bs 9102 White,Paint & Sundries,DRUM,52,119.00
STA-GRI-SCG400-SET,Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202),Power Tools,UNIT,3,868.00
STA-PRE-WAS-BEPW1800T,Black+decker Vertical Pressure Washer 125 BAR,Power Tools,UNIT,4,659.00
TAP-SAN-SWP-SS-304-106,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-304-106,Kitchen & Sinks,PCS,1,109.00
ELE-D/L-MEG-YTA60Z1-10W,Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K,Lighting,PCS,54,8.90
BOS-0601-9H9-0L2C2,Gws + Gsb Set + Gbh Solo + Gdx Solo Combo,Power Tools,SET,1,2448.00
ELE-CAB-WIR-MKK-1.5MM-BLACK,MKK Cable 1.5MM (7/0.39MM) Black,Electrical,ROLL,49,49.50
GAS-STO-KHI-GS1516,Khind - Infrared Gas Cooker (stainless Steel),Home Appliances,SET,4,172.00
ELE-D/L-MEG-YTP38B1-10W,Megaman LED Stick Bulb Plc YTP38B1 10W/6500K,Lighting,PCS,38,11.80
ELE-D/L-TC-3260-32W-RND-4000K,Taicon V3 32W Adjusted LED Dl Round (TC-3260),Lighting,PCS,16,36.90
KHI-COO-RC918T,Khind - Rc 1.8L Teflon Pot (cream Magnolia),Home Appliances,SET,4,145.00
NIP-SEA-5100-20L,18L Nippon Vinilex 5100 Wall Sealer,Paint & Sundries,DRUM,20,345.00
X-STA-PLANER-STP18-1800W,Stanley Thickness Planer 1800W,Power Tools,UNIT,1,2239.00
BOS-0600-910-0L0SH,Ghp High Pressure Cleaner,Power Tools,UNIT,1,2429.00
FAN-KHI-AF1801,Khind 18 Auto Fan (white),Fans & Ventilation,SET,2,288.00
FAN-WAL-TAICON-TC-11006,Taicon 16 Wall Fan Sirim-whi,Fans & Ventilation,SET,5,115.00
KHI-COO-RCJ188,Khind - Jar Rice Cooker 1.8L (mint),Home Appliances,SET,4,145.00
BOS-2608-619-701,Cutting Disc Metal,Abrasives & Cutting,PCS,2303,2.70
NIP-MAT-15245-18L,18L Super Matex 15245 Maxtwhite,Paint & Sundries,DRUM,45,119.00
NIP-SAT-GLO-18L-145,18L Nippon Satin Glo 145 White,Paint & Sundries,CAN,11,549.00
PSN-MJ-CS100WSK,Panasonic Juicer 1.7L 400W (white),Home Appliances,PCS,2,282.00
STA-IMP-DRI-STDH7213V,Stanley Percussion Drill 800W+VP,Power Tools,UNIT,5,449.00
TAP-SAN-SWP-SS-304-3936-SS,Saniware Premier Kitchen Wall Sink Tap-ss,Kitchen & Sinks,PCS,4,125.00
ELE-D/L-MEG-YTA70Z1-15W,Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K,Lighting,PCS,31,13.90
ELE-D/L-MEG-YTP38B1-10W-4000K,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,Lighting,PCS,35,11.80
FAN-CEI-DEKA-CF5DC56MB,Deka Ceiling Fan F5 Dc~pro Matt Blk 56,Fans & Ventilation,UNIT,8,189.00
TAP-SAN-SWP-B-304-3915,Saniware Premier Kitchen Wall Sink Tap-blk,Kitchen & Sinks,PCS,3,205.00
FAN-CEI-DEKA-CGNL54OAK12,Deka Ceiling Fan Geno Oak,Fans & Ventilation,UNIT,2,318.00
JOV-WAT-FIL-JWP20,Joven Water Filter,Pumps & Water,PCS,1,2138.00
STA-PRE-WAS-BEPW1750,Black+decker Pressure Washer 120BAR,Power Tools,UNIT,4,579.00
BOS-AHI4-4PC-R,Adelino S/steel Multi Stage Centrifugal Pump (1.0HP),Pumps & Water,UNIT,2,998.00
BOS-AJS37PC,Adelino Automatic Self-priming Jet Pump With Pc (0.5HP),Pumps & Water,UNIT,3,698.00
ELE-D/L-TC-2260-22W,Taicon 24W Adjusted LED Dl Rnd,Lighting,PCS,18,25.50
"EXH-FAN-KHI-12""-WHI-EF1201",Khind 12 Exhaust Fan (off White),Fans & Ventilation,SET,4,125.00
BOS-0601-9K3-1L2,Gsb Batt. Impact Drill,Power Tools,UNIT,3,769.00
BOS-2608-522-405,Impact Bit PH2 X 65MM,Power Tools,PCS,16,14.30
ELE-CAB-WIR-MKK-2.5MM-YEL,MKK Cable 2.5MM (7/0.49MM) Yellow,Electrical,ROLL,26,79.50
ELE-D/L-MEG-YTP45B1-15W-3000K,Megaman LED Stick Bulb Plc YTP45B1 15W/3000K,Lighting,PCS,24,16.30
ELE-D/L-MEG-YTP45Z1-15W-4000K,Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K,Lighting,PCS,23,15.90
STA-PRE-WAS-HD4,Karcher Classic High Pressure Washer,Power Tools,UNIT,1,1988.00
STA-SAW-SCR121S2K,Stanley 12V Reciprocating Saw,Power Tools,UNIT,4,518.00
FAN-TAB-KHI-TF1210SE-LAV,Khind - 12 Table Fan (sweet Lavender),Fans & Ventilation,SET,4,105.00
BOS-0611-321-0L0,Gsh 5CE Demolition Hammer,Power Tools,UNIT,1,2238.00
ELE-CAB-WIR-MKK-2.5MM-GRE,MKK Cable 2.5MM (7/0.49MM) Green,Electrical,ROLL,26,79.50
ELE-D/L-MEG-YTP45Z1-15W-3000K,Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K,Lighting,PCS,22,15.90
FAN-WAL-TAICON-TC-11007,Taicon 16 Wall Fan Sirim-blk,Fans & Ventilation,SET,4,122.00
BOS-0601-1A2-1L0,Gsb Impact Drill,Power Tools,UNIT,2,879.00
BOS-0601-9N9-0L0C1,Gws + Gds + Gsb Plus Combo Set,Power Tools,SET,1,1795.00
ELE-D/L-MEG-YTP38B1-10W-3000K,Megaman LED Stick Bulb Plc YTP38B1 10W/3000K,Lighting,PCS,30,11.80
ELE-D/L-TC-3260-32W-RND,Taicon 32W Adjusted LED Round (TC-3260),Lighting,PCS,13,36.90
BOS-AHI2-4PC,Adelino S/steel Multi Stage Centrifugal Pump (0.75HP),Pumps & Water,UNIT,2,899.00
KHI-FRY-ARF35,Khind Air Fryer (mint),Home Appliances,SET,2,228.00
STA-DRI-SCD10D2K,Stanley 12V Tower Up Drill/driver 2.0AH,Power Tools,UNIT,6,369.00
BOS-0601-9F7-0L0,Gsr Battery Screwdriver,Hand Tools,UNIT,13,448.00
BOS-0611-924-0L1,Gbh Batt. Rotary Hammer,Power Tools,UNIT,1,1719.00
ELE-D/L-MEG-YTA60Z1-10W-4000K,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Lighting,PCS,36,8.80
ELE-D/L-MEG-YTA70Z1-15W-4000K,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Lighting,PCS,22,13.90
ELE-D/L-TC-2261-32W-SQ,Taicon 32W Adjusted LED Square (TC-2261),Lighting,PCS,12,35.90
KHI-COO-RC828N,Khind Rice Cooker 2.8L,Home Appliances,SET,3,159.00
BOS-0601-9K0-0L0,Gds Batt. Impact Wrench 18V-400,Power Tools,UNITS,1,1579.00
ELE-D/L-MEG-YTP45B1-15W-4000K,Megaman LED Stick Bulb Plc YTP45B1 15W/4000K,Lighting,PCS,20,16.30
"EXH-FAN-KHI-08""-WHI-EF8001",Khind 8 Exhaust Fan (off White),Fans & Ventilation,SET,4,99.00
GAS-COO-TC-2288-PGC,Taicon Portable Gas Cooker,Home Appliances,SET,9,59.00
BOS-0601-228-1L2,Gsb 16RE Impact Drill (blow Mode Set),Power Tools,UNIT,3,535.00
BOS-0601-9G8-1L7,Gsb 121B Batt. Impact Drill (1 Batt.),Power Tools,UNIT,4,389.00
BOS-2608-522-406,Impact Bit PH2 X 110MM,Power Tools,PCS,10,20.50
BOS-2608-522-407,Impact Bit PH2 X 150MM,Power Tools,PCS,6,29.80
ELE-D/L-MEG-YTA65Z2-12W,Megaman A65 E27 LED Bulb,Lighting,PCS,26,11.30
BOS-0601-9G8-0L4,Gsr 121B Batt. Screwdriver (1 Batt.),Hand Tools,UNIT,13,329.00
ELE-BUL-B22-3W-YEL,Taicon B22 3W LED Color Bulb - Yellow,Lighting,PCS,16,2.50
CHA-SAW-STIHL-MS172,Stihl Chainsaw 16 Stihl Chain & Guide BAR,"Rope, Chain & Netting",UNIT,4,889.00
ELE-D/L-MEG-YTA70Z1-15W-3000K,Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K,Lighting,PCS,19,13.90
KET-PSN-NC-GK1WSK,Panasonic 1.7L Plastick Kettle,Home Appliances,PCS,2,168.00
RUB-TRT02-SA302,Rubine Double Spout Wall Mounted S'tap,Home Appliances,UNIT,1,399.00
STA-PRE-WAS-BEPW1600L,Black+decker Pressure Washer L 110 BAR,Power Tools,UNIT,3,489.00
"EXH-FAN-KHI-10""-WHI-EF1001",Khind 10 Exhaust Fan (off White),Fans & Ventilation,SET,3,109.00
NIP-PHG-1L-A,1L Platone High Gloss Accent Base,Paint & Sundries,CAN,98,42.30
NIP-PHG-5L-A,5L Platone High Gloss Accent Base,Paint & Sundries,CAN,28,176.50
BOS-0601-068-000,Gol 26D Optical Leveller,Power Tools,UNIT,1,1288.00
CHA-SAW-STIHL-MS162,Stihl Chainsaw 14 Stihl Chain & Guide BAR,"Rope, Chain & Netting",UNIT,4,798.00
KHI-COO-RC806N,Khind 0.6L Rice Cooker (light Winter GREY)-RC806N,Home Appliances,SET,3,95.00
KHI-TOA-BT808,Khind Bread Toaster (mint),Home Appliances,SET,4,72.00
STA-PRE-WAS-BCPC20D1,Black+decker 20V Power Cleaner,Chemicals & Adhesives,UNIT,2,645.00
STI-BRU-CUT-FR3001,Stihl Brush Cutter,Outdoor & Garden,UNIT,2,558.00
BOS-AQSD110F,Adelino Submersible Sewage Pump 1.1KW,Pumps & Water,UNIT,1,1299.00
NIP-PHG-1L-P,1L Platone High Gloss Paster Base,Paint & Sundries,CAN,84,38.70
PSN-TK-CS10-WMA,Panasonic Water Purifier (white),Home Appliances,PCS,1,309.00
STA-CHO-SSC22,Stanley Chopsaw 2200W 355MM,Power Tools,UNIT,2,628.00
BOS-0601-9K3-1L2C1,Gsb + Gdr Kit Combo Kit,Power Tools,SET,1,1149.00
NIP-PHG-5L-P,5L Platone High Gloss Paster Base,Paint & Sundries,CAN,22,143.70
OVEN-KHI-TOA-OT3005,Khind Oven Toaster (black),Home Appliances,SET,1,378.00
PAI-SPR-SAM-2K01,Samurai Clearcoat Spray,Paint & Sundries,PCS,21,46.90
NIP-QSH-EXT-20L-P,18L Nippon Q-shield Extra Pastel Base,Paint & Sundries,DRUM,7,440.70
PSN-TK-CS200C-EX,Panasonic Water Cartridge,Home Appliances,PCS,3,86.00
STA-TRI-ST55,Stanley 550W 6.35MM Corded Trimmer,Power Tools,UNIT,4,279.00
TAP-SAN-SWP-SS-304-3937-MB,Saniware Premier Kitchen Pillar Sink Tap-matt Blk,Kitchen & Sinks,PCS,2,169.00
BOS-0611-338-9L1,Gsh 5MX Demolition Hammer,Power Tools,UNIT,1,1098.00
ELE-D/L-MEG-YTP38Z1-10W,Megaman LED Stick Bulb E27 YTP38Z1 10W/6500K,Lighting,PCS,18,11.90
X-LOC-YALE-Y120B-50-KA3,Yale (key Alike) Boron Shackle Padlock Y120B-50-KA3,Lifting & Rigging,SET,2,265.00
ELE-CAB-WIR-MKK-1.5MM-YELLOW,MKK Cable 1.5MM (7/0.39MM) Yellow,Electrical,ROLL,23,49.50
NIP-WTRB-5L-P,5L Nippon Weatherbond Quartz Pastel Base,Paint & Sundries,CAN,12,244.00
STA-POL-SP137,Stanley 1300W 180MM Polisher,Power Tools,UNIT,3,398.00
ELE-D/L-MEG-YTP38Z1-10W-4000K,Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K,Lighting,PCS,17,11.90
FAN-CEI-DEKA-CCNL54RG12,Deka Ceiling Fan Geno Rose Gold,Fans & Ventilation,UNIT,1,318.00
FAN-FLO-KHI-FF1803B,Floor Fan 18,Fans & Ventilation,SET,1,249.00
STA-PLA-STEL630,Stanley Planer 82MM,Power Tools,UNIT,3,415.00
BOS-0601-387-0L0,Gex Eccentric Disc Sander 125-1A,Power Tools,UNIT,2,559.00
ELE-D/L-MEG-YTG45Z1-5W,Megaman G45 E27 LED Bulb YTG45Z1/5W 5W/6500K,Lighting,PCS,26,7.50
NIP-SEA-5170-20L,20L Nippon Acrylic 5170 Wall Sealer,Paint & Sundries,DRUM,6,539.00
NIP-VIN-EAS-15L-A,15L Nippon Vinilex Easywash Accent Base,Paint & Sundries,DRUM,8,354.00
