source_position,item_code,uom,display_name,state,tiers_tried,last_red
6973,SMR-TCT-HOL-SAW-30MM,PCS,Smr Tct Holesaw 30MM,open,1,
6052,SAF-SLI-GLO-2TON4M,LGTH,Webbing Sling (glolift) 50MM 2 Ton X 4M,open,1,
7450,TOO-WRE-OIL-FW-7008B,PCS,Fiesto Chain Oil Filter Wrench 12,open,1,
7394,CAR-WAX-REPELL,PCS,Lizard Repellent 500ML,open,1,
7675,SHH-BAS-WIR-WB12G,PCS,"Wire Basket 12""/30CM (gold)",open,1,
7361,"CUT-PAR-18""",PCS,18 Parang,open,1,
5674,SPR-BID-06093,SET,Ets 302 Elise Toilet Sprayer Set,open,1,
7448,SHH-NYL-NET-6,PCS,Automatic Nylon Fishing Mesh Net 6 Hole,open,1,
5181,TOO-ELE-GUN-GLU-60W,SET,60W Glue Gun,open,1,
5838,TOO-ELE-GUN-PIN-60W,PCS,60W Soldering Iron Gun,open,1,
7469,CAR-WAX-MOS-CLE,PCS,Mcs Super Mosaic Clean - 500ML,open,1,
7692,GUN-H/D-10-1/2'',PCS,Heavy Duty (revolving) Caulking Gun - 10-1/2,open,1,
7478,"TOO-DRV-STA-TAN-8MM-10""-#3+",PCS,Tank Thru Screwdriver - 8MM X 10 X 3 (+),open,1,
6868,GAR-SPR-LAN-CR8446B,PCS,Spraying Lance (bend),open,1,
6992,"TOO-BAR-WRE-STR-30""",PCS,Gd Wrecking BAR (straight) 30,open,1,
6872,PYE-TOI-MOS-1000ML,BOT,PYE Mosaic&toilet Stains Remover Kleen 1000ML,open,1,red:model_absent
6933,TOO-LEV-STA-993042291,PCS,8 X 3 Vials Torpedo Levels-magnetic,open,1,
7387,CAR-CLE-WHEEL,BTL,Armor All Wheel & Tire Cleaner 300ML,open,1,
7472,PAI-GAL-6G-9600,PCS,9600 6G Pail,open,1,
6058,X-CIMA-DL-L/SC38/RND/18W/DL,SET,Senco 6 Round LED Panel Light 18W,open,1,
7499,SHH-REEL-LINE-SS800,PCS,Santec Sepit 800 Prawn Reel W/line,open,1,
7057,X-TOO-DRI-ADA-13MM,PCS,13MM Drill Chuck With Adapter Adamark,open,1,
7538,CAR-HIT-HP-CB999067,PCS,Carbon Brush,open,1,
6124,LOC-TRI-264,PCS,264 Tricycle Pad Lock,open,,
7703,COC-BAL-L602,PCS,Vovo Brass Ball Cock 1/2,open,,
7047,DOR-INS-KIT-26095(5),SET,Br 4009 5PCS Lockset Installation Kit,open,,
7553,PAI-GAL-606S,PCS,6 Gallon Pail,open,,
7250,BLI-HSS-HOL-SAW-26MM,PCS,Navato Hole Saw Cutter 26MM,open,,
7571,TOO-FIL-SENSUI-SNF001-B,PCS,8 Sensui Metal Flat File,open,,
6145,IND-SCO-WOO-501,PCS,501 Wooden Handle Shovel Head (PCS),open,,
5267,IND-SCO-WOO-503,PCS,503 Wooden Handle Shovel Head,open,,
7554,"SHH-CAGE-2RING-12""-2",PCS,"2 Ring Cages 12 (210/5 X 12"")",open,,
6540,TOO-COM-GD29,PCS,Gd Combination Wrench 29MM,open,,
7552,PAI-GAL-4G-9400,PCS,9400 4G Pail,open,,
7557,WEL-LON-BAC-CAP,PCS,Long Back Cap,open,,
6422,LOC-TRI-263,PCS,263 Tricycle Pad Lock,open,,red:too_small
7379,PVC-STRAPPING-APPLE GREEN,KGS,PVC Strapping Apple Green (KGS),open,,
7380,PVC-STRAPPING-GREEN,KGS,PVC Strapping Green (KGS),open,,
6811,PVC-STRAPPING-PIN,KGS,PVC Strapping Pink-t,open,,
7605,TOO-PLI-DIA-K0011,PCS,Standard 9421 6 B/h Diagonal Cutting Plier (tw),open,,
7575,IND-CAS-SOF-50MM,SET,2 IN Sofa Type Caster Wheel,open,,
7329,DRI-BIT-116G,PCS,19MM Hitmax Diamond Core Bit,open,,
7602,SHH-FROG-359114,PCS,359114 Santec Combait Poisonfrox Frog 35MM (soft Body),open,,
7635,REM-CON-RC/M-AUN787,PCS,Huayu Multi Fan Remote Control,open,,
7724,GAR-SPR-CR8448CPT,PCS,Adjustable Cone Nozzle,open,,
7730,WHE-M'MAN-1169#,SET,M'man Hooded Caster W/screw 1169,open,,
7331,PAI-SPR-ANC-001,PCS,400ML Anchor Spray - 1 Clear (PCS),open,,red:duplicate_parent
7576,PAI-SPR-ANC-002,PCS,400ML Anchor Spray - 2 White (PCS),open,,
7722,PAI-SPR-ANC-004,PCS,400ML Anchor Spray - 4 Executive Grey (PCS),open,,
7151,PAI-SPR-ANC-015,PCS,400ML Anchor Spray - 15 Vermillion,open,,
7186,PAI-SPR-ANC-030,PCS,400ML Anchor Spray - 30 Black (PCS),open,,red:duplicate_parent
6554,PAI-TIG-250ML-ALUM,TIN,250ML Tiger G. P 203 Aluminium (TIN),open,,
7733,"DRI-AUG-SDS-3/8""",PCS,3/8 Sds Plus Auger Bit,open,,
7627,PLA-BAG-BLA-06X09,KG,6 X 9 X 1KG PE (black),open,,
7749,X-CAB-VGA-1.5M,PCS,Vga 1.5 Cable-b,open,,
6696,CHA-ANI-6FT-45,PCS,Animal Chain 45 X 6,open,,
7629,CUT-SAW-WAL-BOA-2120,PCS,M'man Wall Board Saw 6 2120,open,,
7364,"FAS-SCR-TD-HRW 640- 1 1/2""",PCK,"Sr Wood Spandex Screw 1 1/2""- Td-hrw 640",open,,
7656,PAI-GAL-J603S,PCS,3 Gallon Pail,open,,
7746,ELE-TUB-LED-CAS-TL-140,SET,Cielo D2 T8 LED Casing Fitting (empty) (big Hole),open,,
6399,GAS-LIG-081,PCS,349 Flexible Refillable Gas Lighter,open,,
7716,LIN-FUS-63A,PCS,63A Fuse Link-sesco,open,,
6987,NUM-60MM-E,PCS,Acp Alphabet 60MM - E,open,,
7493,DRI-CER-BLI-06MM(+),PCS,Blimax Multi Ceramic Cross Drill Bit (gold) - 6MM,open,,
7320,"PAI-BRU-SEL-1""",PCS,1 Selleys All Purpose Paint Brush,open,,
7689,SHH-BLK-NYL-210/15-BK,PCS,210/15 100G Black Nylon (308),open,,
6976,TOO-HAN-SPA-T12MM,PCS,T Handle Spanner 12MM,open,,
7690,SHH-BLK-NYL-210/9-BK,PCS,210/9 100G Black Nylon T. (308),open,,
7373,CUT-SAW-HANDLE,PCS,Supersawman Handsaw Handle,open,,
7745,WEL-COL-BOD-1.6MM,PCS,1.6MM Collet Body,open,,
6380,TAB-PVC-187-15,MTR,137CM X 25M Thick 107 Table Cloth - 494-10,open,,
7684,TAB-PVC-480-11,MTR,137CM X 25M Thick 107 Table Cloth - 480-11,open,,
7694,SHH-LASTIK-KAYU,PCS,Lastik Kayu,open,,
4579,GAS-REF-120ML,PCS,Vance Gas 120ML,open,,
4714,HOS-SPR-TOKO-25MX50M,MTR,Toko Spring Hose - 25MM X 50M,open,,
7091,SHH-HOO-21P6,PCS,21 Pontoon Treble Hook (6G),open,,
3133,HOS-NET-MIK-32MM,MTR,Mikasa Net Hose - 32MM X 40M,open,,
7698,OIL-FUN-7010,PCS,Betterware PVC Liquid Funnel 10 130,open,,
7577,TOO-DRV-KT100+,PCS,4 King Top (+) Screw Driver,open,,
7754,"BRU-WIR-BRA-5""",PCS,5 Brass Wire Brush,open,,
7030,"BRA-SHE-8""x10""",PAIR,8 X 10 Shelf Bracket (PAIR),open,,
7566,"HOI-PUL-SIN-1.1/2""",PCS,Single Pulley 1.1/2 (PCS),open,,
7687,IND-GAL-WIRE-20#-500G,PKG,20 X 500G Wire,open,,
6388,TOO-RUL-STE-250,PCS,Steel Angle Square 10,open,,
7717,OUT-CON-RUB-BLACK-60MM,PCS,60MM Rubber Cone-whi/blk,open,,
6967,HOS-CLE-01930-MTR,MTR,19MM X 30M Clear Hose (MTR),open,,
7639,GAR-SPR-CR8458F,PCS,Filter,open,,
7764,TOO-DRV-MAG-BES,PCS,Bestir Magnetic Socket 10MM X 65MM,open,,
7585,X-FLO-MOC-3030191-GGY,PCS,3030191 Ggy 12 X 12 Floor Tiles,open,,
5554,HOS-GAS-BLA45,MTR,Gas Hose - Black 45 M,open,,
7620,LIG-IND-APT-P22,PCS,Indicated Light,open,,
7679,BNW-BOL-HTM-M14-75MM,PCS,H/t Bolt - M 14 X 75MM,open,,
7017,HOS-CLE-01630-MTR,MTR,16MM X 30M Clear Hose (MTR),open,,
7616,X-FLO-MOC-SUANHAWA-BLUE,PCS,Suanhawa Blue 12 X 12 Floor Tiles,open,,
7643,X-FLO-MOC-ZURICH-GREEN,PCS,Zurich Green 12 X 12 Floor Tiles,open,,
7737,FLO-MOC-MARID.GRY,PCS,Madrid Grey 12 X 12 Floor Tiles,open,,
7508,IND-SCP-WOO100,PCS,Gd Scraper 4,open,,
7662,X-FLO-MOC-ARDESIA-BLUE,PCS,Ardesia Blue 12 X 12 Floor Tiles,open,,
7663,X-FLO-MOC-PRE-WHI,PCS,Premium White 12 X 12 Floor Tiles,open,,
7667,DOR-TOW-BOL65,PCS,2 1/2 Aluminium Tower Bolt,open,,
7497,RIG-TUR-08MM,PCS,Galvanised Turnbuckle 08MM,open,,
7750,BRU-COP-204,PCS,204 Copper Brush,open,,
7766,"BNW-BOL-U-ZP5/16X1.1/2""",PCS,Zp U-bolt 5/16 X 1.1/2,open,,
7741,IND-SCP-WOO50,PCS,Gd Scraper 2 (PCS),open,,
7725,X-BNW-BOL-HTM-M12-90MM,PCS,H/t Bolt - M 12 X 90MM,open,,
7751,BRU-PLA-E838,PCS,Plastic Brush,open,,
7770,ELE-STA-HOL,PCS,Starter Holder,open,,
7613,FAS-HOO-EYE-16#,PCS,16 Hook & Eyes (PCS),open,,
7719,IND-SCP-WOO25,PCS,Gd Scraper 1 (PCS),open,,
7657,X-STR-GUN-NED-6IN,PCS,6 IN Gunny Needle,open,,
7568,FAS-HOO-EYE-10#,PCS,10 Hook & Eyes,open,,
7771,"ELE-PVC-ELB-BLUE-3/4""",PCS,Ele PVC Elbow 3/4 Blue,open,,
3120,"DOR-72'WX71.7/8""",SET,"72'W X 71 7/8 H Pc White Casement Window Outer, Inner Frame 5MM Green Reflective",open,,
7768,"SHE-LEA-1""X3""",KGS,Lead Sheet 1 X 3,open,,
7767,PVC-STRAPPING-PURPLE,KGS,PVC Strapping Purple,open,,
7769,TAB-PVC-515-11,MTR,137CM X 25M Thick 107 Table Cloth - 515-11,open,,
280,"DOR-HIN-JTC-SSS-4""",SET,"Smr S/steel Hinges 4""X3""X2.0MM",open,,
270,CIMA-DL-L-199Y-RND-18W-CIELO-DL,SET,Cielo Iii 199Y 18W L/dl (rnd/daylight),open,,red:verifier_missing_or_fail
106,ELE-HOL-TC818-E27,PCS,Taicon Tc 818 E27 Lamp Holder,open,,
16,ELE-BUL-E27-3W-RED,PCS,Taicon E27 3W LED Color Bulb-red,open,,
287,ELE-D/L-ECO-3030-24W,PCS,Hms Downlite Hsp 503-24W 6500K,open,,
283,IND-CEM-50KGS,BAG,Portland Limestone Cement,open,,
206,NIP-PHG-1L-A,CAN,1L Platone High Gloss Accent Base,open,,
104,X-ELE-LED-FFL-CHA-10W,PCS,Taicon Stick LED Mini 5W E27 - Red,open,,
215,NIP-PHG-1L-P,CAN,1L Platone High Gloss Paster Base,open,,
68,ELE-BUL-B22-3W-RED,PCS,Taicon B22 3W LED Color Bulb - Red,open,,
83,ELE-CAB-WIR-MKK-2.5MM-RED,ROLL,MKK Cable 2.5MM (7/0.49MM) Red,open,,
130,NIP-MAT-W9102-18L,DRUM,18L Super Matex Bs 9102 White,open,,
87,ELE-CAB-WIR-MKK-2.5MM-BLACK,ROLL,MKK Cable 2.5MM (7/0.49MM) Black,open,,
253,BOS-0601-375-6L0,UNIT,Gws 060 Angle Grinder,open,,
136,ELE-CAB-WIR-MKK-1.5MM-BLACK,ROLL,MKK Cable 1.5MM (7/0.39MM) Black,open,,
115,ELE-D/L-MEG-FE2155D-18W-3000K,PCS,Megaman Plce T3 3U E27 Bulb,open,,
148,NIP-MAT-15245-18L,DRUM,18L Super Matex 15245 Maxtwhite,open,,
129,ELE-D/L-MEG-FE2155D-18W,PCS,Megaman E27 3U Bulb,open,4,
105,ELE-BUL-E27-3W-BLUE,PCS,Taicon E27 3W LED Color Bulb-blue,open,,
118,ELE-BUL-B22-3W-BLU,PCS,Taicon B22 3W LED Color Bulb - Blue,open,,
128,ELE-BUL-B22-3W-GRE,PCS,Taicon B22 3W LED Color Bulb - Green,open,,
207,NIP-PHG-5L-A,CAN,5L Platone High Gloss Accent Base,open,,
30,ELE-BUL-E27-15W-RED,PCS,Taicon E27 Stick Bulb Red 15W,open,,
166,ELE-CAB-WIR-MKK-2.5MM-YEL,ROLL,MKK Cable 2.5MM (7/0.49MM) Yellow,open,,
173,ELE-CAB-WIR-MKK-2.5MM-GRE,ROLL,MKK Cable 2.5MM (7/0.49MM) Green,open,,
125,ELE-BUL-E27-3W-GREEN,PCS,Taicon E27 3W LED Color Bulb-green,open,,
167,ELE-D/L-MEG-YTP45B1-15W-3000K,PCS,Megaman LED Stick Bulb Plc YTP45B1 15W/3000K,open,,
229,ELE-CAB-WIR-MKK-1.5MM-YELLOW,ROLL,MKK Cable 1.5MM (7/0.39MM) Yellow,open,,
219,NIP-PHG-5L-P,CAN,5L Platone High Gloss Paster Base,open,,
256,ELE-CAB-FLE-P40163CW-ROLL,ROLL,Taicon 40/016 X Flexible Cable,open,2,
141,NIP-SEA-5100-20L,DRUM,18L Nippon Vinilex 5100 Wall Sealer,open,2,
248,NIP-PHG-5L-D,CAN,5L Platone High Gloss Deep Base,open,2,
282,DL5-WAT-FIL-0942-GRY,UNIT,DL5 Dalqua 9''X42 Water Filt Sys-fiber Tank Gry,open,2,
274,ELE-CAB-FLE-7076,ROLL,Yazaki 70/076 3C Flexible Cable White,open,2,
242,NIP-PHG-5L-MBLK,CAN,5L Platone High Gloss 8103 Matt Black,open,2,
162,ELE-D/L-TC-2260-22W,PCS,Taicon 24W Adjusted LED Dl Rnd,open,2,
69,ELE-BUL-E27-10W-RED,PCS,Taicon E27 Stick Bulb Red 10W,open,2,
139,ELE-D/L-TC-3260-32W-RND-4000K,PCS,Taicon V3 32W Adjusted LED Dl Round (TC-3260),open,2,
199,ELE-BUL-B22-3W-YEL,PCS,Taicon B22 3W LED Color Bulb - Yellow,open,2,
275,ELE-CAB-FAJ-2.5MM-80M,ROLL,Fajar 2C X 2MM Twin Flat Wire,open,2,
243,NIP-SAT-GLO-5L-145,CAN,5L Nippon Satin Glo 145 White,open,,
183,BOS-0601-9F7-0L0,UNIT,Gsr Battery Screwdriver,open,,
198,BOS-0601-9G8-0L4,UNIT,Gsr 121B Batt. Screwdriver (1 Batt.),open,,
179,ELE-D/L-TC-3260-32W-RND,PCS,Taicon 32W Adjusted LED Round (TC-3260),open,,
187,ELE-D/L-TC-2261-32W-SQ,PCS,Taicon 32W Adjusted LED Square (TC-2261),open,,
230,NIP-WTRB-5L-P,CAN,5L Nippon Weatherbond Quartz Pastel Base,open,,
149,NIP-SAT-GLO-18L-145,CAN,18L Nippon Satin Glo 145 White,open,,
264,NIP-WTRB-5L-WHITE,CAN,5L Nippon Weatherbond 145 White,open,,
109,RAINBOW-G888-250GM,BTL,Nippon Gold Paint 999 Gold,open,,
48,FAN-CEI-KHI-WHI-CF618,SET,Khind - 60 Ceiling Fan,open,,red:verifier_missing_or_fail
192,GAS-COO-TC-2288-PGC,SET,Taicon Portable Gas Cooker,open,,
239,NIP-VIN-EAS-15L-A,DRUM,15L Nippon Vinilex Easywash Accent Base,open,,
222,NIP-QSH-EXT-20L-P,DRUM,18L Nippon Q-shield Extra Pastel Base,open,,
103,ELE-D/L-MEG-YTPDGLE5-70W,PCS,Megaman E27 Led-t Bulb,open,,
260,BOS-0611-272-1L4,UNIT,Gbh 2-24 Dre Rotary Hammer Set,open,,
261,NIP-WTRB-18L-WHITE,CAN,18L Nippon Weatherbond Quartz 145 White,open,,
238,NIP-SEA-5170-20L,DRUM,20L Nippon Acrylic 5170 Wall Sealer,open,,
263,NIP-WTRB-WHI-15004,CAN,18L Nippon Weatherbond Quartz 15004 Ws White,open,,
259,BOS-0611-338-5L0,UNIT,Gsh 500 Demolition Hammer,open,,red:verifier_missing_or_fail
33,TOI-TRP-WC2098RL-S,SET,Saniware Washdown One Piece Closet-rimless,open,,
273,MIR-SBC-600603A,SET,S600 Bathroom Cabinet Set (610X475X450MM),open,,
32,JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,Joven (white) Instant Water Heater SL30IP-AWB,open,,
145,FAN-WAL-TAICON-TC-11006,SET,Taicon 16 Wall Fan Sirim-whi,open,,
244,NIP-WTRB-18L-A,DRUM,18L Nippon Weatherbond Quartz Accent Base,open,,
245,NIP-WTRB-18L-T,DRUM,18L Nippon Weatherbond Quartz Tint Base,open,,
127,STA-DRI-BRU-SBD710D2K,UNIT,Stanley Fatmax 20V Max Brushless Drill Driver,open,,
194,BOS-0601-9G8-1L7,UNIT,Gsb 121B Batt. Impact Drill (1 Batt.),open,,red:too_small
98,TAP-SAN-SWP-SS-304-3939,PCS,Saniware Premier Double Spout Kitchen Pillar Sink Tap,open,,
152,TAP-SAN-SWP-SS-304-3936-SS,PCS,Saniware Premier Kitchen Wall Sink Tap-ss,open,,
175,FAN-WAL-TAICON-TC-11007,SET,Taicon 16 Wall Fan Sirim-blk,open,,
47,SHO-HAN-SWP-HS-502,SET,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,open,,
258,NIP-ROOF-20L-T,UNIT,20L Nippon Roof Coating Tint Base,open,2,
45,TOI-TRP-WC-8826-S,SET,Sorento Washdown Flushing Tech,open,2,
161,BOS-AJS37PC,UNIT,Adelino Automatic Self-priming Jet Pump With Pc (0.5HP),open,2,
123,LOC-YALE-Y120B-50-KA5,SET,Yale (key Alike) Boron Shackle Padlock Y120B-50-KA5,open,2,
235,STA-PLA-STEL630,UNIT,Stanley Planer 82MM,open,2,
14,TAP-SAN-SWP-RG-304-3905,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,open,2,
156,TAP-SAN-SWP-B-304-3915,PCS,Saniware Premier Kitchen Wall Sink Tap-blk,open,2,
223,PSN-TK-CS200C-EX,PCS,Panasonic Water Cartridge,open,2,red:verifier_missing_or_fail
278,DC-20V-SETS-XB,SET,"DCZC0424Z, DCPB488Z, / Cordless Full Sets Xb",open,2,
279,DC-20V-XA,SET,"20V DCZC22Z, DCJZ2060IZ, - Sets Xa",open,2,
281,SUMO-SM-138,UNIT,Sumo High Pressure Washer 130 BAR,open,2,
58,TOI-TRP-WC-SRTWC8504-S,PCS,Sorento Washdown W Rimless Flush Tech,open,2,
160,BOS-AHI4-4PC-R,UNIT,Adelino S/steel Multi Stage Centrifugal Pump (1.0HP),open,,
66,TOI-TRP-WC-SRTWC8518-SH-S,PCS,Sorento One Piece Twister Flushing Tech,open,,
180,BOS-AHI2-4PC,UNIT,Adelino S/steel Multi Stage Centrifugal Pump (0.75HP),open,,
74,SHO-SAN-SWP-BSP-5505B,PCS,Saniware Premier 3WAY Bath Shower Set For Water Heater (black),open,,
77,TOI-TRP-WC-SRTWC8840-S,PCS,Sorento Close Coupled Wash,open,,
81,SHO-SAN-SWP-BSP-5504B,PCS,Saniware Premier 2WAY Bath Shower Set For Water Heater (black),open,,
70,MIR-SWBC-SS6414,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6414,open,,
10,TOI-TRP-WC2110A-P,SET,Saniware Washdown Two-piece Closet WC-2110A-P180MM,open,,
9,TOI-TRP-WC-2122A-P,SET,Saniware Washdown Two-piece Closet WC-2122A-P180MM,open,,
61,STA-ROT-HAM-SHR243KA,UNIT,Stanley Rotary Hammer 24MM,open,,
150,PSN-MJ-CS100WSK,PCS,Panasonic Juicer 1.7L 400W (white),open,,
228,X-LOC-YALE-Y120B-50-KA3,SET,Yale (key Alike) Boron Shackle Padlock Y120B-50-KA3,open,,
23,KHI-COO-RC3636,SET,3.6L Rice Cooker (cool Grey),open,,red:verifier_missing_or_fail
225,TAP-SAN-SWP-SS-304-3937-MB,PCS,Saniware Premier Kitchen Pillar Sink Tap-matt Blk,open,,
202,KET-PSN-NC-GK1WSK,PCS,Panasonic 1.7L Plastick Kettle,open,,
113,SPR-BID-SWSB-ABS-362,PCS,Saniware ABS Spray Bidet Set Holder & 1.2MM Flexible Hose,open,,
625,ELE-FAJAR-FLX-2.5MM-GREY,MTR,Fajar 2.5MM (50/0.25) X Flexible Cable (grey) (MTR),open,,
135,BOS-0601-9H9-0L2C2,SET,Gws + Gsb Set + Gbh Solo + Gdx Solo Combo,open,,
143,BOS-0600-910-0L0SH,UNIT,Ghp High Pressure Cleaner,open,,
49,OVEN-RUB-TAE13-M265,UNIT,Rubine Built-in Oven RBO-IA6X-70SS,open,,
142,X-STA-PLANER-STP18-1800W,UNIT,Stanley Thickness Planer 1800W,open,,
177,BOS-0601-9N9-0L0C1,SET,Gws + Gds + Gsb Plus Combo Set,open,,
189,BOS-0601-9K0-0L0,UNITS,Gds Batt. Impact Wrench 18V-400,open,,
82,SIN-SOR-SRTKS2431,PCS,Sorento Nanograin Texture Kitchen Sink,open,,
78,BATH-SRTBF31416,PCS,Sorento 304 S/s 5 IN 1 Bathroom Furn,open,,
117,X-RUB-TRB08-006,UNIT,Rubine Rjs 622 S/s Sink (1BB+1SB),open,,
92,BATH-SRTBF31514,PCS,Sorento 5IN1 Bath Furn,open,,
99,X-GAS-STO-RUB-TAE10-M372,UNIT,Rubine Glass Hob RGH-ALLORA2B-BL,open,,
214,BOS-AQSD110F,UNIT,Adelino Submersible Sewage Pump 1.1KW,open,,
88,MIR-SWBC-SS6811,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6811,open,,
218,BOS-0601-9K3-1L2C1,SET,Gsb + Gdr Kit Combo Kit,open,,
35,TAP-SAN-SWP-B-2934,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,open,,
203,RUB-TRT02-SA302,UNIT,Rubine Double Spout Wall Mounted S'tap,open,,
44,TAP-SAN-SWP-SS-304-3970-MB,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),open,,
216,PSN-TK-CS10-WMA,PCS,Panasonic Water Purifier (white),open,,
50,TAP-SAN-SWP-SS-304-3970,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,open,,
246,TAP-SAN-SWP-SS-304-3938-MB,PCS,Saniware Premier Double Spout Kit. Wall Sink Tap-matt Blk,open,,
75,TAP-SAN-SWP-SS-304-3950-MB,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap (matt Blk),open,,
89,SPR-BID-SWP-SS-304-6875-BA,PCS,Saniware Premier Two Way Tap With Bidet SET&1.2M Flex. Hose,open,,
90,TAP-SAN-SWP-SS-304-3950,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap,open,,
112,SPR-BID-SWP-SS-304-6875A,PCS,Saniware Premier Two Way Tap With Bidet Set 1.2M Flex. Hose,open,,
111,TAP-SAN-SWP-SS-3391,PCS,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-3391,open,,
133,TAP-SAN-SWP-SS-304-106,PCS,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-304-106,open,,
298,PIP-CON-WHI-20MM3M,LTH,"3/4""(20MM) X 2.9M Eep - White",open,,
294,CEI-FRA-30MM,PCS,Ceiling Frame 30MM,open,,
292,WOO-HOE-CANGKUL-HARDWOOD,PCS,Kayu Cangkul (hardwood),open,,
286,IND-GAL-WIRE-20#-COIL,COIL,20 X 12KG Wire,open,,
295,ROO-ZIN-SHE-10'X35G,PCS,Corrugated Steel Zinc 10 X 35G,open,,
293,IND-ALUM-SHE-FLA-0.3MMX3',KGS,Flat Sheet Alum. 0.3MM X 3,open,,
285,WOO-PLY-3.6MM,PCS,Plywood 3.6MM X 4 X 8,open,,
288,TOO-BOS-BAG-101,PCS,Bossman 20V Angle Grinder 105MM,open,2,
297,ELE-CAB-ZI-C70763G-ROLL,ROLL,Zi 3C X 70/076 PVC Flex Wire (grey),open,2,
706,SWI-SOC-BS-13A,PCS,Taicon 13A Switch Socket (sr),open,2,
639,ELE-TUB-LED-CAS-1200MM,PCS,4FT T8 LED Empty Casing,open,2,
985,ADH-TAP-MAS-36MM,PCS,Glotool Masking Tape 36MM X 15 Yd,open,2,
876,ELE-CAB-SPEAKER-COSTA-30/0.18MMX2C-MTR,MTR,Fajar Speaker Wire Pink,open,,
974,ADH-TAP-MAS-48MM,PCS,Glotool Masking Tape 48MM X 15 Yd,open,2,
999,CIMA-DL-L/199Y/RND/18W/SEN/840,SET,Ceilo Iii 199Y 18W L/dl (rnd/ 840 Cool Day Light),open,2,red:verifier_missing_or_fail
742,FIT-BUT-TEE-EQU-25X25X25MM,PCS,Buteline PE Equal Tee,open,,red:model_absent
736,BOS-PLUG-WS7F,PCS,Bosch Plug WS7F,open,,
905,SWI-PLU-AER-13A,PCS,Taicon 13A Plugtop (white) SIRIM,open,2,
490,"FIT-BUT-ELB-FEM-SWI-25MMX1/2""",PCS,Buteline 25MMX1/2 PE Elbow Female Swivel,open,,red:model_absent
799,FIT-BUT-TEE-25X25X20MM,PCS,Buteline PE Tee 25X25X20MM,open,,red:model_absent
734,TOO-NIE-GRE-NIP-9077,PCS,Nietz Grease Nipple Of (straight),open,,
