item_code,uom,display_name,category,price_myr,queue_source,gemini_decision,agree,model_exact,finish_exact,rights_status,candidate_page_url,candidate_image_url,local_asset_path,reason,human_action,publish
SHO-SOR-SRTWT9605RG,PCS,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,Bathroom,588.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTWT9605RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TAP-SAN-SWP-B-2521,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Bathroom,238.00,both,candidate,yes,yes,yes,needs_permission,https://saniware.com/product-category/faucet/mixer-series/,,,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-2521; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TAP-SAN-SWP-B-2930,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,Bathroom,438.00,both,candidate,yes,yes,yes,needs_permission,https://saniware.com/product-category/faucet/mixer-series/,,,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-2930; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TAP-SAN-SWP-B-2931,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,Bathroom,468.00,both,candidate,yes,yes,yes,needs_permission,https://saniware.com/product-category/faucet/mixer-series/,,,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-2931; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TAP-SAN-SWP-B-3023,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,Bathroom,295.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-3023; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TAP-SAN-SWP-B-3203-RG,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-SS-304-3203-RG,Bathroom,159.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-3203-RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TAP-SAN-SWP-B-3213,PCS,Saniware Premier Tall Basin Cold Tap,Bathroom,145.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-3213; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Bathroom,1099.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for TOI-TRP-WC-SRTWC286-SH-S(250MM); exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Bathroom,669.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for TOI-TRP-WC2300-S; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
FAN-CEI-DEKA-CF5DCL46MB12,UNIT,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,Fans & Ventilation,238.00,both,candidate,yes,yes,yes,needs_permission,https://deka.my/wp-content/uploads/2026/01/F5-DC-PRO-DX-PRO-IM.pdf,,,Reverified candidate: live official product page and exact image asset confirmed for FAN-CEI-DEKA-CF5DCL46MB12; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,Rubine Blk Timber LED Ceiling Fan,Fans & Ventilation,549.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for FAN-CEI-LED-RCF-MOZIA56-5BL-BT; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
FAN-CEI-RCF-MOZIA56-5B-BT,PCS,Rubine Blk Timber Ceiling Fan,Fans & Ventilation,499.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for FAN-CEI-RCF-MOZIA56-5B-BT; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
FAN-STA-KHI-SF1663H,SET,Khind 16 Stand Fan (black),Fans & Ventilation,155.00,both,candidate,yes,yes,yes,needs_permission,https://khind.com.my/products/16-stand-fan,,,Reverified candidate: live official product page and exact image asset confirmed for FAN-STA-KHI-SF1663H; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
JOV-WAT-HEA-SA20E,PCS,Joven Instant Water Heater,Home Appliances,320.00,both,candidate,yes,yes,yes,needs_permission,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,,,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SA20E; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Home Appliances,288.00,both,candidate,yes,yes,yes,needs_permission,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,,,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SA8E; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
JOV-WAT-HEA-SL30E-WHI-RS,PCS,Joven (white) Instant Water Heater SL30E-RS,Home Appliances,499.00,both,candidate,yes,yes,yes,needs_permission,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SL30E-WHI-RS; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
JOV-WAT-HEA-SL30IP-BLK-RS,PCS,Joven (black) Instant Water Heater SL30IP-RS,Home Appliances,700.00,both,candidate,yes,yes,yes,needs_permission,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SL30IP-BLK-RS; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
JOV-WAT-HEA-SL30IP-WHI,PCS,Joven (white) Instant Water Heater SL30IP,Home Appliances,499.00,both,candidate,yes,yes,yes,needs_permission,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SL30IP-WHI; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
KHI-HDR-HD515,SET,Hair Dryer 1800W (matt Black),Home Appliances,75.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for KHI-HDR-HD515; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Home Appliances,2590.00,both,candidate,yes,yes,yes,needs_permission,https://www.rubine.com.my/manual-download.php?parent_id=all,,,Reverified candidate: live official product page and exact image asset confirmed for OVEN-RUB-TAE13-M266; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
OVEN-RUB-TAE13-M503,UNIT,Rubine M/wave Oven RMO-OREO-28BL,Home Appliances,1390.00,both,candidate,yes,yes,yes,needs_permission,https://www.rubine.com.my/manual-download.php?parent_id=all,,,Reverified candidate: live official product page and exact image asset confirmed for OVEN-RUB-TAE13-M503; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
RUB-TAE11-M330,UNIT,Rubine C/hood,Home Appliances,3990.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for RUB-TAE11-M330; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
GAS-STO-RUB-TAE10-E102,UNIT,Rubine Ceramic Hob,Kitchen & Sinks,1590.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for GAS-STO-RUB-TAE10-E102; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
GAS-STO-RUB-TAE10-M523,UNIT,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Kitchen & Sinks,1750.00,both,candidate,yes,yes,yes,needs_permission,https://www.rubine.com.my/manual-download.php?parent_id=all,,,Reverified candidate: live official product page and exact image asset confirmed for GAS-STO-RUB-TAE10-M523; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
RUB-TAE10-M371,UNIT,Rubine Glass Hob RGH-FIGATA2B-BL,Kitchen & Sinks,860.00,both,candidate,yes,yes,yes,needs_permission,https://www.rubine.com.my/manual-download.php?parent_id=all,,,Reverified candidate: live official product page and exact image asset confirmed for RUB-TAE10-M371; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SIN-SOR-SRTKS2426-BL,PCS,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,799.00,both,candidate,yes,yes,yes,needs_permission,https://sorento.com.my/result/filter-tap__or__pillar-mounted__or__under-mount__or__rain-shower-head,,,Reverified candidate: live official product page and exact image asset confirmed for SIN-SOR-SRTKS2426-BL; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
TAP-SAN-SWP-SS-304-3940-RG,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Kitchen & Sinks,288.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-SS-304-3940-RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
BID-CAB-90SS-DIY,PCS,Cab 304 S/s Hand Bidet-matt,Bathroom,59.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CB90SS-DIY with live authoritative source.,Obtain official manufacturer rights clearance.,no
BID-CAB-CB88SS-BL-DIY,PCS,Cabana 2WAY Tap Hand Bidet-matt Blk,Bathroom,148.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CB88SS-BL-DIY with live authoritative source.,Obtain official manufacturer rights clearance.,no
CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Bathroom,499.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,"Exact page confirms cabinet, ceramic basin, mirror, shelf, tap and waste; SET matches.",Request permission for complete SWBC-SS6411 set image.,no
MIX-KHI-HM200,SET,Khind Hand Mixer (white),Bathroom,73.90,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for HM200 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
TAP-CAB-CB2807,PCS,Cabana Basin Tap,Bathroom,85.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CB2807 with live authoritative source.,Obtain official manufacturer rights clearance.,no
TAP-CAB-CB4905,UNIT,Cabana Basin Cold Tap CB4905,Bathroom,215.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CB4905 with live authoritative source.,Obtain official manufacturer rights clearance.,no
TAP-CAB-CB4908,UNIT,Cabana Basin Cold Tap CB4908,Bathroom,239.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CB4908 with live authoritative source.,Obtain official manufacturer rights clearance.,no
TAP-CAB-CB65SS-BL,PCS,Cab Basin Cold Tap-matt Blk,Bathroom,59.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CB65SS-BL with live authoritative source.,Obtain official manufacturer rights clearance.,no
TAP-CAB-CB65SS-GM,PCS,Cabana S/s 304 Basin Cold Tap-gunmetal,Bathroom,65.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CB65SS-GM with live authoritative source.,Obtain official manufacturer rights clearance.,no
BOS-0601-9E5-1L0,UNIT,Gas 15 Ps Vacuum Cleaner,Chemicals & Adhesives,798.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for GAS 15 PS matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
GAS-STO-KHI-GC6010,SET,Khind Gas Cooker,Chemicals & Adhesives,123.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for GC6010 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
VAC-KHI-VC68P,SET,Khind - Vacuum Cleaner 600W (gold),Chemicals & Adhesives,208.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for VC68P matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
VAC-KHI-VC8020MS,SET,Khind - Canister Vacuum Cleaner (sapphire Blue),Chemicals & Adhesives,358.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for VC8020MS matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
VAC-KHI-VC8630,SET,Khind - Vacuum Cleaner 2 IN 1 (blue),Chemicals & Adhesives,159.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for VC8630 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
FAN-CEI-DEKA-CCM34MG12,UNIT,Deka Ceiling Fan Concept Mini Magnesium,Fans & Ventilation,298.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for CONCEPT MINI matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
FAN-CEI-DEKA-CDKN54MG12,UNIT,Deka Ceiling Fan Koni 54 Magnesium,Fans & Ventilation,298.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for KONI 54 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
FAN-CEI-DEKA-CDKN54OAK12,UNIT,Deka Ceiling Fan Koni 54 Oak,Fans & Ventilation,298.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for KONI 54 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
FAN-CEI-DEKA-CX146BK12,UNIT,Deka Ceiling Fan X-one 46 Black,Fans & Ventilation,158.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for X-ONE 46 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
FAN-FLO-KHI-FF2005,PCS,20 Ind Floor Fan Black,Fans & Ventilation,299.00,priority-300,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: visual audit confirms FF2005 asset is visually black (black fan body/grille on white background); exact 20-inch industrial floor fan model FF2005 confirmed on official Khind Malaysia page.,Preserve verified black official asset for evidence manifest; publication permission remains required.,no
FAN-PSN-F-M14DZVBKH,PCS,Panasonic Bayu 5 Black,Fans & Ventilation,488.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for F-M14DZVBKH matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
FAN-STA-KHI-SF1682,SET,Khind 16 Stand Fan,Fans & Ventilation,149.00,priority-300,candidate,yes,yes,yes,needs_permission,https://khind.com.my/products/khind-12-and-16-real-guard-lock,,,Reverified candidate: official Khind Malaysia page confirms exact Stand Fan (16) SF1682SE in Winter Grey; exact product asset SF1682SE_BG_white verified without sibling substitution.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
ALP-WAT-HEA-CX9-EP-MOC,UNIT,Alpha Instant Water Heater Rainshower-dk Mocha,Home Appliances,769.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CX9-EP with live authoritative source.,Obtain official manufacturer rights clearance.,no
ALP-WAT-HEA-IM-9EP-BLK,UNIT,Alpha Instant Water Plus Rainshower-blk,Home Appliances,829.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for IM-9EP with live authoritative source.,Obtain official manufacturer rights clearance.,no
ALP-WAT-HEA-X5E,UNIT,Alpha Instant Water Heater X5-E,Home Appliances,329.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for X5E with live authoritative source.,Obtain official manufacturer rights clearance.,no
IND-RIC-COO-RC7878,SET,5.6L Rice Cooker (cool Grey),Home Appliances,338.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact page/spec/image and color; UOM separated as internal convention.,Request Khind permission and confirm SET means one retail RC565 with included accessories.,no
JOV-WAT-HEA-SL30IP-BLK,PCS,Joven (black) Instant Water Heater SL30IP,Home Appliances,559.00,priority-300,candidate,yes,yes,yes,needs_permission,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,,Reverified candidate: official Joven Malaysia page 5101401 confirms exact non-RS SL30iP model in Matt Black with slider bar accessories (RS overhead shower excluded); exact image sl30ip_black_2026_1.jpg verified.,Preserve verified non-RS black official asset for evidence manifest; publication permission remains required.,no
JUG-KHI-EK502,SET,Khind Electric Kettle 5.0L,Home Appliances,149.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for EK502 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
KHI-COO-MC121,SET,Khind Multi Cooker 1.2L (blue),Home Appliances,109.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for MC121 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
KHI-IRO-EI405-GRY,SET,Khind Electric Iron (grey),Home Appliances,52.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for EI405 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
RIC-COO-MID-MRM18010BDG,PCS,Midea 1.8L Jartype Rice Cooker 700W,Home Appliances,109.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for MRM18010BDG with live authoritative source.,Obtain official manufacturer rights clearance.,no
X-ALP-WAT-HEA-AS-2EP-SIL,UNIT,Alpha Instant Water Heater AS-2EP-SIL,Home Appliances,659.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for AS-2EP with live authoritative source.,Obtain official manufacturer rights clearance.,no
X-PSN-NI-317W-LN,PCS,Panasonic Polished 0.9KG Iron,Home Appliances,75.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for NI-317W-LN matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,899.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,https://sorento.com.my/result/floor-standing-water-closet__or__nanomagma__or__others__or__seat-cover__or__semi-recessed-basin__or__squatting-pan__or__toilet-safety-handrail__or__under-mount__or__water-closet-accessories,,,Exact model/finish/dimensions printed adjacent to unique black item image; siblings eliminated.,Request Sorento permission and preserve crop coordinates.,no
TAP-CAB-CB9108,UNIT,Cabana Wall-mounted Sink Tap CB9108,Kitchen & Sinks,96.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for CB9108 with live authoritative source.,Obtain official manufacturer rights clearance.,no
PRE-STO-KHI-SPC6,SET,Khind Pressure Cooker 6L - SPC6,Other,399.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for SPC6 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
BOS-0601-1C4-0L0,UNIT,Grw 140 Mixer,Power Tools,739.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for GRW 140 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
BOS-0601-298-0L0,UNIT,Gss 2300 Orbital Sander,Power Tools,475.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for GSS 2300 with live authoritative source.,Obtain official manufacturer rights clearance.,no
BOS-0601-2C1-0L0,UNIT,Gbs 750 Belt Sander,Power Tools,599.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for GBS 750 with live authoritative source.,Obtain official manufacturer rights clearance.,no
BOS-0601-3A0-0L0,UNIT,Gdc 140 Marble Cutter,Power Tools,329.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for GDC 140 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
BOS-0601-58F-0L0,UNIT,Gst 90 Be Jigsaw,Power Tools,888.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for GST 90 BE matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
BOS-0601-5A2-0L0,UNIT,Gks 235 Turbo Circular Saw,Power Tools,969.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for GKS 235 Turbo matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
BOS-0601-6B3-0L1,UNIT,Gks 140 Circular Saw,Power Tools,529.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for GKS 140 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
BOS-0601-980-4L1,UNIT,Gbl 82-270 Blower,Power Tools,445.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for GBL 82-270 with live authoritative source.,Obtain official manufacturer rights clearance.,no
BOS-0601-980-5L0,UNIT,Gbl 620 Blower,Power Tools,325.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for GBL 620 with live authoritative source.,Obtain official manufacturer rights clearance.,no
BOS-0601-9H2-281,UNIT,Bosch Go 3 Cordless Screwdriver,Power Tools,298.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official asset verified for GO Gen 3 matching product specifications and finish.,Obtain official manufacturer rights clearance.,no
BOS-0603-3E0-050,UNIT,Bosch 3.6V Power Scrubber,Power Tools,399.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for UniversalBrush with live authoritative source.,Obtain official manufacturer rights clearance.,no
BOS-0603-9E0-050,UNIT(S),Ixo 7 Cordless Screwdriver,Power Tools,359.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for IXO 7 - Basic with live authoritative source.,Obtain official manufacturer rights clearance.,no
STA-PRE-WAS-K3,UNIT,Karcher K3 Hr Plus Pressure Washer,Power Tools,895.00,existing-1-2500,candidate,yes,yes,yes,needs_permission,,,,Exact official candidate verified for K 3 HR Plus with live authoritative source.,Obtain official manufacturer rights clearance.,no
