item_code,uom,display_name,category,stock_qty,price_myr,priority_score,priority_tier,detected_brand,detected_model,suggested_family_key,family_listing_count,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,image_url,local_asset_path,checksum,notes
JOV-WAT-HEA-SL30E-WHI-RS,PCS,Joven (white) Instant Water Heater SL30E-RS,Home Appliances,9,499.00,90.1,1,Joven,SL30E-RS,joven:joven-instant-water-heater-sl30e-rs,1,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official page confirms SL30e-RS but stocked white finish and package contents still need visual verification.
SHO-SAN-SWP-BSP-9003G,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Bathroom,1,1128.00,90.1,1,Saniware,3WAY,saniware:saniware-premier-3way-bath-expose-shower-set-mixer,2,,,,pending,,pending,,,,
SHO-SAN-SWP-BSP-9003RG,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Bathroom,1,1129.00,90.1,1,Saniware,3WAY,saniware:saniware-premier-3way-bath-expose-shower-set-mixer,2,,,,pending,,pending,,,,
TAP-SAN-SWP-RG-304-3905,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,Kitchen & Sinks,3,249.00,89.8,1,Saniware,SWP-RG-304-3905,saniware:saniware-premier-kitchen-pillar-sink-tap-rg-swp,2,,,,pending,,pending,,,,
FAN-CEI-DEKA-CF5DCL46MB12,UNIT,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,Fans & Ventilation,3,238.00,89.7,1,Deka,DC~46L,deka:deka-ceiling-fan-f5-dc-pro-matt-blk,2,https://deka.my/wp-content/uploads/2026/01/F5-DC-PRO-DX-PRO-IM.pdf,,Deka,pending,C,candidate,,,,Official F5 DC Pro manual confirms product family; 46-inch matt-black package must be verified.
ELE-BUL-E27-3W-RED,PCS,Taicon E27 3W LED Color Bulb-red,Lighting,166,2.50,89.5,1,Taicon,E27,taicon:taicon-e27-led-color-bulb,3,,,,pending,,pending,,,,
TAP-SAN-SWP-B-2521,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Bathroom,3,238.00,89.5,1,Saniware,SWP-B-2521,saniware:saniware-premier-basin-pillar-tap-mixer-swp-b,4,https://saniware.com/product-category/faucet/mixer-series/,,Saniware,pending,A,candidate,,,,Official Saniware category lists exact SWP-B-2521 basin pillar mixer.
JOV-WAT-HEA-SB11IP-BLK-RS,PCS,Joven (blk) Instant Water Heater,Home Appliances,5,769.00,89.4,1,Joven,SB11IP-RS,joven:joven-blk-instant-water-heater,1,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official SB11 page confirms SB11iP-RS; stocked black finish and electrical loading still need label verification.
RUB-TAE11-M330,UNIT,Rubine C/hood,Home Appliances,1,3990.00,89.3,1,Rubine,RCH-NOVARA-90SS,rubine:rubine-c-hood,1,,,,pending,,pending,,,,
STA-ROT-HAM-SHR263KA,UNIT,Stanley Rotary Hammer 26MM,Power Tools,4,559.00,89.0,1,Stanley,SHR263KA,stanley:stanley-rotary-hammer,2,,,,pending,,pending,,,,
TAP-SAN-SWP-B-3023,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,Bathroom,2,295.00,89.0,1,Saniware,SWP-B-3023,saniware:saniware-premier-basin-pillar-cold-tap-rose-swp,2,,,,pending,,pending,,,,
OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Home Appliances,2,2590.00,88.9,1,Rubine,RBO-IA8X-70SS,rubine:rubine-built-in-oven-rbo-ia8x-70ss,1,https://www.rubine.com.my/manual-download.php?parent_id=all,,Rubine Malaysia,pending,A,candidate,,,,Official Rubine manual page lists exact RBO-IA8X-70SS model.
KHI-COO-RC3636,SET,3.6L Rice Cooker (cool Grey),Home Appliances,2,245.00,88.7,1,Khind,KHIND-RC365,khind:rice-cooker-cool,2,https://khind.com.my/products/khind-rice-cooker-rc360,,Khind Malaysia,pending,C,rejected,,,,AutoCount description and original model data conflict with the official RC360/RC365 family; owner photo or exact label check required.
SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Bathroom,6,89.00,88.7,1,Sorento,SRTSA830,sorento:sorento-shower-arm,2,https://sorento.com.my/bathroom/shower-bidet/shower-arm/srtsa830-detail,,Sorento,pending,A,candidate,,,,Official product page matches SRTSA830 and 450mm SS304 shower arm.
SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Bathroom,4,139.00,88.6,1,Sorento,SRTSA860-GM,sorento:sorento-shower-arm,2,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf,,Sorento,pending,A,candidate,,,,Official catalogue matches SRTSA860-GM 400mm gunmetal SS304 shower arm.
JOV-WAT-HEA-SB11IP-WHI,PCS,Joven (white) Instant Water Heater SB11IP,Home Appliances,5,579.00,88.5,1,Joven,SB11IP,joven:joven-instant-water-heater-sb11ip,1,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official SB11 page confirms SB11iP; stocked white finish and electrical loading still need label verification.
TAP-SAN-SWP-SS-304-3940-RG,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Kitchen & Sinks,2,288.00,88.4,1,Saniware,SWP-SS-304-3940-RG,saniware:saniware-premier-kitchen-pillar-sink-tap-rg-swp,2,,,,pending,,pending,,,,
TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Bathroom,5,669.00,88.3,1,Saniware,WC2300-S250MM,saniware:saniware-one-piece-washdown-closet,1,,,,pending,,pending,,,,
FAN-STA-KHI-SF1682,SET,Khind 16 Stand Fan,Fans & Ventilation,3,149.00,88.2,1,Khind,SF1682SE,khind:khind-16-stand-fan,2,https://khind.com.my/products/khind-12-and-16-real-guard-lock,,Khind Malaysia,pending,C,candidate,,,,Official spare-part page confirms SF1682 as a valid model but is not a product-image source.
ELE-BUL-E27-15W-RED,PCS,Taicon E27 Stick Bulb Red 15W,Lighting,28,10.50,88.0,1,Taicon,E27,taicon:taicon-e27-stick-bulb,2,,,,pending,,pending,,,,
TAP-SAN-SWP-B-3213,PCS,Saniware Premier Tall Basin Cold Tap,Bathroom,3,145.00,88.0,1,Saniware,SWP-SS-304-3213,saniware:saniware-premier-tall-basin-cold-tap,2,,,,pending,,pending,,,,
JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,Joven (white) Instant Water Heater SL30IP-AWB,Home Appliances,5,489.00,87.9,1,Joven,SL30IP-AWB,joven:joven-instant-water-heater-sl30ip-awb,1,,,,pending,,pending,,,,
TOI-TRP-WC2098RL-S,SET,Saniware Washdown One Piece Closet-rimless,Bathroom,5,599.00,87.9,1,Saniware,WC2098RL-S250MM,saniware:saniware-washdown-one-piece-closet-rimless,1,,,,pending,,pending,,,,
SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,4,899.00,87.8,1,Sorento,SRTKS2429-BL,sorento:sorento-s-steel-304-kitchen-sink,1,https://sorento.com.my/result/floor-standing-water-closet__or__nanomagma__or__others__or__seat-cover__or__semi-recessed-basin__or__squatting-pan__or__toilet-safety-handrail__or__under-mount__or__water-closet-accessories,,Sorento,pending,A,candidate,,,,Official Sorento result page lists exact SRTKS2429-BL SS304 undermount sink.
TAP-SAN-SWP-B-2934,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,Bathroom,1,485.00,87.8,1,Saniware,SWP-B-2934,saniware:saniware-premier-basin-pillar-tap-mixer-swp-b,4,,,,pending,,pending,,,,
TAP-SAN-SWP-B-2931,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,Bathroom,1,468.00,87.7,1,Saniware,SWP-B-2931,saniware:saniware-premier-basin-pillar-tap-mixer-matt-swp,2,https://saniware.com/product-category/faucet/mixer-series/,,Saniware,pending,A,candidate,,,,Official Saniware category lists exact SWP-B-2931 basin pillar mixer.
TAP-SAN-SWP-B-2930,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,Bathroom,1,438.00,87.3,1,Saniware,SWP-B-2930,saniware:saniware-premier-basin-pillar-tap-mixer-swp-b,4,https://saniware.com/product-category/faucet/mixer-series/,,Saniware,pending,A,candidate,,,,Official Saniware category lists exact SWP-B-2930 basin pillar mixer.
IND-RIC-COO-RC7878,SET,5.6L Rice Cooker (cool Grey),Home Appliances,1,338.00,87.2,1,Khind,KHIND-RC565,khind:rice-cooker-cool,2,,,,pending,,pending,,,,
FAN-STA-KHI-SF1663H,SET,Khind 16 Stand Fan (black),Fans & Ventilation,2,155.00,87.1,1,Khind,SF1663H,khind:khind-16-stand-fan,2,https://khind.com.my/products/16-stand-fan,,Khind Malaysia,pending,A,candidate,,,,Official Khind product page matches SF1663H black 16-inch stand fan.
TAP-SAN-SWP-B-2924,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,Bathroom,1,399.00,87.1,1,Saniware,SWP-B-2924,saniware:saniware-premier-basin-pillar-tap-mixer-swp-b,4,,,,pending,,pending,,,,
TAP-SAN-SWP-B-2921,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,Bathroom,1,398.00,86.9,1,Saniware,SWP-B-2921,saniware:saniware-premier-basin-pillar-tap-mixer-matt-swp,2,https://saniware.com/product-tag/mixer-series/,,Saniware,pending,A,candidate,,,,Official Saniware category lists exact SWP-B-2921 basin pillar mixer.
CAB-SAN-SWBC-SS6615,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Bathroom,3,749.00,86.8,1,Saniware,SWBC-SS6615,saniware:saniware-bathroom-cabinet-set-water-tap-swbc-ss6615,1,,,,pending,,pending,,,,
GAS-STO-RUB-TAE10-M523,UNIT,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Kitchen & Sinks,1,1750.00,86.8,1,Rubine,RGH-LOTOFLEXI2B-BLFX,rubine:rubine-glass-hob-rgh-lotoflexi2b-blfx,1,https://www.rubine.com.my/manual-download.php?parent_id=all,,Rubine Malaysia,pending,A,candidate,,,,Official Rubine manual page lists exact RGH-LOTOFLEXI2B-BLFX model.
TAP-SAN-SWP-SS-304-3970-MB,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),Kitchen & Sinks,1,338.00,86.6,1,Saniware,SWP-SS-304-3970-MB,saniware:saniware-premier-flexible-hose-pillar-sink-tap-waterfall,2,,,,pending,,pending,,,,
TOI-TRP-WC-8826-S,SET,Sorento Washdown Flushing Tech,Bathroom,3,769.00,86.6,1,Sorento,TECH.SRTWC8826-S-RL,sorento:sorento-washdown-flushing-tech,1,,,,pending,,pending,,,,
CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Bathroom,4,499.00,86.4,1,Saniware,SWBC-SS6411,saniware:saniware-bathroom-cabinet-set-water-tap-swbc-ss6411,1,,,,pending,,pending,,,,
SHO-HAN-SWP-HS-502,SET,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,Bathroom,4,76.00,86.4,1,Saniware,SWP-HS-502,saniware:saniware-premier-hand-shower-with-flexible-hose-swp,2,,,,pending,,pending,,,,
FAN-CEI-KHI-WHI-CF618,SET,Khind - 60 Ceiling Fan,Fans & Ventilation,9,189.00,86.3,1,Khind,CF618,khind:khind-60-ceiling-fan,1,https://khind.com.my/collections/user-manuals?page=28,,Khind Malaysia,pending,C,candidate,,,,Official manual collection confirms CF618; stocked white finish and package quantity need verification.
OVEN-RUB-TAE13-M265,UNIT,Rubine Built-in Oven RBO-IA6X-70SS,Home Appliances,1,2290.00,86.3,1,Rubine,RBO-IA6X-70SS,rubine:rubine-built-in-oven-rbo-ia6x-70ss,1,https://www.rubine.com.my/offers/kitchen-appliances-2018-october.pdf,,Rubine Malaysia,pending,A,candidate,,,,Official Rubine publication lists exact RBO-IA6X-70SS model.
TAP-SAN-SWP-SS-304-3970,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,Kitchen & Sinks,1,299.00,86.3,1,Saniware,SWP-SS-304-3970,saniware:saniware-premier-flexible-hose-pillar-sink-tap-waterfall,2,,,,pending,,pending,,,,
TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,Sorento Twister Flush Tech,Bathroom,2,1199.00,86.3,1,Sorento,SRTWC8354-SH-UF,sorento:sorento-twister-flush-tech,1,,,,pending,,pending,,,,
SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Bathroom,2,1098.00,86.1,1,Sorento,SRTWT2634-RG,sorento:sorento-exposed-shower-set-matt-blk-rose,1,https://sorento.com.my/bathroom/shower-bidet/exposed-shower-set/srtwt2634-rg-detail,,Sorento,pending,A,candidate,,,,Official product page matches SRTWT2634-RG black and rose-gold exposed shower set.
STA-GRI-SG6100,UNIT,Stanley Grinder 620W,Power Tools,8,129.00,86.1,1,Stanley,SG6100,stanley:stanley-grinder,2,,,,pending,,pending,,,,
STA-DRI-SCH10D2K,UNIT,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,Power Tools,19,399.00,85.9,1,Stanley,SCH10D2K,stanley:stanley-tower-up-hammer-drill-driver,1,,,,pending,,pending,,,,
TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Bathroom,4,519.00,85.9,1,Saniware,WC-2110A-S250MM,saniware:saniware-eco-seat-cover-top-bottom-washdown-two,1,,,,pending,,pending,,,,
TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Bathroom,4,469.00,85.9,1,Saniware,WC-2122A-S250MM,saniware:saniware-washdown-closet-wc-s250mm,1,,,,pending,,pending,,,,
TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Bathroom,2,1099.00,85.8,1,Sorento,SRTWC286-SH-S,sorento:sorento-one-piece-washdown-flush-tech,1,,,,pending,,pending,,,,
TOI-TRP-WC-SRTWC8504-S,PCS,Sorento Washdown W Rimless Flush Tech,Bathroom,2,1099.00,85.8,1,Sorento,SRTWC8504-S,sorento:sorento-washdown-w-rimless-flush-tech,1,,,,pending,,pending,,,,
STA-GRI-SCG400-SOLO,UNIT,Stanley 20V Grinder,Power Tools,3,299.00,85.7,1,Stanley,SCG400,stanley:stanley-grinder,2,,,,pending,,pending,,,,
SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Bathroom,1,949.00,85.6,1,Sorento,3-WAYS,sorento:sorento-exposed-shower-set-3-ways-srtwt2634,1,https://www.sorento.com.my/index.php/bathroom/shower-bidet/exposed-shower-set/srtwt2634-detail,,Sorento,pending,A,candidate,,,,Official product page matches SRTWT2634 three-way exposed shower set.
STA-ROT-HAM-SHR243KA,UNIT,Stanley Rotary Hammer 24MM,Power Tools,2,439.00,85.6,1,Stanley,SHR243KA,stanley:stanley-rotary-hammer,2,,,,pending,,pending,,,,
SHO-SOR-SRTSH22614-BL,PCS,Sorento 229MM ABS Rain Shower Head (matt Blk),Bathroom,2,119.00,85.5,1,Sorento,SRTSH22614-BL,sorento:sorento-abs-rain-shower-head-matt-blk,2,,,,pending,,pending,,,,
SIN-SOR-SRTKS6091,PCS,Sorento Undermount Kitchen Sink,Kitchen & Sinks,2,899.00,85.4,1,Sorento,SRTKS6091,sorento:sorento-undermount-kitchen-sink,1,https://sorento.com.my/result/filter-tap__or__pillar-mounted__or__under-mount__or__rain-shower-head,,Sorento,pending,A,candidate,,,,Official Sorento result page lists exact SRTKS6091 SS304 undermount sink.
FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,Rubine Blk Timber LED Ceiling Fan,Fans & Ventilation,3,549.00,85.3,1,Rubine,RCF-MOZIA56-5BL-BT,rubine:rubine-blk-timber-led-ceiling-fan,1,,,,pending,,pending,,,,
TOI-TRP-WC-SRTWC8366-S(250MM),PCS,Sorento One Piece Washdown W Rimless Flush Tech,Bathroom,1,1799.00,85.3,1,Sorento,SRTWC8366-S,sorento:sorento-one-piece-washdown-w-rimless-flush-tech,1,,,,pending,,pending,,,,
TOI-TRP-WC-SRTWC8518-SH-S,PCS,Sorento One Piece Twister Flushing Tech,Bathroom,2,949.00,85.3,1,Sorento,SRTWC8518-SH-S,sorento:sorento-one-piece-twister-flushing-tech,1,,,,pending,,pending,,,,
GAS-STO-RUB-TAE10-E102,UNIT,Rubine Ceramic Hob,Kitchen & Sinks,1,1590.00,85.2,1,Rubine,RCE-VULCAN40-BL,rubine:rubine-ceramic-hob,1,,,,pending,,pending,,,,
ELE-BUL-B22-3W-RED,PCS,Taicon B22 3W LED Color Bulb - Red,Lighting,56,2.50,85.1,1,Taicon,B22,taicon:taicon-b22-led-color-bulb,4,,,,pending,,pending,,,,
ELE-BUL-E27-10W-RED,PCS,Taicon E27 Stick Bulb Red 10W,Lighting,17,7.90,85.1,1,Taicon,E27,taicon:taicon-e27-stick-bulb,2,,,,pending,,pending,,,,
MIR-SWBC-SS6414,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6414,Bathroom,2,688.00,85.1,1,Saniware,SWBC-SS6414,saniware:saniware-bathroom-cabinet-set-water-tap-swbc-ss6414,1,,,,pending,,pending,,,,
OVEN-RUB-TAE13-M507,UNIT,Rubine M/wave Oven RMO-934SS-GD34X,Home Appliances,1,2030.00,85.1,1,Rubine,RMO-934SS-GD34X,rubine:rubine-m-wave-oven-rmo-934ss-gd34x,1,https://www.rubine.com.my/manual-download.php?parent_id=all,,Rubine Malaysia,pending,C,candidate,,,,Official page lists RMO-934SS-GD34 while AutoCount includes a trailing X; verify appliance label before use.
SHO-SOR-SRTSH2623-BL,PCS,Sorento 225MM ABS Rain Shower Head Matt Blk,Bathroom,2,99.00,85.1,1,Sorento,SRTSH2623-BL,sorento:sorento-abs-rain-shower-head-matt-blk,2,https://sorento.com.my/result/filter-tap__or__pillar-mounted__or__under-mount__or__rain-shower-head,,Sorento,pending,A,candidate,,,,Official Sorento result page lists exact SRTSH2623-BL 225mm ABS rain shower head.
SIN-SOR-SRTKS2426-BL,PCS,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,2,799.00,85.1,1,Sorento,S/S304,sorento:sorento-kitch-sink-blk-ultrasonic-nano-tech,1,https://sorento.com.my/result/filter-tap__or__pillar-mounted__or__under-mount__or__rain-shower-head,,Sorento,pending,A,candidate,,,,Official Sorento result page lists exact SRTKS2426-BL SS304 undermount sink.
SHO-SAN-SWP-BSP-5505B,PCS,Saniware Premier 3WAY Bath Shower Set For Water Heater (black),Bathroom,2,848.00,85.0,1,Saniware,3WAY,saniware:saniware-premier-3way-bath-shower-set-for-water,1,,,,pending,,pending,,,,
TAP-SAN-SWP-SS-304-3950-MB,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap (matt Blk),Kitchen & Sinks,1,219.00,85.0,1,Saniware,SWP-SS-304-3950-MB,saniware:saniware-premier-flexible-hose-kitchen-pillar-sink-tap,2,,,,pending,,pending,,,,
FAN-CEI-RCF-MOZIA56-5B-BT,PCS,Rubine Blk Timber Ceiling Fan,Fans & Ventilation,3,499.00,84.9,1,Rubine,RCF-MOZIA56-5B-BT,rubine:rubine-blk-timber-ceiling-fan,1,,,,pending,,pending,,,,
TOI-TRP-WC-SRTWC8840-S,PCS,Sorento Close Coupled Wash,Bathroom,2,769.00,84.9,1,Sorento,DOWN-SRTWC8840-S,sorento:sorento-close-coupled-wash,1,,,,pending,,pending,,,,
BATH-SRTBF31416,PCS,Sorento 304 S/s 5 IN 1 Bathroom Furn,Bathroom,1,1488.00,84.7,1,Sorento,SRTBF31416,sorento:sorento-304-s-s-1-bathroom-furn,1,,,,pending,,pending,,,,
ELE-D/L-MEG-YTT100ZI-30W,PCS,Megaman E27 LED Bulb,Lighting,32,28.80,84.7,1,Megaman,E27,megaman:megaman-e27-led-bulb,1,,,,pending,,pending,,,,
RUB-TAE10-M371,UNIT,Rubine Glass Hob RGH-FIGATA2B-BL,Kitchen & Sinks,1,860.00,84.7,1,Rubine,RGH-FIGATA2B-BL,rubine:rubine-glass-hob-rgh-figata2b-bl,1,https://www.rubine.com.my/manual-download.php?parent_id=all,,Rubine Malaysia,pending,A,candidate,,,,Official Rubine manual page lists exact RGH-FIGATA2B-BL model.
SHO-SAN-SWP-BSP-5504B,PCS,Saniware Premier 2WAY Bath Shower Set For Water Heater (black),Bathroom,2,768.00,84.7,1,Saniware,2WAY,saniware:saniware-premier-2way-bath-shower-set-for-water,1,,,,pending,,pending,,,,
SIN-SOR-SRTKS2431,PCS,Sorento Nanograin Texture Kitchen Sink,Kitchen & Sinks,1,1499.00,84.7,1,Sorento,SRTKS2431,sorento:sorento-nanograin-texture-kitchen-sink,1,,,,pending,,pending,,,,
ELE-CAB-WIR-MKK-2.5MM-RED,ROLL,MKK Cable 2.5MM (7/0.49MM) Red,Electrical,53,79.50,84.6,1,MKK,7/0.49MM,mkk:mkk-cable-7,7,,,,pending,,pending,,,,
FAN-CEI-DEKA-CGNL54MB12,UNIT,Deka Ceiling Fan Geno Matt Black,Fans & Ventilation,4,318.00,84.6,1,Deka,54LED,deka:deka-ceiling-fan-geno-matt,1,,,,pending,,pending,,,,
KHI-HDR-HD515,SET,Hair Dryer 1800W (matt Black),Home Appliances,2,75.00,84.5,1,Khind,KHIND-HD1800,khind:hair-dryer-matt,2,,,,pending,,pending,,,,
OVEN-RUB-TAE13-M503,UNIT,Rubine M/wave Oven RMO-OREO-28BL,Home Appliances,1,1390.00,84.5,1,Rubine,RMO-OREO-28BL,rubine:rubine-m-wave-oven-rmo-oreo-28bl,1,https://www.rubine.com.my/manual-download.php?parent_id=all,,Rubine Malaysia,pending,A,candidate,,,,Official Rubine manual page lists exact RMO-OREO-28BL model.
ELE-CAB-WIR-MKK-2.5MM-BLACK,ROLL,MKK Cable 2.5MM (7/0.49MM) Black,Electrical,51,79.50,84.4,1,MKK,7/0.49MM,mkk:mkk-cable-7,7,,,,pending,,pending,,,,
MIR-SWBC-SS6811,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6811,Bathroom,1,1199.00,84.4,1,Saniware,SWBC-SS6811,saniware:saniware-bathroom-cabinet-set-water-tap-swbc-ss6811,1,,,,pending,,pending,,,,
SPR-BID-SWP-SS-304-6875-BA,PCS,Saniware Premier Two Way Tap With Bidet SET&1.2M Flex. Hose,Bathroom,1,199.00,84.4,1,Saniware,SET&1.2M,saniware:saniware-premier-two-way-tap-with-bidet-set,2,,,,pending,,pending,,,,
TAP-SAN-SWP-SS-304-3950,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap,Kitchen & Sinks,1,195.00,84.4,1,Saniware,SWP-SS-304-3950,saniware:saniware-premier-flexible-hose-kitchen-pillar-sink-tap,2,,,,pending,,pending,,,,
TAP-SAN-SWP-B-3213-G,PCS,Saniware Premier Tall Basin Cold Tap (gold),Bathroom,1,189.00,84.2,1,Saniware,SWP-SS-304-3213-G,saniware:saniware-premier-tall-basin-cold-tap,2,,,,pending,,pending,,,,
BATH-SRTBF31514,PCS,Sorento 5IN1 Bath Furn,Bathroom,1,1299.00,84.1,1,Sorento,5IN1,sorento:sorento-5in1-bath-furn,1,,,,pending,,pending,,,,
