source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,pass,n/a,yes,"Page title ""MEGAMAN YTA60Z1 10W 220-240V E27 810LM LED GLS BULB [3000K/4000K/6500K]"" on JLL Electrical (authorised MY dealer); image 1000x1000 webp 31.6KB, no thumbnail transform"
252,BOS-0600-8A7-FLO,UNIT,pass,n/a,yes,"Official bosch-diy.com my-en EasyAquatak 110 page contains ""06008A7FL0""; hi-res PNG 3200x1800 501KB"
276,DC-DCSM03-100EK,SET,pass,n/a,yes,"Official Dongcheng page title ""DCSM03-100 ..."" contains DCSM03-100EK; official CDN JPG 2400x2400 611KB named DCSM03-100.jpg"
254,STA-HAM-BRU-SBH900M2K,UNIT,pass,n/a,yes,"Official Stanley MY page ""20V Brushless SDS Hammer"" contains ""SBH900M2K""; ASIA HIRES JPG 2000x2000 213KB named SBH900M2K_1.jpg"
59,STA-GRI-SCG400-SOLO,UNIT,pass,n/a,yes,"Official Stanley MY page ""20V Grinder Tool Only"" contains ""SCG400""; ASIA HIRES JPG 2000x2000 133KB named SCG400_1.jpg"
29,FAN-STA-KHI-SF1682,SET,pass,n/a,yes,"Official Khind store title ""KHIND Stand Fan (16"") SF1682SE"" - only SF1682-family SKU exists so no sibling conflict; Shopify CDN JPG 2000x2000 174KB"
6,SIN-SOR-SRTKS2406,PCS,pass,n/a,yes,"Official Sorento page srtks2406-detail contains ""SRTKS2406""; product JPG 1667x1668 125KB named SRTKS24061.jpg"
1933,DC-DCJZ03-13EK-20V,SET,pass,n/a,yes,"Official Dongcheng title ""DCJZ03-13(TYPE EM/DM/EK/Z)"" enumerates EK type and page contains 20V; CDN PNG 800x800 764KB named DCJZ03-13-05.png"
1466,X-ALP-WAT-HEA-AS-2EP-SIL,UNIT,pass,yes,yes,"Official Alpha Malaysia AS-2EP page contains ""AS-2EP""; PNG 513x513 116KB shows SILVER/chrome Alpha heater with rainshower proving finish"
2541,BAT-CHA-KENDE-SM1212,UNIT,pass,n/a,yes,"Suiu Machinery (MY dealer) Kende page contains ""SM1212""; webp 1000x1000 269KB visibly labelled ""KENDE SM1212"" 6/12V battery inverter charger"
2522,FAN-TAB-KDK-KB-304,PCS,pass,n/a,yes,"Official KDK MY page contains ""KB-304""; PNG 600x388 43KB named product-thumbnail_Table-Fans-KB-304.png (long edge 600px, no small-transform)"
3252,SWI-PLU-MK-654-13A,PCS,pass,n/a,yes,"Sierra Plus (MK dealer) page contains ""MK-654""; JPG 1200x1200 125KB named mk-654-13amp-plug-top-sirim-white"
4349,SWI-LAM-HOL-SE220E-E27,PCS,pass,n/a,yes,"Sierra Plus page contains ""SE-220""; JPG 900x900 66KB named se-220-e27-batten-lamp-holder-socket-light-bulb-holder-c-w-base-white"
3623,CUT-DIS-MARK-12300-P024,PCS,pass,yes,yes,"Mr. Mark official page title ""MK-WEL-12300 'MASTER' FIBRE DISC (100mm / 4"")"" contains 12300; JPG 750x750 181KB shows MR.MARK discs marked ""P 24"" proving P024 grit finish"
3343,CUT-ELE-EFM430,PCS,pass,n/a,yes,"DJ Hardware page (www twin of brief m. URL, same products_id=3308430) title ""GOLD ELEPHANT INDUSTRIAL LINE FLEXIBLE GRINDING DISC METAL EFM 430 (WS)""; PNG 481x522 230KB shows Gold Elephant Flexible Grinding Disc Metal (m. subdomain serves JS shell)"
