source_position|item_code|uom|display_name|category|detected_brand|detected_model|prior_page|prior_image|prior_problem
267|STA-PRE-WAS-K3-DEL|UNIT|Karcher Pressure Washer K3 Deluxe Premium|Power Tools|Stanley||https://www.karcher.com/my/en/home-and-garden/products/k-3-deluxe-premium-p16032200|https://d1y4tv7o00gnfq.cloudfront.net/mam/16032200/mainproduct/194232/d2.jpg|gate-fail
268|X-STA-PRE-WAS-K4|UNIT|Karcher K4 Basic High Pressure Cleaner|Power Tools|Karcher||https://www.karcher.com/my/en/home-and-garden/products/k-4-basic-p11800800|https://d1y4tv7o00gnfq.cloudfront.net/mam/11800800/mainproduct/72592/d2.jpg|gate-fail
57|TOI-TRP-WC-SRTWC286-SH-S(250MM)|PCS|Sorento One Piece Washdown Flush Tech|Bathroom|Sorento|SRTWC286-SH-S|https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7|https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7|gate-fail
52|SHO-SOR-SRTWT2634-RG|PCS|Sorento Exposed Shower Set (matt Blk+rose Gold)|Bathroom|Sorento|SRTWT2634-RG|https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63|https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63|gate-fail
250|CHA-SAW-STIHL-MS230|UNIT|Stihl Chainsaw 18 Stihl Chain & Guide BAR|Rope, Chain & Netting|STIHL|MS230|https://stihl-thk.com.my/products/ms-230/|https://stihl-thk.com.my/wp-content/uploads/2021/04/9ba6436ebe224792bd67edd7d604992a-1.jpg|gate-fail
6|SIN-SOR-SRTKS2406|PCS|Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406|Kitchen & Sinks|Sorento|SRTS2406|https://www.sorento.com.my/sorento-kitchen/kitchen-sink/double-bowl/srtks2406-detail|https://www.sorento.com.my/images/stories/virtuemart/product/SRTKS24061.jpg|gate-fail
213|STI-BRU-CUT-FR3001|UNIT|Stihl Brush Cutter|Outdoor & Garden|STIHL|FR3001|https://stihl-thk.com.my/products/fr-3001/|https://stihl-thk.com.my/wp-content/uploads/2023/03/FR-3001.jpg|gate-fail
122|SHO-SOR-SRTWT9600HP|PCS|Sorento Exposed Shower Set - 2WAYS SRTWT9600HP|Bathroom|Sorento|2WAYS|https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/exposedshowerset-mobile/srtwt9600-detail|https://sorentomasterclub.com.my/international/images/virtuemart/product/SRTWT9600-(product).jpg|gate-fail
21|TAP-SAN-SWP-B-3023|PCS|Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023|Bathroom|Saniware|SWP-B-3023|https://saniware.com/product/swp-b-3023/|https://saniware.com/wp-content/uploads/2021/10/SWP-B-3023.png|gate-fail
27|TAP-SAN-SWP-SS-304-3940-RG|PCS|Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG|Kitchen & Sinks|Saniware|SWP-SS-304-3940-RG|https://saniware.com/product/kitchen-pillar-sink-tap-swp-ss-304-3940-rg/|https://saniware.com/wp-content/uploads/2025/05/SWP-SS-304-3940-RG-1.jpg|gate-fail
62|SHO-SOR-SRTSH22614-BL|PCS|Sorento 229MM ABS Rain Shower Head (matt Blk)|Bathroom|Sorento|SRTSH22614-BL|https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65|https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65|gate-fail
19|RUB-TAE11-M330|UNIT|Rubine C/hood|Home Appliances|Rubine|RCH-NOVARA-90SS|https://www.rubine.com.my/product/RCH-NOVARA-90SS|https://www.rubine.com.my/files/product_img/IM01791.jpg|verify-fail/disagree
158|JOV-WAT-FIL-JWP20|PCS|Joven Water Filter|Pumps & Water|Joven|JWP20|https://www.joven-electric.com/my/jwp20-water-filter.html|https://www.joven-electric.com/media/catalog/product/5/1/5134612001-1.jpg|gate-fail
43|GAS-STO-RUB-TAE10-M523|UNIT|Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX|Kitchen & Sinks|Rubine|RGH-LOTOFLEXI2B-BLFX|https://www.rubine.com.my/product/RGH-LOTOFLEXI2B-BLFX|https://www.rubine.com.my/files/product_img/IM01801.jpg|verify-fail/disagree
184|BOS-0611-924-0L1|UNIT|Gbh Batt. Rotary Hammer|Power Tools|Bosch|185-LI|https://www.bosch-professional.com/sa/en/products/gbh-185-li-06119240L1|https://www.bosch-professional.com/sa/en/ocsmedia/397710-54/application-image/full/cordless-rotary-hammer-with-sds-plus-pro-gbh-185-li-06119240l1.png|gate-fail
208|BOS-0601-068-000|UNIT|Gol 26D Optical Leveller|Power Tools|Bosch|26D|https://www.bosch-professional.com/gb/en/products/gol-26-d-0601068000|https://www.bosch-professional.com/binary/ocsmedia/optimized/full/o451656v54_GOL_26_D_SOS_0601068000_f4_V2.png|gate-fail
13|SHO-SAN-SWP-BSP-9003RG|PCS|Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold)|Bathroom|Saniware|3WAY|https://saniware.com/product/3-way-bath-shower-set-swp-bsp-9003rg/|https://saniware.com/wp-content/uploads/2025/05/SWP-BSP-9003RG.jpg|gate-fail
12|SHO-SAN-SWP-BSP-9003G|PCS|Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold)|Bathroom|Saniware|3WAY|https://saniware.com/product/3-way-bath-shower-set-swp-bsp-9003g/|https://saniware.com/wp-content/uploads/2025/05/SWP-BSP-9003G.jpg|gate-fail
226|BOS-0611-338-9L1|UNIT|Gsh 5MX Demolition Hammer|Power Tools|Bosch|5MX|https://www.bosch-pt.com.my/my/en/products/gsh5mx-06113389L1|https://www.bosch-pt.com.my/binary/ocsmedia/optimized/750x422/o596317v54_o587462v12.png|gate-fail
60|SHO-SOR-SRTWT2634|PCS|Sorento Exposed Shower Set 3-WAYS SRTWT2634|Bathroom|Sorento|3-WAYS|https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62|https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62|gate-fail
36|TAP-SAN-SWP-B-2931|PCS|Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931|Bathroom|Saniware|SWP-B-2931|https://saniware.com/product/basin-pillar-tap-mixer-swp-b-2931/|https://saniware.com/wp-content/uploads/2025/05/SWP-B-2931.png|gate-fail
37|TAP-SAN-SWP-B-2930|PCS|Saniware Premier Basin Pillar Tap-mixer SWP-B-2930|Bathroom|Saniware|SWP-B-2930|https://saniware.com/product/basin-pillar-tap-mixer-swp-b-2930/|https://saniware.com/wp-content/uploads/2025/05/SWP-B-2930.png|gate-fail
40|TAP-SAN-SWP-B-2924|PCS|Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924|Bathroom|Saniware|SWP-B-2924|https://saniware.com/product/basin-pillar-tap-mixergold-swp-b-2924/|https://saniware.com/wp-content/uploads/2026/01/SWP-B-2924.jpg|gate-fail
41|TAP-SAN-SWP-B-2921|PCS|Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921|Bathroom|Saniware|SWP-B-2921|https://saniware.com/product/swp-b-2921/|https://saniware.com/wp-content/uploads/2021/10/SWP-B-2921.png|gate-fail
38|IND-RIC-COO-RC7878|SET|5.6L Rice Cooker (cool Grey)|Home Appliances|Khind|KHIND-RC565|https://khind.com.my/products/5-6l-commercial-rice-cooker-rc565|http://khind.com.my/cdn/shop/files/rc565-wh-cover_190224150612.jpg?v=1751809130|verify-fail/disagree
110|TAP-SAN-SWP-B-3203-RG|PCS|Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-SS-304-3203-RG|Bathroom|Saniware|SWP-SS-304-3203-RG|https://saniware.com/product/premier-basin-pillar-cold-tap-swp-ss-304-3203-rg/|https://saniware.com/wp-content/uploads/2025/05/SWP-SS-304-3203-RG.jpg|gate-fail
291|BAT-ENE-MAX-AAA4PCS|PCK|En Max Aaa 4 Pc|Electrical|||https://energizer.com/product/power/energizer-max/energizer-max-aaa-batteries-4-pack-triple-a-alkaline-batteries/|https://energizer.com/wp-content/uploads/2025/01/ENR_MAX_AAA_Dash_E92BP-4_BlisterCard_Hero_Image_Front_UPN-188575_NA.png|gate-fail
290|BAT-ENE-MAX-AA4PCS|PCK|En Max Aa 4 Pc|Electrical|||https://energizer.com/product/power/energizer-max/energizer-max-aa-batteries-4-pack-double-a-alkaline-batteries/|https://energizer.com/wp-content/uploads/2025/01/gootcdmcp1lqthizyrjt.jpg|gate-fail
300|DRA-COV-TEC-GRE-9"X17"|PCS|Techplas 9 X 17 Drain Cover - Grey|Plumbing|||https://techplas.com.my/products/injection-moulded-products/drain-cover/otd-5120|https://techplas.com.my/wp-content/uploads/2022/08/OTD-5120.jpg|gate-fail
2602|IND-CEM-GREY-25KG|BAG|Sika Ceram 88 (25KG/BAG)|Building Materials||25KG/BAG|https://mys.sika.com/en/construction/tile-setting/tile-adhesives/sikaceram-88.html|https://sika.scene7.com/is/image/sikacs/my-SikaCeram-88-25kg-01536099:1-1?wid=1000&hei=1000|gate-fail
1202|TAP-SAN-SWS-304-3977|PCS|Saniware Sliver Wall Bib Tap With Hose Connect|Plumbing|Saniware|SWS-304-3977|https://saniware.com/product/sws-304-3977/|https://saniware.com/wp-content/uploads/2021/03/SWS-304-3977.jpg|gate-fail
1440|VAL-SAN-SW-SS-AV-80|PCS|Saniware Angle Valve SW-SS-AV-80|Plumbing|Saniware|SW-SS-AV-80|https://saniware.com/product/sw-ss-av-80/|https://saniware.com/wp-content/uploads/2021/03/SW-SS-AV-80-1.jpg|gate-fail
3630|GROUT-SEAL-703|CAN|Sikagard 703 Groutseal - 1LTR|Other||1LTR|https://mys.sika.com/en/home-improvement/waterproofing/sikagard-703-groutseal.html|https://sika.scene7.com/is/image/sikacs/my-02-en-MY-Sikagard-703-GroutSeal-1x1-00557701:1-1?wid=1024&hei=1024&fit=crop%2C1&fmt=webp-alpha|gate-fail
2515|LAD-H/D-STRO-DS07|UNIT|Strongman D/s H/d Ladder DSHD07 7STEP|Ladders & Access||DSHD07|https://b2b-uat.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd07-7step|https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000855_strongman-double-sided-heavy-duty-dshd07-7-step_510.jpeg?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787228864&Signature=9NtYO%2FjO%2FYfZM41kRi4VG9AtOkU%3D|gate-fail
1453|ALP-WAT-HEA-X5E|UNIT|Alpha Instant Water Heater X5-E|Home Appliances||X5-E|https://www.alphamalaysia.com/instant-shower-heaters/x5-e|https://www.alphamalaysia.com/sites/default/files/2023-08/X5E_0.png|gate-fail
1226|TAP-SAN-SWS-304-3978|PCS|Saniware Sliver Two Way Tap|Plumbing|Saniware|SWS-304-3978|https://saniware.com/product/sws-304-3978/|https://saniware.com/wp-content/uploads/2021/03/SWS-304-3978.jpg|gate-fail
2306|TAP-CAB-CB65SS-BL|PCS|Cab Basin Cold Tap-matt Blk|Bathroom||S/S304|https://cabana.com.my/index.php/products/bathroom/basin-cold-tap/cb65ss-bl-detail|https://cabana.com.my/images/virtuemart/product/CB65SS-BL.jpg|gate-fail
1933|DC-DCJZ03-13EK-20V|SET|Cordless Brushless Driver/hammer Drill 20V (4.0AH X2/4A) / DCJZ03-13EK|Power Tools||X2/4A|https://www.dongchengtool.com/product/detail/1641398181688|https://dongcheng.obs.ap-southeast-1.myhuaweicloud.com/cms/2023/7/1/1690874744208/DCJZ03-13-05.png|gate-fail
1935|DCPB488EK|SET|Cordless Brushless Impact Wrench 20V (4.0AH X2/4A)|Power Tools||X2/4A|https://www.dongchengtool.com/product/detail/1642127635550|https://dongcheng.obs.ap-southeast-1.myhuaweicloud.com/cms/2024/10/20/1732082320672/DCPB488.jpg|gate-fail
1017|STA-PRE-WAS-K3|UNIT|Karcher K3 Hr Plus Pressure Washer|Power Tools|Stanley||https://www.karcher.com/my/en/home-and-garden/products/k-3-hr-plus-p15992610|https://d1y4tv7o00gnfq.cloudfront.net/mam/15992610/mainproduct/189898/d2.jpg|gate-fail
1347|ALP-WAT-HEA-IM-9EP-BLK|UNIT|Alpha Instant Water Plus Rainshower-blk|Home Appliances||HEATER-IM-9EP|||gate-fail
1466|X-ALP-WAT-HEA-AS-2EP-SIL|UNIT|Alpha Instant Water Heater AS-2EP-SIL|Home Appliances||AS-2EP-SIL|https://www.alphamalaysia.com/instant-shower-heaters/as-2ep|https://www.alphamalaysia.com/sites/default/files/2023-07/AS2EP%20Std%20G12%20copy%203.png|gate-fail
2865|LAD-H/D-STRO-DS08|UNIT|Strongman D/s H/d Ladder DSHD08 8STEP|Ladders & Access||DSHD08|https://b2b-uat.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd08-8step|https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000584_strongman-double-sided-heavy-duty-dshd08-8-step_510.png?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787229446&Signature=Z3lDNPZdwZ3%2FjeKeLJmqRYoSvlc%3D|gate-fail
