source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
6744,"FIT-HDPE-ADA-MAL-20MMX1/2""",PCS,HDPE Adaptor Male 20MM X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE"" ""adaptor male"" ""20mm x 1/2"" Malaysia | q: ""HDPE nipple"" fitting Malaysia | p: https://html.duckduckgo.com/html/?q=%22HDPE%22+%22adaptor+male%22 (bot-challenge page, no usable results) | https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | https://www.ewarehouse.my/hdpe-pipes (HTTP 200; ATKC Hardware Trading Sdn Bhd eWarehouse HDPE category stocks pipes only - 14 SKUs, zero small fittings) | Closing: size string ""20MM X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email ATKC Hardware Trading Sdn Bhd eWarehouse (+603-3181 8870, ewarehouse.my Send Inquiry) for a HDPE adaptor male 20mm x 1/2 packshot, or shoot in-store."
3815,FIT-HDPE-BEN-ELB-25MM,PCS,HDPE Bend (elbow) 25MM,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: HDPE bend elbow 25mm compression fitting Malaysia supplier | q: ""HDPE bend male"" threaded 25mm | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | https://www.ewarehouse.my/hdpe-pipes (HTTP 200; ATKC Hardware Trading Sdn Bhd eWarehouse HDPE category stocks pipes only - 14 SKUs, zero small fittings) | Closing: size string ""25MM"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE bend (elbow) 25mm packshot, or shoot in-store."
7646,FIT-HDPE-BUS-1X3/4,PCS,HDPE Bush 1 X 3/4,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bush"" reducer fitting ""1 x 3/4"" | q: ""HDPE nipple"" fitting Malaysia | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""1 X 3/4"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.",Shoot in-store: photograph a HDPE bush 1 x 3/4 from shelf stock; no OEM asset exists.
6474,FIT-HDPE-CAP-25MM,PCS,HDPE End Cap 25MM,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE end cap"" 20mm Malaysia supplier | q: HDPE bend elbow 25mm compression fitting Malaysia supplier | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""25MM"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE end cap 25mm packshot, or shoot in-store."
6700,FIT-HDPE-CAP-20MM,PCS,HDPE End Cap 20MM,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE end cap"" 20mm Malaysia supplier | q: HDPE bend elbow 25mm compression fitting Malaysia supplier | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""20MM"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email ATKC Hardware Trading Sdn Bhd eWarehouse (+603-3181 8870, ewarehouse.my Send Inquiry) for a HDPE end cap 20mm packshot, or shoot in-store."
7504,FIT-HDPE-CON-20MM,PCS,3/4 HDPE Tank Connector,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE tank connector"" Malaysia | q: ""HDPE"" ""adaptor male"" ""20mm x 1/2"" Malaysia | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""3/4"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a 3/4 HDPE tank connector packshot, or shoot in-store."
4258,"FIT-HDPE-ELB-FEM-20MMX1/2""",PCS,Wall Plate Female Elbow 20MM X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""wall plate elbow"" HDPE ""20mm x 1/2"" Malaysia | q: ""HDPE bend"" female threaded 25mm Malaysia | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""20MM X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.",Shoot in-store: photograph a wall plate female elbow 20mm x 1/2 from shelf stock; no OEM asset exists.
4316,"FIT-HDPE-ELB-FEM-25MMX1/2""",PCS,Wall Plate Female Elbow 25MM X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""wall plate elbow"" HDPE ""20mm x 1/2"" Malaysia | q: ""HDPE bend"" female threaded 25mm Malaysia | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""25MM X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a wall plate female elbow 25mm x 1/2 packshot, or shoot in-store."
7527,"FIT-HDPE-NIP-3/4""X1/2""",PCS,HDPE Nipple 3/4 X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE nipple"" fitting Malaysia | q: ""HDPE bush"" reducer fitting ""1 x 3/4"" | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""3/4 X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE nipple 3/4 x 1/2 packshot, or shoot in-store."
7632,"FIT-HDPE-NIP-3/4""X3/4""",PCS,HDPE Nipple 3/4 X 3/4,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE nipple"" fitting Malaysia | q: ""HDPE bush"" reducer fitting ""1 x 3/4"" | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""3/4 X 3/4"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email ATKC Hardware Trading Sdn Bhd eWarehouse (+603-3181 8870, ewarehouse.my Send Inquiry) for a HDPE nipple 3/4 x 3/4 packshot, or shoot in-store."
7665,"FIT-HDPE-NIP-1""X3/4""",PCS,HDPE Nipple 1 X 3/4,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE nipple"" fitting Malaysia | q: ""HDPE bush"" reducer fitting ""1 x 3/4"" | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""1 X 3/4"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE nipple 1 x 3/4 packshot, or shoot in-store."
7726,"FIT-HDPE-NIP-12""X12""",PCS,HDPE Nipple 1/2 X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE nipple"" fitting Malaysia | q: ""HDPE bush"" reducer fitting ""1 x 3/4"" | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""1/2 X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.",Shoot in-store: photograph a HDPE nipple 1/2 x 1/2 from shelf stock; no OEM asset exists.
