source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
6010,BNW-BOL-HTM-M08-50MM,PCS,H/t Bolt - M 08 X 50MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 08x50 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""08x50mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""08x50"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5847,BNW-BOL-HTM-M10-30MM,PCS,H/t Bolt - M 10 X 30MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 10x30 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""10x30mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""10x30"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5953,BNW-BOL-HTM-M10-35MM,PCS,H/t Bolt - M 10 X 35MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 10x35 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""10x35mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""10x35"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6164,BNW-BOL-HTM-M08-30MM,PCS,H/t Bolt - M 08 X 30MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 08x30 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""08x30mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""08x30"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6274,BNW-BOL-HTM-M08-25MM,PCS,H/t Bolt - M 08 X 25MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 08x25 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""08x25mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""08x25"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5579,BNW-BOL-HTM-M12-25MM,PCS,H/t Bolt - M 12 X 25MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 12x25 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""12x25mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""12x25"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6062,BNW-BOL-HTM-M10-45MM,PCS,H/t Bolt - M 10 X 45MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 10x45 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""10x45mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""10x45"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6520,BNW-BOL-HTM-M06-40MM,PCS,H/t Bolt - M 06 X 40MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 06x40 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""06x40mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""06x40"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6546,BNW-BOL-HTM-M08-40MM,PCS,H/t Bolt - M 08 X 40MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 08x40 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""08x40mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""08x40"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6063,BNW-BOL-HTM-M10-65MM,PCS,H/t Bolt - M 10 X 65MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 10x65 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""10x65mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""10x65"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6322,BNW-BOL-HTM-M10-40MM,PCS,H/t Bolt - M 10 X 40MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 10x40 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""10x40mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""10x40"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6341,BNW-BOL-HTM-M10-50MM,PCS,H/t Bolt - M 10 X 50MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 10x50 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""10x50mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""10x50"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5683,BNW-BOL-HTM-M12-55MM,PCS,H/t Bolt - M 12 X 55MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 12x55 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""12x55mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""12x55"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6521,BNW-BOL-HTM-M08-60MM,PCS,H/t Bolt - M 08 X 60MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 08x60 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""08x60mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""08x60"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5632,BNW-BOL-HTM-M10-100MM,PCS,H/t Bolt - M 10 X 100MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 10x100 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""10x100mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""10x100"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
