source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,pass,yes,yes,"deka.my F66 DC page spec list 'Model: F66 DC, Size 66in, Colour: MB, WN'; MB swatch links exactly F66-2560X2560-BK.png matching the brief URL; 2560x2560 png 520956B"
277,PUM-WTR-JHP4-40,UNIT,pass,yes,yes,"official Joven MY page 'JHP 4-40 Water Pump' SKU 5130309001; image 5130309001-2.jpg is an OEM gallery asset of that same SKU (main photo 5130309001-1.jpg); 1000x1000 jpeg 164579B"
100,FAN-FLO-KHI-FF2005,PCS,pass,yes,yes,"khind.com.my official store page titled 'KHIND 20 Inch Industrial Floor Fan FF2005'; brief image ssmy.zone-1731060431-FF2005_WH.jpg is the page's own product media; 2000x2000 jpeg 437187B"
15,FAN-CEI-DEKA-CF5DCL46MB12,UNIT,pass,yes,yes,"deka.my F5 DC 46L PRO page 'Model: F5 DC 46L PRO' 46in with 'Colour: MB, MTW...' and MB swatch linking exactly F5-DC-46L-PRO-MB-Jpg-OK.jpg; 1000x1000 jpeg 120294B"
29,FAN-STA-KHI-SF1682,SET,fail,yes,no,"page product is 'KHIND Stand Fan (16in) SF1682SE' (title and image SF1682SE_BG_white...jpg) while item embeds SF1682 without the SE suffix — sibling-SKU suffix mismatch per ultra bar even though image itself is 2000x2000 178066B"
39,FAN-STA-KHI-SF1663H,SET,pass,yes,yes,"khind.com.my page titled 'KHIND 16 Inch Stand Fan SF1663H' exactly matching item; brief image sf1663h-cover_010721155036.jpg is the page's own cover media; 1000x1000 jpeg 46702B"
85,KHI-HDR-HD515,SET,fail,yes,no,"page is 'KHIND Hair Dryer HD1800' (title and hd1800-wh-cover.jpg media, specs Power 1800W) while item embeds HD515 — wrong/sibling model entirely; 2000x2000 jpeg 79556B"
19,RUB-TAE11-M330,UNIT,fail,yes,no,"rubine.com.my page shows cooker hood 'RCH-NOVARA-90SS' with IM01791.jpg (800x800 53816B) but item tokens TAE11/M330 appear nowhere in the page text and Rubine SKUs use RCH-/RGH-/RCE- naming — mapping to THIS listing unprovable"
158,JOV-WAT-FIL-JWP20,PCS,pass,yes,yes,"official Joven MY page 'JWP20 Outdoor Water Filter' SKU 5134612001; image 5134612001-1.jpg is that page's main product photo; 1000x1000 jpeg 75916B"
43,GAS-STO-RUB-TAE10-M523,UNIT,fail,yes,no,"rubine.com.my page is gas hob 'RGH-LOTOFLEXI2B-BL' with IM01801.jpg (800x800 51672B) but item tokens TAE10/M523 appear nowhere in the page text — no literal proof this internal code maps to this SKU"
184,BOS-0611-924-0L1,UNIT,pass,yes,yes,"bosch-professional.com SA page 'PRO GBH 185-LI' states 'Order number 0.611.924.0L1' exactly matching item digits 06119240L1; /full/ PNG embeds GBH_185-Li asset; 660x600 png 523295B"
67,GAS-STO-RUB-TAE10-E102,UNIT,fail,yes,no,"rubine.com.my page is 'RCE-VULCAN40-BL' ceramic ELECTRIC hob with IM02133.jpg (800x800 65419B) but item token E102 appears nowhere in page text and item category GAS-STO contradicts an electric hob — mapping unprovable"
208,BOS-0601-068-000,UNIT,pass,yes,yes,"bosch-professional.com page 'PRO GOL 26 D Optical Level' states 'Order number 0.601.068.000' exactly matching item 0601068000; /full/ PNG embeds GOL_26_D_SOS_0601068000; 627x600 png 388525B"
80,RUB-TAE10-M371,UNIT,fail,yes,no,"assigned page is Rubine gas hob RGH-FIGATA2B-BL (OEM RGH-series naming confirmed via web search; image IM01807.jpg fetched 800x800 58396B) but item tokens TAE10/M371 appear nowhere on any rubine.com.my page text — mapping unprovable"
38,IND-RIC-COO-RC7878,SET,fail,yes,no,"page is 'KHIND 5.6L Commercial Rice Cooker RC565' (rc565-wh-cover.jpg 2000x2000 67663B) while item embeds RC7878 — different model number, wrong-product mapping"
627,FAN-CEI-DEKA-CX146BK12,UNIT,pass,yes,yes,"deka.my X-ONE 46 page spec 'Model: X-ONE 46 ... Colour: BK, WH, DW' and BK swatch links exactly X-ONE-46-2560X2560-BK.png; 2560x2560 png 316998B"
469,GAS-STO-KHI-GC6010,SET,pass,yes,yes,"khind.com.my page titled 'KHIND Gas Cooker GC6010' exactly matching item; brief image gc6010-hi_220523171908.jpg is the page's own product media; 4288x2848 jpeg 383164B"
632,FAN-CEI-DEKA-CDKN54MG12,UNIT,pass,yes,yes,"deka.my KONI 54 page 'Technical Specification Model: KONI 54 ... Colour: MG, MTW, OAK, LW' and MG swatch links exactly KONI-54-MG-Jpg.jpg; 1000x1000 jpeg 122121B"
640,FAN-CEI-DEKA-CCM34MG12,UNIT,pass,yes,yes,"deka.my CONCEPT MINI page 'Model: CONCEPT MINI, Size 34in, Colour: MG, WH' and MG swatch links exactly CONCEPT-MINI-MG-Jpg.jpg; 1000x1000 jpeg 108748B"
