source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K,Lighting,23,15.90,1,Megaman,E27,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
252,BOS-0600-8A7-FLO,UNIT,Easy Aqt 110 High P/cleaner,Chemicals & Adhesives,22,488.00,1,Bosch,,skip_pass,candidate,https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0,https://www.bosch-diy.com/imagestorage/en-my/easyaquatak-110-100044179-hires-png-rgb-oneux-263458_w_1600_h_800.png,,pass-queue-waiting,already OpenCode/dual pass,yes
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K,Lighting,22,15.90,1,Megaman,E27,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Lighting,22,13.90,1,Megaman,A70,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
221,PAI-SPR-SAM-2K01,PCS,Samurai Clearcoat Spray,Paint & Sundries,21,46.90,1,Samurai,2-COMPONENT,skip_pass,candidate,https://samuraipaint.com/products/2k01-top-coat-clear,https://samuraipaint.com/cdn/shop/files/2K01_467e5ff6-2529-4889-b249-e99de298513f.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
251,FAN-CEI-DEKA-CX156BK12,UNIT,Deka Ceiling Fan X-one 56 Blk,Fans & Ventilation,20,159.00,1,Deka,,skip_pass,candidate,https://deka.my/x-one-56/,https://deka.my/wp-content/uploads/2025/11/X-ONE-56-2560X2560-BK.png,,pass-queue-waiting,already OpenCode/dual pass,yes
54,STA-DRI-SCH10D2K,UNIT,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,Power Tools,19,399.00,1,Stanley,SCH10D2K,skip_pass,candidate,https://theleedenstore.com.my/product/stanley-sch10d2k-b1-12v-brushed-cordless-hammer-drill-with-2-0ah-battery-1-5a-charger/,https://theleedenstore.com.my/wp-content/uploads/2024/02/STENLEY-CORDLESS-SERIES_STANLEY-SCH10D2K-B1-12V-BRUSHED-CORDLESS-HAMMER-DRILL-WITH-2.0AH-BATTERY-1.5A-CHARGER.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K,Lighting,19,13.90,1,Megaman,A70,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
5,JOV-WAT-HEA-SA20E,PCS,Joven Instant Water Heater,Home Appliances,18,320.00,1,Joven,SA20E,skip_pass,candidate,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/s/a/sa20e_-_feature_image_2026.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 5. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/6500K,Lighting,18,11.90,1,Megaman,E27,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K,Lighting,17,11.90,1,Megaman,E27,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
7,JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Home Appliances,16,288.00,1,Joven,SA8E,skip_pass,candidate,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/5/1/511801001-1.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 7. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes
165,BOS-2608-522-405,PCS,Impact Bit PH2 X 65MM,Power Tools,16,14.30,1,Bosch,PH2,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o469856v82_2608522405_bo_pro_u_f_1.png,,pass-queue-waiting,already OpenCode/dual pass,yes
195,BOS-2608-522-406,PCS,Impact Bit PH2 X 110MM,Power Tools,10,20.50,1,Bosch,PH2,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o469860v82_2608522406_bo_pro_u_f_1.png,,pass-queue-waiting,already OpenCode/dual pass,yes
11,JOV-WAT-HEA-SL30E-WHI-RS,PCS,Joven (white) Instant Water Heater SL30E-RS,Home Appliances,9,499.00,1,Joven,SL30E-RS,skip_pass,candidate,https://www.joven-electric.com/my/sl30e-rs-instant-water-heater-5100601.html,https://www.joven-electric.com/media/catalog/product/cache/81feca21a488f339124f3c58fa0f1a2e/5/1/5100601001-4_2.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 11. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes
155,FAN-CEI-DEKA-CF5DC56MB,UNIT,Deka Ceiling Fan F5 Dc~pro Matt Blk 56,Fans & Ventilation,8,189.00,1,Deka,,skip_pass,candidate,https://deka.my/f5-dc-pro/,https://deka.my/wp-content/uploads/2025/07/F5-DC-PRO-MB-Jpg.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
53,STA-GRI-SG6100,UNIT,Stanley Grinder 620W,Power Tools,8,129.00,1,Stanley,SG6100,skip_pass,candidate,https://my.stanleytools.global/product/sg6100-xd/620w-100mm-slim-small-angle-grinder,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SG6100_1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
247,"HOS-FLE-GLO-60""",PCS,Glotool Flexible Tube F1/2 X F12 X 60,Outdoor & Garden,8,16.90,1,Glotool,F1/2,skip_pass,candidate,https://www.sonichardware.com.my/categories-listing/product/2116-glotool-flexible-tube-stainless-steel-f1-2-x-f1-2,https://www.sonichardware.com.my/images/com_hikashop/upload/01_1223683543.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
2,JOV-WAT-HEA-SL30IP-BLK,PCS,Joven (black) Instant Water Heater SL30IP,Home Appliances,7,559.00,1,Joven,SL30IP,skip_pass,candidate,https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html,https://www.joven-electric.com/media/catalog/product/cache/81feca21a488f339124f3c58fa0f1a2e/s/l/sl30ip_black_2026_1.jpg,,p300-pass1,"Queries ran: exact SKU SL30IP at official Joven Malaysia and official SL30 series page. The exact official model page identifies SL30iP, SKU 5101401, 3.6kW/240V and non-RS slider-bar accessories; the page exposes a model-specific black asset named sl30ip_black_2026_1.jpg. The black finish and non-RS model are exact; RS sibling excluded.",yes
265,BOS-0601-6A0-0L0,UNIT,Gkf 550 Router,Power Tools,7,398.00,1,Bosch,,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/products/gkf-550-06016A00L0,https://www.bosch-pt.com.my/my/en/ocsmedia/316066-82/product-image/166x164/palm-router-pro-gkf-550-06016a00l0.png,,pass-queue-waiting,already OpenCode/dual pass,yes
276,DC-DCSM03-100EK,SET,Cordless Brushless Angle Grinder 20V,Power Tools,6,898.00,1,,DCSM03-100EK,skip_pass,candidate,https://www.dongchengtool.com/product/detail/1642205372810,https://dongcheng.obs.ap-southeast-1.myhuaweicloud.com/cms/2024/10/20/1732062890048/DCSM03-100.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
1,JOV-WAT-HEA-SL30IP-BLK-RS,PCS,Joven (black) Instant Water Heater SL30IP-RS,Home Appliances,6,700.00,1,Joven,SL30IP-RS,skip_pass,candidate,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/5/1/5101501002-1.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 1. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes
120,BOS-0601-227-1L2,UNIT,Gsb 13RE Impact Drill (blow Mode Set),Power Tools,6,485.00,1,Bosch,13RE,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/products/gsb-13-re-06012271L2,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/750x422/o260232v54_lv-144432-12-GSB13RE_stat_01.png,,pass-queue-waiting,already OpenCode/dual pass,yes
182,STA-DRI-SCD10D2K,UNIT,Stanley 12V Tower Up Drill/driver 2.0AH,Power Tools,6,369.00,1,Stanley,SCD10D2K,skip_pass,candidate,https://theleedenstore.com.my/product/stanley-scd10d2k-b1-12v-brushed-cordless-drill-driver-with-2-0ah-battery-1-5a-charger/,https://theleedenstore.com.my/wp-content/uploads/2024/11/STENLEY-CORDLESS-SERIES_STANLEY-SCD10D2K-B1-12V-BRUSHED-CORDLESS-DRILL-DRIVER-WITH-2.0AH-BATTERY-1.5A-CHARGER-PHOTO-1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
24,SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Bathroom,6,89.00,1,Sorento,SRTSA830,skip_pass,candidate,https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa830-detail,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=64,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 24. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes
196,BOS-2608-522-407,PCS,Impact Bit PH2 X 150MM,Power Tools,6,29.80,1,Bosch,PH2,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o466604v82_2608522407_bo_pro_u_f_1.png,,pass-queue-waiting,already OpenCode/dual pass,yes
262,BOS-0600-8A7-AL0,UNIT,Aquatak 125 High P/cleaner,Chemicals & Adhesives,5,895.00,1,Bosch,,skip_pass,candidate,https://www.bosch-diy.com/my/en/p/universalaquatak-125-06008a7al0,https://www.bosch-diy.com/imagestorage/en-my/universalaquat-125-100043700-hires-png-rgb-oneux-244958_w_1600_h_800.png,,pass-queue-waiting,already OpenCode/dual pass,yes
18,JOV-WAT-HEA-SB11IP-BLK-RS,PCS,Joven (blk) Instant Water Heater,Home Appliances,5,769.00,1,Joven,SB11IP-RS,skip_pass,candidate,https://www.joven-electric.com/my/sb11ip-rs-4-2kw-instant-water-heater-5111102.html,https://www.joven-electric.com/media/catalog/product/cache/be45d83139bc2950f7fdc035c8252966/s/b/sb11ip-rs_4.2kw_black__1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
28,TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Bathroom,5,669.00,1,Saniware,WC2300-S250MM,skip_pass,candidate,https://saniware.com/product/one-piece-washdown-closet-wc-2300-s250mm/,https://saniware.com/wp-content/uploads/2025/05/WC-2300.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 28. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes
272,SIN-CKS7406,PCS,Cabana Kitchen Sink CKS7406,Kitchen & Sinks,5,588.00,1,,CKS7406,skip_pass,candidate,https://cabana.com.my/index.php/products/kitchen/kitchen-sink/undermount-kitchen-sink/cks7406-detail,https://cabana.com.my/images/virtuemart/product/CKS7406-02.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
26,JOV-WAT-HEA-SB11IP-WHI,PCS,Joven (white) Instant Water Heater SB11IP,Home Appliances,5,579.00,1,Joven,SB11IP,skip_pass,candidate,https://www.joven-electric.com/my/sb11ip-instant-water-heater-5110201.html,https://www.joven-electric.com/media/catalog/product/cache/be45d83139bc2950f7fdc035c8252966/s/b/sb11ip_white__1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
3,JOV-WAT-HEA-SL30IP-WHI,PCS,Joven (white) Instant Water Heater SL30IP,Home Appliances,5,499.00,1,Joven,SL30IP,skip_pass,candidate,https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/s/l/sl30ip_white_2026-2_1.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 3. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes
151,STA-IMP-DRI-STDH7213V,UNIT,Stanley Percussion Drill 800W+VP,Power Tools,5,449.00,1,Stanley,800W+VP,skip_pass,candidate,https://asia.stanleytools.global/product/stdh7213v-b1/13mm-800w-percussion-drill,https://asia.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/STDH7213V_A1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
94,JOV-WAT-FIL-JP200,PCS,Joven (red) Water Purifier,Home Appliances,5,179.00,1,Joven,JP200,skip_pass,candidate,https://www.joven-electric.com/my/jp200-water-purifier.html,https://www.joven-electric.com/media/catalog/product/cache/be45d83139bc2950f7fdc035c8252966/5/1/5111304001-4.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
34,SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,4,899.00,1,Sorento,SRTKS2429-BL,skip_pass,pending,https://sorento.com.my/,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=94,,p300-pass1,"Carry-forward recheck failed: page_live=True, image_live=False. Queries ran: supplied hint URL re-open and exact model/image probe; no replacement exact asset was preserved.",yes
119,STA-HAM-SBD715D2K,UNIT,Stanley Fatmax 20V Brushless Hammer Drill,Power Tools,4,769.00,1,Stanley,SBD715D2K,skip_pass,candidate,https://my.stanleytools.global/product/sbd715d2k-b1/20v-brushless-hammer-drill-kit-crystal-box-100-pc,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SBD715D2K_2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
249,BOS-0601-9K3-0L2,UNIT,Gsr Batt. Screwdriver 185-LI,Hand Tools,4,698.00,1,Bosch,185-LI,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/products/gsr-185-li-06019K30L2,https://www.bosch-pt.com.my/my/en/ocsmedia/363991-54/scope-of-supply-image/1434x828/cordless-drill-driver-pro-gsr-185-li-06019k30l2.png,,pass-queue-waiting,already OpenCode/dual pass,yes
4,JOV-WAT-HEA-SL30IP-WHI-RS,PCS,Joven (white) Instant Water Heater SL30IP-RS,Home Appliances,4,669.00,1,Joven,SL30IP-RS,skip_pass,candidate,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,https://www.joven-electric.com/media/catalog/product/cache/322a816fef176a546d56690fda5291c3/5/1/5101501001-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
132,STA-PRE-WAS-BEPW1800T,UNIT,Black+decker Vertical Pressure Washer 125 BAR,Power Tools,4,659.00,1,Stanley,BEPW1800T,skip_pass,candidate,https://asia.blackanddecker.global/product/bepw1800t-b1/bd-124-bar-pressure-washer,https://asia.blackanddecker.global/ASIA/PRODUCT/IMAGES/HIRES/BEPW1800T_1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
159,STA-PRE-WAS-BEPW1750,UNIT,Black+decker Pressure Washer 120BAR,Power Tools,4,579.00,1,Stanley,120BAR,skip_pass,candidate,https://asia.blackanddecker.global/product/bepw1750-b1/1500w-high-pressure-washer-wheels-1740-psi,https://asia.blackanddecker.global/ASIA/PRODUCT/IMAGES/HIRES/BEPW1750_1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
55,TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Bathroom,4,519.00,1,Saniware,WC-2110A-S250MM,skip_pass,candidate,https://saniware.com/product/wc-2110a-s200/,https://saniware.com/wp-content/uploads/2021/03/WC-2110A-S200.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
46,CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Bathroom,4,499.00,1,Saniware,SWBC-SS6411,skip_pass,pending,https://saniware.com/product/swbc-ss6411/,https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6411-1.jpeg,,p300-pass1,"Carry-forward recheck failed: page_live=False, image_live=True. Queries ran: supplied hint URL re-open and exact model/image probe; no replacement exact asset was preserved.",yes
56,TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Bathroom,4,469.00,1,Saniware,WC-2122A-S250MM,skip_pass,candidate,https://saniware.com/product/wc-2122a-s300/,https://saniware.com/wp-content/uploads/2021/03/WC-2122A-S300.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
84,FAN-CEI-DEKA-CGNL54MB12,UNIT,Deka Ceiling Fan Geno Matt Black,Fans & Ventilation,4,318.00,1,Deka,54LED,skip_pass,candidate,https://deka.my/geno-54-led/,https://deka.my/wp-content/uploads/2025/07/GENO-54LED-MB-Jpg.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,Deka Ceiling Fan F66 DC Matt Black,Fans & Ventilation,4,288.00,1,Deka,F66,skip_pass,candidate,https://deka.my/f66-dc/,https://deka.my/wp-content/uploads/2026/04/F66-2560X2560-BK.png,,pass-queue-waiting,already OpenCode/dual pass,yes
124,SHO-SOR-SRTSS8730,PCS,Sorento Sliding BAR Shower Set - SRTSS8730,Bathroom,4,199.00,1,Sorento,SRTSS8730,skip_pass,candidate,https://www.sorento.com.my/sorento-bathroom/shower-bidet/sliding-bar/srtss8730-detail,https://sorento.com.my/images/stories/virtuemart/product/SRTSS8730-04.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
108,KHI-POT-AP550,SET,Khind Thermos Pot 5.5L,Home Appliances,4,198.00,1,Khind,AP550,skip_pass,candidate,https://khind.com.my/products/khind-thermo-pot-ap550,http://khind.com.my/cdn/shop/files/AP550_LO_62af8a03-4546-442f-8e15-058caac09f14.jpg?v=1751809071,,pass-queue-waiting,already OpenCode/dual pass,yes
116,FAN-CEI-DEKA-CF5DC46MB12,UNIT,Deka Ceiling Fan F5 DC~46 Pro Matt Blk,Fans & Ventilation,4,188.00,1,Deka,DC~46,skip_pass,candidate,https://deka.my/f5-dc-46-pro/,https://deka.my/wp-content/uploads/2025/07/F5-DC-46-PRO-MB-Jpg-OK.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
137,GAS-STO-KHI-GS1516,SET,Khind - Infrared Gas Cooker (stainless Steel),Home Appliances,4,172.00,1,Khind,IGS1516,skip_pass,candidate,https://khind.com.my/products/khind-infrared-gas-stove-igs1516,http://khind.com.my/cdn/shop/files/igs1516_220523172501.jpg?v=1751809784,,pass-queue-waiting,already OpenCode/dual pass,yes
140,KHI-COO-RC918T,SET,Khind - Rc 1.8L Teflon Pot (cream Magnolia),Home Appliances,4,145.00,1,Khind,RC918T,skip_pass,candidate,https://khind.com.my/products/khind-9-series-electric-rice-cooker-cream-magnolia-540704063,http://khind.com.my/cdn/shop/files/rc9t-larger-cream-lo_200621145353_36ee746f-d09f-4730-b54e-498a47b5b6ab.jpg?v=1751809454,,pass-queue-waiting,already OpenCode/dual pass,yes
146,KHI-COO-RCJ188,SET,Khind - Jar Rice Cooker 1.8L (mint),Home Appliances,4,145.00,1,Khind,RCJ188,skip_pass,candidate,https://khind.com.my/products/khind-1-8l-jar-rice-cooker-rcj188,http://khind.com.my/cdn/shop/files/RCJ188_zalora_cover_3bbd0996-43a8-44a5-802e-d582f347d147.jpg?v=1751809117,,pass-queue-waiting,already OpenCode/dual pass,yes
25,SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Bathroom,4,139.00,1,Sorento,SRTSA860-GM,skip_pass,candidate,https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa860-gm-detail,https://sorentomasterclub.com.my/international/images/virtuemart/product/SRTSA860-GM-(product).jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 25. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes
163,"EXH-FAN-KHI-12""-WHI-EF1201",SET,Khind 12 Exhaust Fan (off White),Fans & Ventilation,4,125.00,1,Khind,EF1201,skip_pass,candidate,https://khind.com.my/products/khind-exhaust-fan-ef1201,http://khind.com.my/cdn/shop/files/Khind_20Exhaust_20Fan_20EF1201_thumbnail.jpg?v=1751809706,,pass-queue-waiting,already OpenCode/dual pass,yes
191,"EXH-FAN-KHI-08""-WHI-EF8001",SET,Khind 8 Exhaust Fan (off White),Fans & Ventilation,4,99.00,1,Khind,EF8001,skip_pass,candidate,https://khind.com.my/products/khind-exhaust-fan-ef8001,http://khind.com.my/cdn/shop/files/Khind_20Exhaust_20Fan_20EF8001_thumbnail_d9127cde-d554-45dc-b621-6ff1383e5c83.jpg?v=1751809705,,pass-queue-waiting,already OpenCode/dual pass,yes
211,KHI-TOA-BT808,SET,Khind Bread Toaster (mint),Home Appliances,4,72.00,1,Khind,2SLICES,skip_pass,candidate,https://khind.com.my/products/khind-2-slices-bread-toaster-with-anti-dust-cover-bt808,http://khind.com.my/cdn/shop/files/BT808_cover_WH.jpg?v=1751809360,,pass-queue-waiting,already OpenCode/dual pass,yes
240,TAP-SAN-SWS-304-3964,PCS,Saniware Sliver Kitchen W Sink Tap,Kitchen & Sinks,4,62.00,1,Saniware,SWS-304-3964,skip_pass,candidate,https://saniware.com/product/sws-304-3964/,https://saniware.com/wp-content/uploads/2021/03/SWS-304-3964.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
241,JUG-KHI-KET-EK5813,SET,Khind 1.7L Jug Kettle (white),Home Appliances,4,59.00,1,Khind,EK5813,skip_pass,candidate,https://khind.com.my/products/khind-electric-jug-kettle-ek5813,http://khind.com.my/cdn/shop/files/ek5813_220523154827.jpg?v=1751809735,,pass-queue-waiting,already OpenCode/dual pass,yes
