source_position,item_code,uom,pdp_url,image_url,alt_images,alt_pdps,decision,reason
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb,https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg,https://cdn1.npcdn.net/images/np_25017_1692869003.png,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb|https://www.smjelectrical.com.my/tag/tag_id/1817326/200w-6500k-led-flood-light|https://www.smjelectrical.com.my/tag/tag_id/1817323/200w-6500k-led-spotlight|https://www.smjelectrical.com.my/tag/tag_id/1817322/200w-6500k-led-floodlight,candidate,"harvest: q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my slug-match p:https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb status=200 og/img=https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg alts=1"
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,,,,,pending,"harvest: no sitemap slug match (q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my 8055 urls scanned)"
3756,ELE-D/L-MGM-MQTL2048-6500K,PCS,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb,https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg,https://cdn1.npcdn.net/images/np_25017_1692869003.png,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb|https://www.smjelectrical.com.my/tag/tag_id/1817326/200w-6500k-led-flood-light|https://www.smjelectrical.com.my/tag/tag_id/1817323/200w-6500k-led-spotlight|https://www.smjelectrical.com.my/tag/tag_id/1817322/200w-6500k-led-floodlight,candidate,"harvest: q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my slug-match p:https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb status=200 og/img=https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg alts=1"
3872,"PIP-UPVC-5255-1.1/2""",MTR,,,,,pending,"harvest: no sitemap slug match (q:sitemap:unimechengineering.com.my,www.unimechengineering.com.my 710 urls scanned)"
5009,"PIP-UPVC-5255-1.1/4""",MTR,,,,,pending,"harvest: no sitemap slug match (q:sitemap:unimechengineering.com.my,www.unimechengineering.com.my 710 urls scanned)"
4976,"FAS-RIV-PAT-1/8""X3/8""-PCK",PCK,,,,,pending,harvest: no sitemap slug match (q:sitemap:mybigwarehouse.com.my 0 urls scanned)
6227,FAS-RIV-PAT-3/16X1/2-PCK,PCK,,,,,pending,harvest: no sitemap slug match (q:sitemap:mybigwarehouse.com.my 0 urls scanned)
3623,CUT-DIS-MARK-12300-P024,PCS,,,,,pending,"harvest: no sitemap slug match (q:sitemap:www.mrmarks.com,mrmarks.com 23 urls scanned)"
4225,CUT-DIS-MARK-12300-P120,PCS,,,,,pending,"harvest: no sitemap slug match (q:sitemap:www.mrmarks.com,mrmarks.com 23 urls scanned)"
131,STA-GRI-SCG400-SET,UNIT,https://my.stanleytools.global/product/scg400-b1/20v-grinder-tool-only,https://bynder.sbdinc.com/m/3f4dcbe4c38e4f12/Drupal_Large-ST_stanley-category-fallbackat2x_GEB1.jpg,/sites/g/files/xnuzat2666/files/stanley%402x.png|/sites/g/files/xnuzat2666/files/2021-09/ST_tagline-EN_LFL1_0.png,https://my.stanleytools.global/product/sc200-b1/20v-2a-charger|https://my.stanleytools.global/product/sb202-b1/20v-2ah-battery|https://my.stanleytools.global/product/scg400-b1/20v-grinder-tool-only,candidate,"harvest: q:sitemap:my.stanleytools.global,www.stanleytools.com,www.stanley-black-decker.com.my slug-match p:https://my.stanleytools.global/product/scg400-b1/20v-grinder-tool-only status=200 og/img=https://bynder.sbdinc.com/m/3f4dcbe4c38e4f12/Drupal_Large-ST_stanley-category-fallbackat2x_GEB1.jpg alts=2"
3593,HHD-FLU-M0676-L110W-50MM,PCS,,,,,pending,"harvest: no sitemap slug match (q:sitemap:techplas.com.my,www.techplas.com.my 0 urls scanned)"
