source_position,source_item_code,source_uom,source_product_name,category,detected_brand,detected_model,manufacturer,exact_model,manufacturer_part_number,source_url,source_type,candidate_image_asset_url,image_asset_status,exact_match_reasoning,sibling_variant_elimination,identity_confidence,image_confidence,classification,rights_status,rights_note,ambiguities,gemini_visual_review,source_preservation_note,research_notes_file
61,STA-ROT-HAM-SHR243KA,UNIT,Stanley Rotary Hammer 24MM,Power Tools,Stanley,SHR243KA,Stanley,SHR243KA,SHR243KA,NOT_PRESERVED,discovery only,NOT_PRESERVED,not preserved,"Discovery identifies Stanley SHR243KA 780W 24mm SDS-Plus rotary hammer family, but no exact preserved manufacturer/authorized asset was established.",SHR243KA-XD/dealer family material is not substituted for exact source kit.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Exact package/kit suffix and image unresolved.,NO,Discovery only; exact source and asset not preserved.,products_51_100_stanley_notes.md
62,SHO-SOR-SRTSH22614-BL,PCS,Sorento 229MM ABS Rain Shower Head (matt Blk),Bathroom,Sorento,SRTSH22614-BL,Sorento,SRTSH22614-BL,SRTSH22614-BL,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,catalogue page crop required for asset harvest,"Official catalogue p.65 names SRTSH22614-BL Rain Shower Head, D 200x200mm / 8x8in, Matt Black.","Same page siblings SRTSH22913-GM, SRTSH2626-BL, SRTSH22619-FRG and SRTSH22620-GY; exact model, size and Matt Black isolate the source.",HIGH,MEDIUM,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact PDF URL/page/crop and sibling models preserved; visual crop review required.,products_51_100_sorento_notes.md
63,SIN-SOR-SRTKS6091,PCS,Sorento Undermount Kitchen Sink,Kitchen & Sinks,Sorento,SRTKS6091,Sorento,SRTKS6091,SRTKS6091-02,https://sorento.com.my/index.php?virtuemart_category_id%5B0%5D=21&virtuemart_category_id%5B1%5D=24&virtuemart_category_id%5B2%5D=135&virtuemart_category_id%5B3%5D=39&virtuemart_category_id%5B4%5D=84&virtuemart_category_id%5B5%5D=35&virtuemart_category_id%5B6%5D=59&virtuemart_category_id%5B7%5D=55&virtuemart_category_id%5B8%5D=52&virtuemart_category_id%5B9%5D=48&virtuemart_category_id%5B10%5D=46&virtuemart_category_id%5B11%5D=64&custom_f_12%5B0%5D=4368726f6d65&option=com_customfilters,official manufacturer result page,NOT_PRESERVED,not preserved,"Official result names SRTKS6091-02 / SRTKS6091, Undermount Kitchen Sink, Stainless Steel 304.","Result page exposes SRTKS6091-02 as the variant record; dimensions, finish and exact image are not exposed. Do not substitute SRTKS6090 or other sink siblings.",HIGH,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",SRTKS6091 vs variant record SRTKS6091-02; exact dimensions/finish/image missing.,NO,Rendered official text preserved; direct HTML/image harvesting returned a verification shell.,products_51_100_sorento_notes.md
64,FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,Rubine Blk Timber LED Ceiling Fan,Fans & Ventilation,Rubine,RCF-MOZIA56-5BL-BT,Rubine,RCF-MOZIA56-5BL,RCF-MOZIA56-5BL,https://www.rubine.com.my/product/RCF-MOZIA56-5BL,official Malaysian manufacturer product page,https://www.rubine.com.my/files/product_img/IM00032.png,exact official asset,"Official page exactly identifies RCF-MOZIA56-5BL, 22W tri-colour LED, 8F+8R RF remote, turbo speed, and Black Timber/Matte Black options.","Official sibling RCF-MOZIA56-5B is non-LED; source explicitly requires LED and Black Timber, so 5B is excluded.",HIGH,HIGH,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact official page/image preserved; rights not implied.,products_51_100_rubine_mozia_notes.md
65,TOI-TRP-WC-SRTWC8366-S(250MM),PCS,Sorento One Piece Washdown W Rimless Flush Tech,Bathroom,Sorento,SRTWC8366-S,Sorento,SRTWC8366-RL-UF,SRTWC8366-RL-UF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=8,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=8,catalogue page crop not exact source suffix,"Official catalogue p.8 names SRTWC8366-RL-UF, Washdown Flushing Technology, L710xW435xH680mm, S-trap 200/250/300mm, P-trap 180mm, UF seat cover.","Source is SRTWC8366-S(250MM), while catalogue exact model is RL-UF; both suffix and seat-cover variant differ.",MEDIUM,MEDIUM,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source -S vs official -RL-UF; exact seat-cover/finish mapping unresolved.,NO,Official PDF page preserved but suffix mismatch blocks exact classification.,products_51_100_sorento_notes.md
66,TOI-TRP-WC-SRTWC8518-SH-S,PCS,Sorento One Piece Twister Flushing Tech,Bathroom,Sorento,SRTWC8518-SH-S,Sorento,SRTWC8518-SH,SRTWC8518-SH,https://www.facebook.com/SorentoMalaysia/posts/whether-you-choose-the-powerful-gravity-driven-washdown-or-the-silent-360-degree/1342912134544835/,official social discovery,NOT_PRESERVED,not preserved,Official Sorento social discovery names One Piece WC with Twister Flushing Technology SRTWC8518-SH.,Official result page separately lists SRTWC8518 as a PP seat cover; this database collision does not verify the requested one-piece WC suffix/variant.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",SRTWC8518-SH-S source vs SRTWC8518 seat-cover record; exact WC page/image unavailable.,NO,Social discovery and official result collision preserved; no exact image accepted.,products_51_100_sorento_notes.md
67,GAS-STO-RUB-TAE10-E102,UNIT,Rubine Ceramic Hob,Kitchen & Sinks,Rubine,RCE-VULCAN40-BL,Rubine,RCE-VULCAN40-BL,RCE-VULCAN40-BL,https://www.rubine.com.my/product/RCE-VULCAN40-BL,official Malaysian manufacturer product page,https://www.rubine.com.my/files/product_img/IM02133.jpg,exact official asset,"Official page exactly identifies RCE-VULCAN40-BL built-in ceramic electric hob, ceramic-horizontal, beveled glass/aluminium frame, residual heat warning, KONSTEC heat control, safety lock and timer.",Sibling RCE-VULCAN30-BL is separately listed; exact 40-BL model and black finish are preserved.,HIGH,HIGH,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.","Internal Ekoway code GAS-STO-RUB-TAE10-E102 maps to RCE-VULCAN40-BL; source-code mapping is internal, not manufacturer SKU.",YES,Exact official page/image preserved; rights not implied.,products_51_100_rubine_notes.md
68,ELE-BUL-B22-3W-RED,PCS,Taicon B22 3W LED Color Bulb - Red,Lighting,Taicon,B22,Taicon,B22 3W red LED colour bulb,,https://www.facebook.com/100063586223862/posts/taicon-3w-b22e27-led-colour-bulb3w-b22-led-colour-bulb%EF%B8%8Fblue%EF%B8%8Fred%EF%B8%8Fyellow%EF%B8%8Fwhite%EF%B8%8Fpin/1546526540810205/,discovery / distributor social,NOT_PRESERVED,not preserved,"Distributor discovery supports Taicon 3W B22/E27 LED colour bulb and red colour, made in Malaysia, but no exact SKU/image record was preserved.",E27 and other colours are not substituted for B22 red.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.","Exact Taicon part number, B22-only variant, and image unresolved.",NO,Discovery-only social source; no exact reusable asset.,
69,ELE-BUL-E27-10W-RED,PCS,Taicon E27 Stick Bulb Red 10W,Lighting,Taicon,E27,Taicon,E27 10W red LED stick bulb,,https://shopee.com.my/TAICON-LED-STICK-BULB-SERIES-i.94779936.2695466463,marketplace/discovery,NOT_PRESERVED,not preserved,"Taicon LED Stick Bulb Series discovery supports E27 10W stick-bulb family, but the red colour and exact SKU are not preserved in an authoritative source.",Other Taicon wattages/colours and generic E27 bulbs are not substituted.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Exact Taicon SKU and red variant image unresolved.,NO,Marketplace discovery only.,
70,MIR-SWBC-SS6414,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6414,Bathroom,Saniware,SWBC-SS6414,Saniware,SWBC-SS6414,SWBC-SS6414,https://saniware.com/?s=SWBC-SS6414,official site negative search,NOT_PRESERVED,not preserved,"Source row identifies Saniware SWBC-SS6414 bathroom cabinet set, but official Saniware search returned No Results Found and no exact product page/image was preserved.",SWBC-SS6811 and other cabinet sets are not substituted.,LOW,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Exact cabinet/tap/basin component list and image missing.,NO,Official negative search/404 evidence preserved; no exact asset.,products_51_100_saniware_notes.md
71,OVEN-RUB-TAE13-M507,UNIT,Rubine M/wave Oven RMO-934SS-GD34X,Home Appliances,Rubine,RMO-934SS-GD34X,Rubine,RMO-934SS-GD34,RMO-934SS-GD34,https://www.rubine.com.my/product/RMO-934SS-GD34,official Malaysian manufacturer product page,https://www.rubine.com.my/files/product_img/IM01814.jpg,exact official asset for base model; source suffix unresolved,"Official page exactly identifies RMO-934SS-GD34, Microwave and Grill Combination, 34L, 30-second quick start and 8 auto menus.",RMO-OREO-28BL is a separate 28L sibling; current exact page does not print source row’s extra X suffix.,MEDIUM,HIGH,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source RMO-934SS-GD34X vs official RMO-934SS-GD34; X suffix unresolved.,NO,Official base-model page/image preserved; do not publish until X alias is confirmed.,products_51_100_rubine_notes.md
72,SHO-SOR-SRTSH2623-BL,PCS,Sorento 225MM ABS Rain Shower Head Matt Blk,Bathroom,Sorento,SRTSH2623-BL,Sorento,SRTSH2623-BL,SRTSH2623-BL,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,catalogue page crop required for asset harvest,"Official catalogue p.65 names SRTSH2623-BL Rain Shower Head, D Ø225mm / 9in, Matt Black.","Same page siblings SRTSH22513 chrome, SRTSH2625-BL/Gunmetal, SRTSH2627-BL and SRTSH2628-GMB; exact model and Matt Black isolate source.",HIGH,MEDIUM,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact PDF URL/page/crop and sibling models recorded; visual crop review required.,products_51_100_sorento_notes.md
73,SIN-SOR-SRTKS2426-BL,PCS,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,Sorento,S/S304,Sorento,SRTKS2426-BL,SRTKS2426-BL,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=94,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=94,catalogue page crop required for asset harvest,"Official catalogue p.94 names SRTKS2426-BL, L540xW440xH230mm, Matt Black.",Sibling SRTKS2406 is chrome; exact source item SRTKS2426-BL matches black variant and dimensions.,HIGH,MEDIUM,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact PDF URL/page/crop and chrome sibling recorded; visual crop review required.,products_51_100_sorento_notes.md
74,SHO-SAN-SWP-BSP-5505B,PCS,Saniware Premier 3WAY Bath Shower Set For Water Heater (black),Bathroom,Saniware,3WAY,Saniware,SWP-BSP-5505B,SWP-BSP-5505B,https://www.yesbath.com.my/showproducts/productid/6045655/sus304-3-way-bath-shower-set-for-water-heater-black-swpbsp5505b/,dealer / Tier-2,https://cdn1.npcdn.net/images/cf6eef12013f376c4a5f3b39abeebe92_1757471914.webp?md5id=5de402365ca7341b8b1e38b3013768e8&new_width=1000&new_height=1000&size=max&w=-62170008925&from=jpeg&type=9,exact dealer asset; not rights-cleared,"Yes Bath exact listing names SUS304 3 WAY BATH SHOWER SET FOR WATER HEATER BLACK (SWP-BSP-5505B), matching source 3WAY black description.",2-way SWP-BSP-5504B and generic Saniware shower sets are not substituted.,HIGH,HIGH,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Official Saniware page absent/404; dealer authority and asset rights require confirmation.,YES,Exact dealer page/image preserved; not an official manufacturer source and no rights claim.,products_51_100_saniware_notes.md
75,TAP-SAN-SWP-SS-304-3950-MB,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap (matt Blk),Kitchen & Sinks,Saniware,SWP-SS-304-3950-MB,Saniware,SWP-SS-304-3950-MB,SWP-SS-304-3950-MB,https://www.gsthardware.com.my/product/saniware-flexible-hose-kitchen-pillar-tapgun-metal-swp-ss-304-3950-gm/,authorized/dealer variant listing,NOT_PRESERVED,not preserved,GST Hardware lists exact 3950 series options and explicitly maps SWP-SS-304-3950-MB to Matt Black; SUS304 flexible-hose kitchen pillar tap.,"Base stainless, GM and RG options are explicitly separate; source MB suffix is not confused with the base model.",HIGH,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",No exact direct image URL exposed; official Saniware page returned 404.,NO,Exact variant text preserved from dealer; no image asset accepted.,products_51_100_saniware_notes.md
76,FAN-CEI-RCF-MOZIA56-5B-BT,PCS,Rubine Blk Timber Ceiling Fan,Fans & Ventilation,Rubine,RCF-MOZIA56-5B-BT,Rubine,RCF-MOZIA56-5B,RCF-MOZIA56-5B,https://www.rubine.com.my/product/RCF-MOZIA56-5B,official Malaysian manufacturer product page,https://www.rubine.com.my/files/product_img/IM00030.png,exact official asset,"Official page exactly identifies RCF-MOZIA56-5B, non-LED DC fan, 8F+8R RF remote, turbo/sleep mode, aerodynamic ABS blades, and Black Timber/Matte Black options.","Official sibling RCF-MOZIA56-5BL is 22W tri-colour LED; source is 5B-BT and non-LED, so 5BL is excluded.",HIGH,HIGH,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source -BT is internal Black Timber finish suffix while official model omits -BT.,YES,Exact official page/image preserved; rights not implied.,products_51_100_rubine_mozia_notes.md
77,TOI-TRP-WC-SRTWC8840-S,PCS,Sorento Close Coupled Wash,Bathroom,Sorento,DOWN-SRTWC8840-S,Sorento,SRTWC8840-RL,SRTWC8840-RL,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=10,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=10,catalogue page crop not exact source suffix,"Official catalogue p.10 names SRTWC8840-RL, Washdown Flushing Technology, L660xW370xH770mm, S-trap 250mm, P-trap 180mm, PP seat cover.","Source is SRTWC8840-S; official catalogue exact model is RL, so suffix mapping is unresolved.",MEDIUM,MEDIUM,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source -S vs official -RL.,NO,Official PDF page preserved but suffix mismatch blocks exact classification.,products_51_100_sorento_notes.md
78,BATH-SRTBF31416,PCS,Sorento 304 S/s 5 IN 1 Bathroom Furn,Bathroom,Sorento,SRTBF31416,Sorento,SRTBF31416,SRTBF31416,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=35,official catalogue/PDF + Tier-2 conflict,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=35,catalogue page crop conflict; not approved,"Official catalogue p.35 names SRTBF31416 cabinet, L580xW460xH400mm, basin SRTWB1160, tap SRTWT7202-BL and pop-up waste as a 4-in-1 set.",Fullshun dealer lists a 5-in-1 set with mirror cabinet SRTMCB21412 and same cabinet/basin family; 4-in-1 vs 5-in-1/component contradiction prevents exact set classification.,MEDIUM,MEDIUM,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",4-in-1 official catalogue vs 5-in-1 dealer set; exact component package and image unresolved.,NO,Official PDF and dealer conflict preserved; no asset approved.,products_51_100_sorento_notes.md
79,ELE-D/L-MEG-YTT100ZI-30W,PCS,Megaman E27 LED Bulb,Lighting,Megaman,E27,Megaman,YTT100Z1,YTT100Z1,https://megaman.com.my/product/t-bulb/,official Malaysian manufacturer product page,https://megaman.com.my/wp-content/uploads/2020/12/11-1-1.jpg,exact official asset; source code typo/alias unresolved,"Official page exactly identifies Megaman LED T Bulb YTT100Z1, 30W, PF 0.5, 2400/2700lm, 200°, CRI >=80, E27, Ø100x180mm, 170–240V.",No sibling substitution; exact source row code appears YTT100ZI (letter I) while official model is YTT100Z1 (digit one).,MEDIUM,HIGH,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",YTT100ZI vs official YTT100Z1; exact internal code needs owner confirmation.,NO,Official page/image preserved; source code alias prevents fail-closed candidate status.,products_51_100_megaman_notes.md
80,RUB-TAE10-M371,UNIT,Rubine Glass Hob RGH-FIGATA2B-BL,Kitchen & Sinks,Rubine,RGH-FIGATA2B-BL,Rubine,RGH-FIGATA2B-BL,RGH-FIGATA2B-BL,https://www.rubine.com.my/product/RGH-FIGATA2B-BL,official Malaysian manufacturer product page,https://www.rubine.com.my/files/product_img/IM01807.jpg,exact official asset,"Official page exactly identifies RGH-FIGATA2B-BL built-in gas hob, Dritto/Straight flame, 5.0kW flame power, FFD, convex burner plate and battery ignition.",Sibling RGH-ASPEN2B-SK and RGH-BRAVA2B-BL are different models/finishes; exact FIGATA2B-BL image is preserved.,HIGH,HIGH,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Internal Rubine code RUB-TAE10-M371 maps to exact manufacturer model.,YES,Exact official page/image preserved; rights not implied.,products_51_100_rubine_notes.md
81,SHO-SAN-SWP-BSP-5504B,PCS,Saniware Premier 2WAY Bath Shower Set For Water Heater (black),Bathroom,Saniware,2WAY,Saniware,SWP-BSP-5504B,SWP-BSP-5504B,NOT_PRESERVED,discovery only / official page not preserved,NOT_PRESERVED,not preserved,"Source description identifies Saniware Premier 2WAY bath shower set for water heater, black; exact SWP-BSP-5504B manufacturer page/image was not found.",SWP-BSP-5505B is a different 3-way set and is not substituted.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Exact model page/image inaccessible; 2-way configuration only from source/discovery.,NO,No exact preserved page or asset.,products_51_100_saniware_notes.md
82,SIN-SOR-SRTKS2431,PCS,Sorento Nanograin Texture Kitchen Sink,Kitchen & Sinks,Sorento,SRTKS2431,Sorento,SRTKS2431,SRTKS2431,https://buildershardware.com.my/product/sorento-kitchen-sink-srtks2431/,authorized Malaysian dealer/retailer,https://buildershardware.com.my/wp-content/uploads/2024/08/SRTKS2431-19.jpg,exact dealer asset; not rights-cleared,"Exact dealer page names SORENTO KITCHEN SINK SRTKS2431, Nanograin Multifunctional Kitchen Sink, L780xW470xH230mm, 304 Stainless Steel, Chrome.",SRTKS2426-BL and other sink models are distinct; exact SRTKS2431 code/dimensions/image are preserved.,HIGH,HIGH,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact Tier-2 page/image preserved; publication rights and manufacturer confirmation remain separate.,products_51_100_sorento_notes.md
