source_position,item_code,uom,display_name,category,official_product_page,official_image_url,verifier_verdict,model_exact,finish_exact
6870,MAG-CON-SC-N25,PCS,SC-N2S Contertor,Electrical,https://www.fujielectric.co.jp/products/magnetic_contactor/sc/scn2s/,https://www.fujielectric.co.jp/products/magnetic_contactor/sc/scn2s/scn2s.jpg,pass,yes,yes
4041,SWI-SOC-SCH-IP66,PCS,Schneider 13A 3 Pin Combination Switch,Electrical,https://www.ne2u.com.my/product/schneider-s56c313_gy-13a-3pin-switch-socket-outlet-weatherproof/,https://www.ne2u.com.my/wp-content/uploads/2020/09/Schneider-S56C313GY.jpg,pass,yes,yes
2589,DC-J1Z-FF-10A,SET,Electric Drill / DJZ10A,Power Tools,https://www.dongchengmalaysia.com/product/j1z-ff-10a/,https://www.dongchengmalaysia.com/wp-content/uploads/2023/10/DJZ10A-1.jpg,pass,yes,yes
3356,SCA-CAM-EI02HS-3KG,PCS,Camry-digital Weighing Scale,Housewares,https://www.camry.cn/product/camry-digital-weighing-scale-commercial-scale-model-ei-02hs.html,https://imgusa.senssun.com/1/source/2025-10-15-3e5b7332-7979-4c4a-97bf-69dee1326246.jpg,pass,yes,yes
2645,DC-DSM09-100S,SET,Angle Grinder / DSM09-100S,Power Tools,https://www.dongchengtool.com/product/detail/1646295135499,https://dongcheng.obs.ap-southeast-1.myhuaweicloud.com/cms/2024/10/26/1732600360640/DSM09-100S.jpg,pass,yes,yes
3693,SHE-CAB-CB505,UNIT,Cabana Glass Shelf CB505,Building Materials,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb505-detail,https://cabana.com.my/images/virtuemart/product/CB505.jpg,pass,yes,yes
3824,SHE-CAB-CB501A,UNIT,Cabana Glass Shelf CB501A,Building Materials,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb501a-detail,https://cabana.com.my/images/virtuemart/product/CB501A.jpg,pass,yes,yes
5148,TAP-CAB-CB5105A,UNIT,Cabana Hose Bib Tap CB5105A,Plumbing,https://cabana.com.my/index.php/products/bathroom/basin-tap/cb5105a-detail,https://cabana.com.my/images/virtuemart/product/CB5105A.jpg,pass,yes,yes
5126,GUN-WUF-D09EC,PCS,Wufu Air Engine Cleaning Gun (DO-9-EC),Fasteners & Fixings,https://www.wufutools.com/product/detail/id/353,https://www.wufutools.com/uploads/20190613/610d70d9c72c06029e1c1a889292573c.jpg,pass,yes,yes
5353,VAL-CAB-CB5100,UNIT,Cabana Angle Valve CB5100,Plumbing,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/angle-valve/cb5100-detail,https://www.cabana.com.my/images/virtuemart/product/CB5100.jpg,pass,yes,yes
3194,TOO-TES-PEN-KT1960,PCS,Kingtoyo Auto,Power Tools,https://www.metrostarhardware.com/king-toyo-auto-tester-kt-1960,https://metrostarhardware.com/image/metrostarhardware/image/data/all_product_images/product-498/2PGinVNi1576645660.jpg,pass,yes,yes
3512,X-HOO-CAB-CB8001-3,UNIT,Cabana 3 Robe Hook (satin) CB8001-3,Power Tools,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8001-3-detail,https://cabana.com.my/images/virtuemart/product/CB8001-3.jpg,pass,yes,yes
4586,REM-FAN-CEI-SI11,PCS,Remote Fan - SI11,Other,https://2lelectrical.com/product/siberiair-si11-56-remote-ceiling-fan/,https://i0.wp.com/2lelectrical.com/wp-content/uploads/2023/10/SIBERIAIR-SI11.jpg?fit=1080%2C1080&ssl=1,pass,yes,yes
3515,DOR-BEA-AGD-108/SN,PCS,Armor Ball Bearing Door Guard,Doors & Hardware,https://www.gluckhardware.com.my/showproducts/productid/6055241/,https://cdn1.npcdn.net/images/1757814017a2497105cacd0740430a9c65b68adcb8.webp?md5id=fdbeb638e95f0bb8868a6e7c1969a713&new_width=1000&new_height=1000&size=max&w=1757688322&from=png&type=1,pass,yes,yes
3389,X-GAR-CHI-JM-24,PCS,Jayamata T-shape Oil Palm Harvesting Hook,Power Tools,https://estore.jayamata.com.my/product/jm24-t-shape-oil-palm-shank,https://cdn1.sgliteasset.com/jayamata/images/product/product-6676654/sKODnGsa6940ce23247e4_1765854755.jpg,pass,yes,yes
3594,HOO-CAB-CB802-3,UNIT,Cabana Hook BAR (polish) CB802-3,Doors & Hardware,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb802-3-detail,https://cabana.com.my/images/virtuemart/product/CB802-3.jpg,pass,yes,yes
2745,ELE-D/L-MGM-MQTL1119-SQ-12W-4000K,PCS,"Mgm 5""/SQ LED Panel Light (sr)",Lighting,https://esltrade.com.my/products/downlight-eyeball/megaman-downlight-mqtl1119-f/,https://esltrade.com.my/wp-content/uploads/2025/12/MEGAMAN-RECESSED-DOWNLIGHT-MQTL1119-F.jpg,pass,yes,yes
6056,TOO-ELE-CRMW0283,PCS,Modular Plug Crimp 200MM,Electrical,https://www.hslelectrical.com.my/wynn-s-w0283-modular-plug-crimping-tool/,https://www.hslelectrical.com.my/image/hslelectrical/image/cache/data/all_product_images/product-495/WYNNS-W0283-800x800.jpg,pass,yes,yes
6131,TOO-CUT-BOLW09,PCS,W09 Mini Bolt Cutter 200MM,Fasteners & Fixings,https://www.tiamhengmachinery.com/product/wynns-w09-mini-bolt-cutter-8200mm-wynns-hand-tools-melaka,https://cdn1.sgliteasset.com/TIAMHENGMACHINERYSDNBHD/images/product/product-7069127/QKUtkIYG68df2f885a5e4_1759457160.png,pass,yes,yes
5010,POL-HAR-NYL-JM444,PCS,Jayamata Harvesting Palm Oil Poles Clamping Bracket Clip,Other,https://estore.jayamata.com.my/product/jm444-interconnecting-harvesting-pole-clamping-brackey,https://cdn1.sgliteasset.com/jayamata/images/product/product-6676641/BLBgKPdf6940ce1f97878_1765854751.jpg,pass,yes,yes
3943,BOS-2608-690-122,PCS,Sds + Pencil Flat Chisel,Power Tool Accessories,https://www.boschhardware.com/bosch-power-tools/bosch-power-tools-accessories/bosch-sds-plus-flat-pencil-chisel-2608690122,https://wwarehouse.s3-ap-southeast-1.amazonaws.com/bosch-sds-plus-flat-pencil-chisel-2608690122-bh.png,pass,yes,yes
6500,FIT-UPVC-SOC-82X50MM,PCS,U-pvc Socket Reducing 3 X 2,Electrical,https://rowy.com.my/store/p130/Upvc-Reducing-Socket-Fitting.html,https://rowy.com.my/uploads/1/4/0/4/140415688/s924436913551281680_p130_i2_w768.jpeg?width=640,pass,yes,yes
4546,X-SAF-EAR-EM9001,PCS,Picasaf 9001 Ear Muffle (NRR21),Power Tools,https://nietz.com.my/product/nietz-picasaf-ear-muffle/,https://nietz.com.my/wp-content/uploads/2024/08/31_NSEM901.png,pass,yes,yes
1002,BOS-2608-585-880,PCS,Hss-g Cobal Bit 4.0MM,Power Tools,https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/full/o471535v82_2608585880_bo_pro_u_f_1.png,pass,yes,yes
1083,BOS-2608-585-876,PCS,Hss-g Cobal Bit 3.0MM,Power Tools,https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/full/o471533v82_2608585876_bo_pro_u_f_1.png,pass,yes,yes
1082,BOS-2608-585-874,PCS,Hss-g Cobal Bit 2.0MM,Power Tools,https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/full/o461768v82_2608585874_bo_pro_u_f_1.png,pass,yes,yes
3056,INS-IS6035,SET,One Piece Wash Down WC S-TRAP-250MM IS6035,Plumbing,https://www.bacera.com.sg/product/ins6035-one-piece-water-closet/,https://www.bacera.com.sg/wp-content/uploads/2019/09/INS6035-One-Piece-Water-Closet.jpg,pass,yes,yes
2651,JAC-FLO-ESKO-3TON-EK-J3075L,UNIT,Esko 3 Ton Low Profile Hyd Floor Jack (d. Pump),Lifting & Rigging,https://www.mymesin.com.my/showproducts/productid/2482878/cid/391029/esko-ekj3075l-3-ton-low-profile-floor-jack-double-pump-code9762/,https://cdn1.npcdn.net/images/74cff5a9c32e3530c2464e73156139ed_1738563011.webp?md5id=7ce5417e80aef872ba20917011e39416&new_width=1000&new_height=1000&size=max&w=1466647023&from=jpeg&type=9,pass,yes,yes
2650,JAC-BOT-MAS-MHB-30TON,PCS,Masada Bottle Jack,Automotive,https://hupshenghardware.com/product/masada-mhb30y-low-profile-bottle-jack-30ton-maximum-height-260mm-14kg/,https://hupshenghardware.com/wp-content/uploads/2019/08/Masada-MHB30Y.jpg,pass,yes,yes
3001,WEL-MAC-STW-200E,UNIT,Starweld Welding Machine Acc. MMA200E,Welding,https://geolaser.com.my/product/starweld-mma-arc-stick-igbt-inverter-welding-machine-mma120-mma160-mma200,https://cdn1.sgliteasset.com/geolaser/images/product/product-4526294/J2z7JnV06a7ae470d5dbb_1786438768.jpg,pass,yes,yes
2638,TANK-REC-450L,DRUM,450L Rectangular Tank (2),Other,https://kimchok.com/item/Weida-Water-Tank-Rectangular%2B-%2B3b4d/4800689105403904,https://img.boutirapp.com/i/3iTzf75ZzuOTFDiXyI8bJIsFqLELkBtB4Kf6cdTh5Vq=s640,pass,yes,yes
2574,DC-DMY02-185SH,SET,7 Electric Circular Saw (1100W),Power Tools,https://www.dongchengmalaysia.com/product/m1y-ff02-185sh/,https://www.dongchengmalaysia.com/wp-content/uploads/2023/10/DMY02-185.jpg,pass,yes,yes
3458,SAF-SHO-NK86-08,PAIR,Neuking NK86 Black 08,Safety & Workwear,https://hbse.com.my/product/neuking-nk86/,https://hbse.com.my/wp-content/uploads/2020/07/Neuking143-600x601-1.jpg,pass,yes,yes
3459,SAF-SHO-NK86-10,PAIR,Neuking NK86 Black 10,Safety & Workwear,https://hbse.com.my/product/neuking-nk86/,https://hbse.com.my/wp-content/uploads/2020/07/Neuking144-600x600-1.jpg,pass,yes,yes
4442,BAT-STA-SB202,PCS,Battery V20 2.0AH Lithium-ion,Electrical,https://ph.stanleytools.global/product/sb202-b1/20v-battery-2ah,https://ph.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SB202_1.jpg,pass,yes,yes
3837,FIR-EXT-EVE-9KG,PCS,Eversafe Abc Fire Extinguisher 9KGS,Safety & Workwear,https://www.leedenhercules.com/showproducts/productid/5673704/eversafe-abc-powder-fire-extinguisher-9kg/,https://cdn1.npcdn.net/images/24b7b905b8ba014da602cadd9174f0e7_1737448135.webp?md5id=65f76dcdbd789fbe2623a33ab6b35da0&new_width=1000&new_height=1000&size=max&w=1772617758&from=jpeg&type=9,pass,yes,yes
5015,TAP-CAB-CB1540SS,PCS,S/steel Pillar Mounted Kitchen Tap CB1540SS-BL,Plumbing,https://cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb1540ss-bl-detail,https://cabana.com.my/images/virtuemart/product/CB1540SS-BL.jpg,pass,yes,yes
2965,DC-D03-T50DC,SET,Air Brad Nailer,Power Tools,https://www.dongcheng.com.sg/product/dong-cheng-air-nailer-d03-t50dc/,https://www.dongcheng.com.sg/wp-content/uploads/2025/11/dong-cheng-air-nailer-d03-t50-dc_products.jpg,pass,yes,yes
5087,TAP-CAB-CB9114,UNIT,Cabana Two Way Tap,Plumbing,https://cabana.com.my/index.php/products/bathroom/basin-tap/cb9114-a-detail,https://cabana.com.my/images/virtuemart/product/CB9114-A.jpg,pass,yes,yes
5166,GRA-SOR-SRT6642-BL,PCS,Anti Odour Floor Trap,Plumbing,https://www.gluckhardware.com.my/showproducts/productid/6055476/cid/610545/sorento-sorento-floor-grating-floor-trap-stainless-steel-floor-grating-ss-grade-srt6641-srt6642bl-srt6643gm/,https://cdn1.npcdn.net/images/1757825032f0ba033cf99cb0c4c5cffb67eb74f6f8.webp?md5id=fdbeb638e95f0bb8868a6e7c1969a713&new_width=1000&new_height=1000&size=max&w=1757688322&from=jpg&type=1,pass,yes,yes
3121,DOR-HIN-SGD-DH753030,PCK,"(5""X3""X3.0MMX3PCS) 4BB St. Guchi Hinges",Doors & Hardware,https://buatanmalaysia.com/product/25-00174/,https://buatanmalaysia.com/wp-content/uploads/2022/08/753030.jpg,pass,yes,yes
3151,X-GUN-TAC-BC-R23,PCS,Rapid Stapler,Power Tools,https://www.rapid.com/en-gw/products/rapid-tools/stapling/rapid-pro-r23-staple-gun/,https://www.rapid.com/azure/catalogfiles/products/Desktop__140844C2C8F3BAB057DEBAAFF4250045__1200__630__ra_5001684-e1fe30907957940f1c32e5e022d9b59d.png,pass,yes,yes
5088,TAP-SKC-M24X3.00,SET,Skc Hand Tap M24 X 3.00,Plumbing,https://www.highwaymarketingsb.com/hss-taps-dies/1321-skc-801-m24-x-3-00-metric-hand-tap.html,https://www.highwaymarketingsb.com/2564-large_default/skc-801-m24-x-3-00-metric-hand-tap.jpg,pass,yes,yes
6382,TOI-TRAP-AC15S,NOS,S-trap AC15S,Plumbing,https://www.lkkhardware.com/showproducts/productid/5756557/cid/370952/sama-ac15s-ceramic-strap/,https://cdn1.npcdn.net/images/d23502969fe1150784ae07fae78cbc45_1742279175.webp?md5id=dcce3baa3d05a6ea93ccf94e05819312&new_width=1000&new_height=1000&size=max&w=1759821286&from=png&type=9,pass,yes,yes
3910,CUT-GRA-SHE-JM817,PCS,Jayamata Grass Shears Red/black Handle,Doors & Hardware,https://estore.jayamata.com.my/product/jm817-grass-shears-23,https://cdn1.sgliteasset.com/jayamata/images/product/product-6676758/J4dyWnOE6940ce352238b_1765854773.jpg,pass,yes,yes
